Cut?,Counts,eventNumber,runNumber
Raw,331,2,320
Raw,84,10,320
Raw,226,11,320
Raw,93,23,320
Raw,336,25,320
Raw,304,26,320
Raw,327,30,320
Raw,653,39,320
Raw,230,45,320
Raw,31,45,320
Raw,476,48,320
Raw,293,55,320
Raw,620,58,320
Raw,303,62,320
Raw,310,63,320
Raw,142,64,320
Raw,224,66,320
Raw,455,67,320
Raw,564,75,320
Raw,313,76,320
Raw,4,89,320
Raw,322,94,320
Raw,323,100,320
Raw,190,101,320
Raw,25,105,320
Raw,603,108,320
Raw,325,111,320
Raw,267,113,320
Raw,640,116,320
Raw,7,120,320
Raw,210,121,320
Raw,319,135,320
Raw,177,135,320
Raw,322,138,320
Raw,163,140,320
Raw,268,141,320
Raw,302,142,320
Raw,321,148,320
Raw,264,157,320
Raw,298,161,320
Raw,316,164,320
Raw,354,164,320
Raw,308,168,320
Raw,318,173,320
Raw,219,176,320
Raw,344,177,320
Raw,70,183,320
Raw,129,183,320
Raw,207,187,320
Raw,627,191,320
Raw,209,196,320
Raw,214,206,320
Raw,504,210,320
Raw,322,220,320
Raw,353,221,320
Raw,571,222,320
Raw,338,223,320
Raw,320,224,320
Raw,306,233,320
Raw,340,239,320
Raw,212,251,320
Raw,202,259,320
Raw,312,270,320
Raw,247,274,320
Raw,574,279,320
Raw,306,284,320
Raw,296,285,320
Raw,328,286,320
Raw,38,289,320
Raw,306,290,320
Raw,331,291,320
Raw,280,298,320
Raw,318,300,320
Raw,267,310,320
Raw,589,317,320
Raw,611,325,320
Raw,544,327,320
Raw,67,336,320
Raw,305,339,320
Raw,210,341,320
Raw,56,342,320
Raw,312,351,320
Raw,245,351,320
Raw,296,352,320
Raw,583,361,320
Raw,217,361,320
Raw,306,362,320
Raw,161,363,320
Raw,142,376,320
Raw,80,387,320
Raw,647,392,320
Raw,300,396,320
Raw,348,399,320
Raw,231,409,320
Raw,636,422,320
Raw,316,434,320
Raw,163,436,320
Raw,329,439,320
Raw,256,442,320
Raw,212,443,320
Raw,326,446,320
Raw,258,446,320
Raw,250,447,320
Raw,333,469,320
Raw,317,471,320
Raw,285,472,320
Raw,328,478,320
Raw,340,482,320
Raw,275,484,320
Raw,141,484,320
Raw,469,485,320
Raw,326,487,320
Raw,356,490,320
Raw,329,503,320
Raw,556,504,320
Raw,509,507,320
Raw,285,509,320
Raw,280,515,320
Raw,332,518,320
Raw,277,520,320
Raw,201,524,320
Raw,302,526,320
Raw,135,535,320
Raw,265,537,320
Raw,309,538,320
Raw,4,543,320
Raw,326,558,320
Raw,117,563,320
Raw,608,566,320
Raw,469,568,320
Raw,506,569,320
Raw,329,579,320
Raw,322,581,320
Raw,585,585,320
Raw,631,587,320
Raw,273,588,320
Raw,335,593,320
Raw,174,596,320
Raw,343,597,320
Raw,249,598,320
Raw,190,600,320
Raw,304,601,320
Raw,270,602,320
Raw,332,646,320
Raw,221,650,320
Raw,310,653,320
Raw,160,659,320
Raw,297,664,320
Raw,190,669,320
Raw,776,671,320
Raw,280,676,320
Raw,316,683,320
Raw,284,683,320
Raw,97,688,320
Raw,334,698,320
Raw,219,698,320
Raw,75,705,320
Raw,322,710,320
Raw,324,712,320
Raw,313,713,320
Raw,313,715,320
Raw,293,718,320
Raw,315,720,320
Raw,532,734,320
Raw,567,741,320
Raw,310,758,320
Raw,522,769,320
Raw,309,775,320
Raw,213,785,320
Raw,293,790,320
Raw,38,791,320
Raw,197,792,320
Raw,337,803,320
Raw,610,809,320
Raw,223,812,320
Raw,274,813,320
Raw,181,813,320
Raw,575,815,320
Raw,249,822,320
Raw,308,829,320
