Type,Energy,Counts
MPFIT,42,1.0026626
MPFIT,42.174783,1.0025836
MPFIT,42.349566,1.0025115
MPFIT,42.52435,1.002446
MPFIT,42.699133,1.0023872
MPFIT,42.873916,1.0023351
MPFIT,43.048699,1.0022895
MPFIT,43.223482,1.0022504
MPFIT,43.398266,1.0022178
MPFIT,43.573049,1.0021917
MPFIT,43.747832,1.002172
MPFIT,43.922615,1.0021586
MPFIT,44.097398,1.0021515
MPFIT,44.272181,1.0021506
MPFIT,44.446965,1.002156
MPFIT,44.621748,1.0021676
MPFIT,44.796531,1.0021853
MPFIT,44.971314,1.0022091
MPFIT,45.146097,1.0022389
MPFIT,45.320881,1.0022747
MPFIT,45.495664,1.0023165
MPFIT,45.670447,1.0023643
MPFIT,45.84523,1.0024179
MPFIT,46.020013,1.0024773
MPFIT,46.194797,1.0025426
MPFIT,46.36958,1.0026136
MPFIT,46.544363,1.0026903
MPFIT,46.719146,1.0027727
MPFIT,46.893929,1.0028608
MPFIT,47.068712,1.0029544
MPFIT,47.243496,1.0030537
MPFIT,47.418279,1.0031584
MPFIT,47.593062,1.0032687
MPFIT,47.767845,1.0033844
MPFIT,47.942628,1.0035055
MPFIT,48.117412,1.003632
MPFIT,48.292195,1.0037639
MPFIT,48.466978,1.003901
MPFIT,48.641761,1.0040435
MPFIT,48.816544,1.0041911
MPFIT,48.991328,1.004344
MPFIT,49.166111,1.004502
MPFIT,49.340894,1.0046652
MPFIT,49.515677,1.0048334
MPFIT,49.69046,1.0050067
MPFIT,49.865243,1.0051851
MPFIT,50.040027,1.0053684
MPFIT,50.21481,1.0055567
MPFIT,50.389593,1.0057499
MPFIT,50.564376,1.0059481
MPFIT,50.739159,1.006151
MPFIT,50.913943,1.0063589
MPFIT,51.088726,1.0065715
MPFIT,51.263509,1.0067888
MPFIT,51.438292,1.0070109
MPFIT,51.613075,1.0072377
MPFIT,51.787859,1.0074692
MPFIT,51.962642,1.0077053
MPFIT,52.137425,1.0079461
MPFIT,52.312208,1.0081914
MPFIT,52.486991,1.0084412
MPFIT,52.661775,1.0086956
MPFIT,52.836558,1.0089544
