Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,9.35673503e+05,5,319,charge,Cu-Ni-15kV,7.9246249
Cut,9.67290393e+05,7,319,charge,Cu-Ni-15kV,8.1924021
Cut,1.04198059e+06,8,319,charge,Cu-Ni-15kV,8.8249858
Cut,9.53924956e+05,10,319,charge,Cu-Ni-15kV,8.0792044
Cut,8.51647816e+05,11,319,charge,Cu-Ni-15kV,7.2129749
Cut,1.04786213e+06,12,319,charge,Cu-Ni-15kV,8.8747991
Cut,9.08907843e+05,13,319,charge,Cu-Ni-15kV,7.6979349
Cut,8.78600632e+05,25,319,charge,Cu-Ni-15kV,7.44125
Cut,9.1868185e+05,27,319,charge,Cu-Ni-15kV,7.7807152
Cut,1.0386692e+06,31,319,charge,Cu-Ni-15kV,8.7969402
Cut,1.02722179e+06,36,319,charge,Cu-Ni-15kV,8.6999871
Cut,7.01725541e+05,37,319,charge,Cu-Ni-15kV,5.9432181
Cut,9.67714577e+05,38,319,charge,Cu-Ni-15kV,8.1959947
Cut,1.05399904e+06,40,319,charge,Cu-Ni-15kV,8.9267752
Cut,8.78313182e+05,42,319,charge,Cu-Ni-15kV,7.4388155
Cut,7.33410983e+05,42,319,charge,Cu-Ni-15kV,6.2115759
Cut,5.70175651e+05,46,319,charge,Cu-Ni-15kV,4.829065
Cut,9.4105546e+05,47,319,charge,Cu-Ni-15kV,7.9702071
Cut,9.64622353e+05,48,319,charge,Cu-Ni-15kV,8.1698053
Cut,1.01650737e+06,49,319,charge,Cu-Ni-15kV,8.609242
Cut,8.81563007e+05,56,319,charge,Cu-Ni-15kV,7.4663396
Cut,1.09287618e+06,57,319,charge,Cu-Ni-15kV,9.2560426
Cut,9.47129114e+05,66,319,charge,Cu-Ni-15kV,8.0216475
Cut,1.11470815e+06,69,319,charge,Cu-Ni-15kV,9.440947
Cut,1.00426307e+06,75,319,charge,Cu-Ni-15kV,8.5055397
Cut,1.02806954e+06,81,319,charge,Cu-Ni-15kV,8.7071671
Cut,1.11895293e+06,84,319,charge,Cu-Ni-15kV,9.4768979
Cut,9.20178643e+05,85,319,charge,Cu-Ni-15kV,7.7933922
Cut,9.2052309e+05,89,319,charge,Cu-Ni-15kV,7.7963095
Cut,9.61449413e+05,93,319,charge,Cu-Ni-15kV,8.1429323
Cut,9.72515254e+05,96,319,charge,Cu-Ni-15kV,8.2366537
Cut,1.3060074e+06,100,319,charge,Cu-Ni-15kV,11.061143
Cut,1.03064102e+06,102,319,charge,Cu-Ni-15kV,8.728946
Cut,1.03869426e+06,104,319,charge,Cu-Ni-15kV,8.7971524
Cut,9.17448775e+05,108,319,charge,Cu-Ni-15kV,7.7702718
Cut,6.47688933e+05,113,319,charge,Cu-Ni-15kV,5.4855586
Cut,1.00354398e+06,116,319,charge,Cu-Ni-15kV,8.4994494
Cut,9.07859599e+05,117,319,charge,Cu-Ni-15kV,7.6890569
Cut,1.05096527e+06,121,319,charge,Cu-Ni-15kV,8.9010809
Cut,9.82926555e+05,122,319,charge,Cu-Ni-15kV,8.3248315
Cut,9.09837943e+05,123,319,charge,Cu-Ni-15kV,7.7058123
Cut,9.76457613e+05,124,319,charge,Cu-Ni-15kV,8.2700432
Cut,1.0957976e+06,125,319,charge,Cu-Ni-15kV,9.2807854
Cut,1.0345943e+06,126,319,charge,Cu-Ni-15kV,8.762428
Cut,6.90671524e+05,127,319,charge,Cu-Ni-15kV,5.8495968
Cut,9.69974631e+05,128,319,charge,Cu-Ni-15kV,8.2151361
Cut,1.07764044e+06,131,319,charge,Cu-Ni-15kV,9.1270045
Cut,8.79331343e+05,135,319,charge,Cu-Ni-15kV,7.4474387
Cut,9.19021443e+05,136,319,charge,Cu-Ni-15kV,7.7835914
Cut,8.63435063e+05,137,319,charge,Cu-Ni-15kV,7.3128062
Cut,5.97211204e+05,138,319,charge,Cu-Ni-15kV,5.0580408
Cut,8.92353296e+05,142,319,charge,Cu-Ni-15kV,7.5577273
Cut,9.32978872e+05,143,319,charge,Cu-Ni-15kV,7.9018029
Cut,8.48247176e+05,144,319,charge,Cu-Ni-15kV,7.1841734
Cut,9.38707264e+05,145,319,charge,Cu-Ni-15kV,7.9503192
Cut,9.66193953e+05,148,319,charge,Cu-Ni-15kV,8.1831159
Cut,1.04682709e+06,152,319,charge,Cu-Ni-15kV,8.8660329
Cut,1.00959843e+06,154,319,charge,Cu-Ni-15kV,8.5507272
Cut,9.52375617e+05,155,319,charge,Cu-Ni-15kV,8.0660824
Cut,8.58177251e+05,161,319,charge,Cu-Ni-15kV,7.2682755
Cut,8.87305184e+05,163,319,charge,Cu-Ni-15kV,7.5149726
Cut,8.37222244e+05,165,319,charge,Cu-Ni-15kV,7.0907985
Cut,1.05527446e+06,167,319,charge,Cu-Ni-15kV,8.9375774
Cut,1.17983452e+06,168,319,charge,Cu-Ni-15kV,9.9925306
Cut,9.2093248e+05,169,319,charge,Cu-Ni-15kV,7.7997768
Cut,9.71481059e+05,171,319,charge,Cu-Ni-15kV,8.2278946
Cut,9.21109842e+05,173,319,charge,Cu-Ni-15kV,7.801279
Cut,9.15420823e+05,175,319,charge,Cu-Ni-15kV,7.7530962
Cut,6.1293897e+05,181,319,charge,Cu-Ni-15kV,5.1912461
Cut,7.99874896e+05,182,319,charge,Cu-Ni-15kV,6.7744876
Cut,7.72751561e+05,184,319,charge,Cu-Ni-15kV,6.5447683
Cut,8.52395004e+05,197,319,charge,Cu-Ni-15kV,7.2193032
Cut,9.2027464e+05,199,319,charge,Cu-Ni-15kV,7.7942053
Cut,9.58932747e+05,205,319,charge,Cu-Ni-15kV,8.1216175
Cut,1.05440555e+06,206,319,charge,Cu-Ni-15kV,8.9302181
Cut,1.0179173e+06,211,319,charge,Cu-Ni-15kV,8.6211833
Cut,1.03302481e+06,215,319,charge,Cu-Ni-15kV,8.7491354
Cut,1.53459687e+05,220,319,charge,Cu-Ni-15kV,1.2997167
Cut,9.36022542e+05,221,319,charge,Cu-Ni-15kV,7.9275811
Cut,9.68431657e+05,222,319,charge,Cu-Ni-15kV,8.2020679
Cut,9.37611088e+05,224,319,charge,Cu-Ni-15kV,7.9410352
Cut,1.00994963e+06,232,319,charge,Cu-Ni-15kV,8.5537017
Cut,1.06878096e+06,237,319,charge,Cu-Ni-15kV,9.0519697
Cut,1.00393051e+06,238,319,charge,Cu-Ni-15kV,8.5027232
Cut,9.94466265e+05,239,319,charge,Cu-Ni-15kV,8.4225663
Cut,8.68219667e+05,241,319,charge,Cu-Ni-15kV,7.3533291
Cut,1.02148107e+06,242,319,charge,Cu-Ni-15kV,8.6513664
Cut,9.36954292e+05,244,319,charge,Cu-Ni-15kV,7.9354725
Cut,9.56088648e+05,245,319,charge,Cu-Ni-15kV,8.0975296
Cut,9.11809022e+05,247,319,charge,Cu-Ni-15kV,7.7225063
Cut,7.19208776e+05,248,319,charge,Cu-Ni-15kV,6.0912912
Cut,8.84371871e+05,252,319,charge,Cu-Ni-15kV,7.4901291
Cut,9.13155359e+05,253,319,charge,Cu-Ni-15kV,7.733909
Cut,1.0550233e+06,254,319,charge,Cu-Ni-15kV,8.9354502
Cut,8.82998046e+05,259,319,charge,Cu-Ni-15kV,7.4784936
Cut,9.32420969e+05,260,319,charge,Cu-Ni-15kV,7.8970778
Cut,1.04651385e+06,262,319,charge,Cu-Ni-15kV,8.8633799
Cut,7.25098027e+05,264,319,charge,Cu-Ni-15kV,6.1411698
Cut,1.07547042e+06,266,319,charge,Cu-Ni-15kV,9.1086256
Cut,1.0254837e+06,268,319,charge,Cu-Ni-15kV,8.6852664
Cut,9.74319984e+05,269,319,charge,Cu-Ni-15kV,8.2519387
Cut,9.33195968e+05,273,319,charge,Cu-Ni-15kV,7.9036416
Cut,9.70552823e+05,277,319,charge,Cu-Ni-15kV,8.220033
Cut,8.9947503e+05,278,319,charge,Cu-Ni-15kV,7.6180443
Cut,9.39104346e+05,280,319,charge,Cu-Ni-15kV,7.9536822
Cut,7.97206019e+05,281,319,charge,Cu-Ni-15kV,6.7518837
Cut,5.78921018e+05,282,319,charge,Cu-Ni-15kV,4.9031333
Cut,9.87433716e+05,283,319,charge,Cu-Ni-15kV,8.3630046
Cut,1.28432107e+06,284,319,charge,Cu-Ni-15kV,10.877472
Cut,9.7068349e+05,285,319,charge,Cu-Ni-15kV,8.2211397
Cut,1.0496939e+06,290,319,charge,Cu-Ni-15kV,8.8903131
Cut,9.64797465e+05,293,319,charge,Cu-Ni-15kV,8.1712884
Cut,9.31297119e+05,296,319,charge,Cu-Ni-15kV,7.8875594
Cut,9.68026948e+05,298,319,charge,Cu-Ni-15kV,8.1986403
Cut,1.09070741e+06,301,319,charge,Cu-Ni-15kV,9.2376744
Cut,1.18235152e+06,307,319,charge,Cu-Ni-15kV,10.013848
Cut,1.00058967e+06,308,319,charge,Cu-Ni-15kV,8.4744281
Cut,9.38823277e+05,310,319,charge,Cu-Ni-15kV,7.9513017
Cut,9.19768797e+05,312,319,charge,Cu-Ni-15kV,7.7899211
Cut,1.089847e+06,314,319,charge,Cu-Ni-15kV,9.2303872
Cut,1.05356518e+06,317,319,charge,Cu-Ni-15kV,8.9231007
Cut,9.01039608e+05,320,319,charge,Cu-Ni-15kV,7.6312954
Cut,9.75004911e+05,321,319,charge,Cu-Ni-15kV,8.2577397
Cut,9.76967044e+05,329,319,charge,Cu-Ni-15kV,8.2743578
Cut,9.95043955e+05,333,319,charge,Cu-Ni-15kV,8.427459
Cut,8.02651211e+05,338,319,charge,Cu-Ni-15kV,6.7980014
Cut,9.29577858e+05,339,319,charge,Cu-Ni-15kV,7.8729983
Cut,1.11866731e+06,340,319,charge,Cu-Ni-15kV,9.4744789
Cut,9.96206398e+05,341,319,charge,Cu-Ni-15kV,8.4373043
Cut,5.91457607e+05,343,319,charge,Cu-Ni-15kV,5.0093111
Cut,9.26093574e+05,345,319,charge,Cu-Ni-15kV,7.8434883
Cut,1.08852448e+06,347,319,charge,Cu-Ni-15kV,9.2191862
Cut,8.57359078e+05,349,319,charge,Cu-Ni-15kV,7.2613461
Cut,5.88103535e+05,350,319,charge,Cu-Ni-15kV,4.980904
Cut,5.87036459e+05,352,319,charge,Cu-Ni-15kV,4.9718665
Cut,9.82550428e+05,354,319,charge,Cu-Ni-15kV,8.3216459
Cut,7.70415632e+05,355,319,charge,Cu-Ni-15kV,6.5249843
Cut,1.13255685e+06,359,319,charge,Cu-Ni-15kV,9.5921154
Cut,9.17888859e+05,360,319,charge,Cu-Ni-15kV,7.7739991
Cut,9.9627193e+05,362,319,charge,Cu-Ni-15kV,8.4378593
Cut,9.32504906e+05,370,319,charge,Cu-Ni-15kV,7.8977887
Cut,9.87893708e+05,375,319,charge,Cu-Ni-15kV,8.3669005
Cut,1.00151017e+06,379,319,charge,Cu-Ni-15kV,8.4822242
Cut,9.18162874e+05,380,319,charge,Cu-Ni-15kV,7.7763198
Cut,9.31079147e+05,384,319,charge,Cu-Ni-15kV,7.8857133
Cut,9.27068895e+05,388,319,charge,Cu-Ni-15kV,7.8517488
Cut,9.19281662e+05,390,319,charge,Cu-Ni-15kV,7.7857953
Cut,9.21130943e+05,395,319,charge,Cu-Ni-15kV,7.8014577
Cut,1.01132502e+06,397,319,charge,Cu-Ni-15kV,8.5653504
Cut,1.19768828e+06,398,319,charge,Cu-Ni-15kV,10.143742
Cut,9.25311672e+05,399,319,charge,Cu-Ni-15kV,7.8368661
Cut,8.71630478e+05,400,319,charge,Cu-Ni-15kV,7.3822167
Cut,1.00398448e+06,402,319,charge,Cu-Ni-15kV,8.5031802
Cut,5.47215695e+05,404,319,charge,Cu-Ni-15kV,4.6346072
Cut,1.02850617e+06,406,319,charge,Cu-Ni-15kV,8.7108651
Cut,9.43082462e+05,408,319,charge,Cu-Ni-15kV,7.9873746
Cut,8.12438466e+05,411,319,charge,Cu-Ni-15kV,6.8808939
Cut,9.58265232e+05,415,319,charge,Cu-Ni-15kV,8.1159641
Cut,1.07366705e+06,421,319,charge,Cu-Ni-15kV,9.0933522
Cut,9.118752e+05,422,319,charge,Cu-Ni-15kV,7.7230668
Cut,9.07680472e+05,428,319,charge,Cu-Ni-15kV,7.6875398
Cut,9.133542e+05,434,319,charge,Cu-Ni-15kV,7.7355931
Cut,1.08642731e+06,435,319,charge,Cu-Ni-15kV,9.2014244
Cut,9.33622069e+05,436,319,charge,Cu-Ni-15kV,7.9072504
Cut,7.88464715e+05,437,319,charge,Cu-Ni-15kV,6.6778498
Cut,1.02652126e+06,438,319,charge,Cu-Ni-15kV,8.694054
Cut,9.8544161e+05,441,319,charge,Cu-Ni-15kV,8.3461326
Cut,9.27354837e+05,443,319,charge,Cu-Ni-15kV,7.8541705
Cut,1.07373249e+06,450,319,charge,Cu-Ni-15kV,9.0939064
Cut,9.84085672e+05,453,319,charge,Cu-Ni-15kV,8.3346486
Cut,1.01425659e+06,455,319,charge,Cu-Ni-15kV,8.5901792
Cut,9.59544365e+05,457,319,charge,Cu-Ni-15kV,8.1267976
Cut,1.09330636e+06,458,319,charge,Cu-Ni-15kV,9.259686
Cut,9.95009238e+05,459,319,charge,Cu-Ni-15kV,8.427165
Cut,9.04986216e+05,462,319,charge,Cu-Ni-15kV,7.664721
Cut,8.72508342e+05,465,319,charge,Cu-Ni-15kV,7.3896518
Cut,1.02144307e+06,468,319,charge,Cu-Ni-15kV,8.6510446
Cut,9.72007614e+05,471,319,charge,Cu-Ni-15kV,8.2323543
Cut,8.75029258e+05,480,319,charge,Cu-Ni-15kV,7.4110025
Cut,1.05059289e+06,482,319,charge,Cu-Ni-15kV,8.8979271
Cut,5.85342363e+05,485,319,charge,Cu-Ni-15kV,4.9575185
Cut,8.15378736e+05,487,319,charge,Cu-Ni-15kV,6.9057963
Cut,1.11170694e+06,488,319,charge,Cu-Ni-15kV,9.4155284
Cut,9.61132561e+05,490,319,charge,Cu-Ni-15kV,8.1402487
Cut,8.94915602e+05,494,319,charge,Cu-Ni-15kV,7.5794286
Cut,8.67616254e+05,497,319,charge,Cu-Ni-15kV,7.3482185
Cut,5.56814916e+05,498,319,charge,Cu-Ni-15kV,4.7159071
Cut,1.06436571e+06,507,319,charge,Cu-Ni-15kV,9.0145751
