Type,Energy,Counts
MPFIT,1.5e+05,8.56469033e-13
MPFIT,1.50647098e+05,9.31689086e-13
MPFIT,1.51294196e+05,1.01339581e-12
MPFIT,1.51941294e+05,1.10213794e-12
MPFIT,1.52588392e+05,1.1985097e-12
MPFIT,1.5323549e+05,1.30315449e-12
MPFIT,1.53882588e+05,1.41676889e-12
MPFIT,1.54529686e+05,1.54010691e-12
MPFIT,1.55176785e+05,1.67398468e-12
MPFIT,1.55823883e+05,1.81928543e-12
MPFIT,1.56470981e+05,1.9769649e-12
MPFIT,1.57118079e+05,2.14805712e-12
MPFIT,1.57765177e+05,2.33368076e-12
MPFIT,1.58412275e+05,2.53504586e-12
MPFIT,1.59059373e+05,2.7534611e-12
MPFIT,1.59706471e+05,2.99034174e-12
MPFIT,1.60353569e+05,3.24721806e-12
MPFIT,1.61000667e+05,3.5257445e-12
MPFIT,1.61647765e+05,3.82770952e-12
MPFIT,1.62294863e+05,4.15504623e-12
MPFIT,1.62941961e+05,4.50984381e-12
MPFIT,1.63589059e+05,4.89435982e-12
MPFIT,1.64236157e+05,5.31103349e-12
MPFIT,1.64883256e+05,5.7625e-12
MPFIT,1.65530354e+05,6.25160585e-12
MPFIT,1.66177452e+05,6.78142545e-12
MPFIT,1.6682455e+05,7.35527895e-12
MPFIT,1.67471648e+05,7.97675138e-12
MPFIT,1.68118746e+05,8.64971338e-12
MPFIT,1.68765844e+05,9.37834338e-12
MPFIT,1.69412942e+05,1.01671515e-11
MPFIT,1.7006004e+05,1.10210054e-11
MPFIT,1.70707138e+05,1.19451576e-11
MPFIT,1.71354236e+05,1.29452758e-11
MPFIT,1.72001334e+05,1.40274744e-11
MPFIT,1.72648432e+05,1.5198349e-11
MPFIT,1.7329553e+05,1.64650135e-11
MPFIT,1.73942628e+05,1.78351401e-11
MPFIT,1.74589726e+05,1.93170014e-11
MPFIT,1.75236825e+05,2.09195168e-11
MPFIT,1.75883923e+05,2.26523019e-11
MPFIT,1.76531021e+05,2.4525721e-11
MPFIT,1.77178119e+05,2.65509448e-11
MPFIT,1.77825217e+05,2.87400109e-11
MPFIT,1.78472315e+05,3.11058898e-11
MPFIT,1.79119413e+05,3.36625555e-11
MPFIT,1.79766511e+05,3.6425061e-11
MPFIT,1.80413609e+05,3.94096199e-11
MPFIT,1.81060707e+05,4.26336933e-11
MPFIT,1.81707805e+05,4.61160839e-11
MPFIT,1.82354903e+05,4.98770359e-11
MPFIT,1.83002001e+05,5.39383435e-11
MPFIT,1.83649099e+05,5.8323466e-11
MPFIT,1.84296197e+05,6.30576525e-11
MPFIT,1.84943296e+05,6.81680741e-11
MPFIT,1.85590394e+05,7.36839676e-11
MPFIT,1.86237492e+05,7.96367877e-11
MPFIT,1.8688459e+05,8.60603716e-11
MPFIT,1.87531688e+05,9.29911146e-11
MPFIT,1.88178786e+05,1.00468158e-10
MPFIT,1.88825884e+05,1.08533593e-10
MPFIT,1.89472982e+05,1.17232675e-10
MPFIT,1.9012008e+05,1.26614056e-10
MPFIT,1.90767178e+05,1.36730033e-10
MPFIT,1.91414276e+05,1.47636816e-10
MPFIT,1.92061374e+05,1.59394809e-10
MPFIT,1.92708472e+05,1.72068919e-10
MPFIT,1.9335557e+05,1.8572888e-10
MPFIT,1.94002668e+05,2.00449603e-10
MPFIT,1.94649767e+05,2.16311552e-10
MPFIT,1.95296865e+05,2.33401143e-10
MPFIT,1.95943963e+05,2.51811174e-10
MPFIT,1.96591061e+05,2.7164128e-10
MPFIT,1.97238159e+05,2.92998429e-10
MPFIT,1.97885257e+05,3.15997443e-10
MPFIT,1.98532355e+05,3.40761559e-10
MPFIT,1.99179453e+05,3.67423033e-10
MPFIT,1.99826551e+05,3.96123777e-10
MPFIT,2.00473649e+05,4.27016049e-10
MPFIT,2.01120747e+05,4.60263182e-10
MPFIT,2.01767845e+05,4.96040375e-10
MPFIT,2.02414943e+05,5.34535521e-10
MPFIT,2.03062041e+05,5.75950111e-10
MPFIT,2.03709139e+05,6.20500185e-10
MPFIT,2.04356237e+05,6.68417353e-10
MPFIT,2.05003336e+05,7.1994989e-10
MPFIT,2.05650434e+05,7.75363898e-10
MPFIT,2.06297532e+05,8.34944551e-10
MPFIT,2.0694463e+05,8.98997421e-10
