Cut?,Counts,eventNumber,runNumber
Raw,1.03152387e+06,2,320
Raw,2.85221917e+05,10,320
Raw,6.68448971e+05,11,320
Raw,2.5281775e+05,23,320
Raw,9.8209347e+05,25,320
Raw,1.01653411e+06,26,320
Raw,9.72314862e+05,30,320
Raw,1.93975664e+06,39,320
Raw,6.24674949e+05,45,320
Raw,89999.569,45,320
Raw,1.37079612e+06,48,320
Raw,8.66745516e+05,55,320
Raw,2.00591615e+06,58,320
Raw,1.03159095e+06,62,320
Raw,1.07682404e+06,63,320
Raw,4.28610301e+05,64,320
Raw,6.88863973e+05,66,320
Raw,2.2874608e+06,67,320
Raw,1.77356313e+06,75,320
Raw,8.81691156e+05,76,320
Raw,8502.0272,89,320
Raw,1.03278624e+06,94,320
Raw,9.32877588e+05,100,320
Raw,7.7151796e+05,101,320
Raw,2.80595647e+05,105,320
Raw,1.87976303e+06,108,320
Raw,9.85993674e+05,111,320
Raw,8.02559025e+05,113,320
Raw,1.92686859e+06,116,320
Raw,22039.723,120,320
Raw,6.6334842e+05,121,320
Raw,9.31798964e+05,135,320
Raw,9.15936941e+05,135,320
Raw,8.83784617e+05,138,320
Raw,4.37416769e+05,140,320
Raw,7.40896199e+05,141,320
Raw,7.96777237e+05,142,320
Raw,9.70109327e+05,148,320
Raw,1.03962361e+06,157,320
Raw,8.95131175e+05,161,320
Raw,9.1528136e+05,164,320
Raw,1.07164903e+06,164,320
Raw,1.0453364e+06,168,320
Raw,1.01134884e+06,173,320
Raw,6.33599006e+05,176,320
Raw,9.43377451e+05,177,320
Raw,1.00981047e+06,183,320
Raw,9.92513568e+05,183,320
Raw,6.06358209e+05,187,320
Raw,1.67718152e+06,191,320
Raw,5.55250235e+05,196,320
Raw,5.95862838e+05,206,320
Raw,1.43563224e+06,210,320
Raw,9.77842977e+05,220,320
Raw,9.98167382e+05,221,320
Raw,1.60836625e+06,222,320
Raw,1.09920383e+06,223,320
Raw,1.10689983e+06,224,320
Raw,9.61139222e+05,233,320
Raw,9.90369224e+05,239,320
Raw,6.01753589e+05,251,320
Raw,5.5181365e+05,259,320
Raw,1.00444153e+06,270,320
Raw,1.04568609e+06,274,320
Raw,1.77910886e+06,279,320
Raw,8.51245667e+05,284,320
Raw,9.16541259e+05,285,320
Raw,9.9971969e+05,286,320
Raw,1.08177644e+05,289,320
Raw,1.14319358e+06,290,320
Raw,1.00449557e+06,291,320
Raw,9.23086501e+05,298,320
Raw,9.61595786e+05,300,320
Raw,7.74974873e+05,310,320
Raw,1.70021904e+06,317,320
Raw,1.75351414e+06,325,320
Raw,1.54297556e+06,327,320
Raw,1.7871093e+05,336,320
Raw,8.48337019e+05,339,320
Raw,5.50658764e+05,341,320
Raw,1.4905131e+05,342,320
Raw,9.41098218e+05,351,320
Raw,1.11721367e+06,351,320
Raw,8.18795294e+05,352,320
Raw,1.72575441e+06,361,320
Raw,6.00337017e+05,361,320
Raw,9.3135198e+05,362,320
Raw,4.66449981e+05,363,320
Raw,3.96016296e+05,376,320
Raw,2.02886057e+05,387,320
Raw,2.20242093e+06,392,320
Raw,9.0505511e+05,396,320
Raw,1.0310284e+06,399,320
Raw,8.72305134e+05,409,320
Raw,1.99942174e+06,422,320
Raw,1.08660125e+06,434,320
Raw,4.97457268e+05,436,320
Raw,1.07093697e+06,439,320
Raw,6.8401482e+05,442,320
Raw,6.53636306e+05,443,320
Raw,1.00679336e+06,446,320
Raw,7.8477418e+05,446,320
Raw,7.30747508e+05,447,320
Raw,1.09785764e+06,469,320
Raw,8.98407656e+05,471,320
Raw,8.75376461e+05,472,320
Raw,9.7124126e+05,478,320
Raw,9.6427587e+05,482,320
Raw,9.81502058e+05,484,320
Raw,3.59297084e+05,484,320
Raw,1.51550343e+06,485,320
Raw,1.03075436e+06,487,320
Raw,1.10960065e+06,490,320
Raw,9.21659038e+05,503,320
Raw,1.59126622e+06,504,320
Raw,1.4773131e+06,507,320
Raw,8.10522713e+05,509,320
Raw,8.6549784e+05,515,320
Raw,9.97486938e+05,518,320
Raw,1.11552144e+06,520,320
Raw,6.11354017e+05,524,320
Raw,9.26510265e+05,526,320
Raw,4.5438907e+05,535,320
Raw,7.68728555e+05,537,320
Raw,9.08308007e+05,538,320
Raw,20087.589,543,320
Raw,1.04566617e+06,558,320
Raw,3.22328479e+05,563,320
Raw,1.8845268e+06,566,320
Raw,1.36388797e+06,568,320
Raw,1.63944884e+06,569,320
Raw,1.76479184e+06,579,320
Raw,8.88352148e+05,581,320
Raw,1.69133263e+06,585,320
Raw,1.91099558e+06,587,320
Raw,7.59871985e+05,588,320
Raw,9.07828087e+05,593,320
Raw,5.27057566e+05,596,320
Raw,9.93679276e+05,597,320
Raw,7.31425264e+05,598,320
Raw,5.62061546e+05,600,320
Raw,9.09643076e+05,601,320
Raw,1.08168518e+06,602,320
Raw,1.0398426e+06,646,320
Raw,1.14741932e+06,650,320
Raw,8.55948062e+05,653,320
Raw,5.12140842e+05,659,320
Raw,9.55139578e+05,664,320
Raw,6.10185314e+05,669,320
Raw,2.37472209e+06,671,320
Raw,8.35992579e+05,676,320
Raw,9.46129715e+05,683,320
Raw,8.42629657e+05,683,320
Raw,3.26388585e+05,688,320
Raw,1.02841024e+06,698,320
Raw,6.30750623e+05,698,320
Raw,8.12849079e+05,705,320
Raw,1.05481175e+06,710,320
Raw,1.15427511e+06,712,320
Raw,8.84732025e+05,713,320
Raw,9.29042821e+05,715,320
Raw,9.5571585e+05,718,320
Raw,8.47963786e+05,720,320
Raw,1.54220165e+06,734,320
Raw,1.75456898e+06,741,320
Raw,9.41474978e+05,758,320
Raw,1.54415241e+06,769,320
Raw,8.53452016e+05,775,320
Raw,5.92826785e+05,785,320
Raw,1.11962817e+06,790,320
Raw,1.01445462e+05,791,320
Raw,5.89345097e+05,792,320
Raw,9.43570624e+05,803,320
Raw,1.97414872e+06,809,320
Raw,1.01822616e+06,812,320
Raw,8.98162953e+05,813,320
Raw,7.31299376e+05,813,320
Raw,1.58623635e+06,815,320
Raw,8.21988636e+05,822,320
Raw,8.54475975e+05,829,320
Raw,8.23070698e+05,849,320
Raw,8.92940015e+05,850,320
Raw,1.01250904e+06,851,320
Raw,1.06613797e+06,854,320
Raw,6.95421789e+05,854,320
Raw,9.90510466e+05,864,320
Raw,9.45723436e+05,866,320
Raw,1.46995765e+06,869,320
Raw,1.02606438e+06,875,320
Raw,1.05459871e+06,876,320
Raw,1.96404339e+06,881,320
Raw,4.11559922e+05,885,320
Raw,9.70635768e+05,885,320
Raw,9.79742471e+05,889,320
Raw,1.10790429e+06,891,320
Raw,2.07323729e+05,892,320
Raw,3.77463058e+05,897,320
Raw,9.68854272e+05,912,320
Raw,4.36391442e+05,915,320
Raw,8.9960796e+05,915,320
Raw,3.27032927e+05,924,320
Raw,9.78857207e+05,931,320
Raw,1.41974955e+05,932,320
Raw,1.96635982e+06,939,320
Raw,8.61260609e+05,945,320
Raw,1.51451341e+06,948,320
Raw,7.59007669e+05,962,320
Raw,1.89173573e+06,963,320
Raw,1.11779565e+06,968,320
Raw,2.65118416e+06,973,320
Raw,1.09245349e+06,981,320
Raw,9.25467071e+05,984,320
Raw,9.66151975e+05,985,320
Raw,5.82340163e+05,986,320
Raw,1.0210994e+06,993,320
Raw,3.08545179e+05,994,320
Raw,8.26411897e+05,1006,320
Raw,1.50128367e+06,1009,320
Raw,1.14160269e+06,1015,320
Raw,8.83255938e+05,1017,320
Raw,8.62736431e+05,1025,320
Raw,9.81358026e+05,1029,320
Raw,2.07312753e+06,1033,320
Raw,1.19863056e+06,1043,320
Raw,7.53907804e+05,1055,320
Raw,1.87764336e+06,1062,320
Raw,9.83015113e+05,1063,320
Raw,8.52544558e+05,1071,320
Raw,4.58412191e+05,1094,320
Raw,1.01394252e+06,1129,320
Raw,5.52610097e+05,1129,320
Raw,1.00518148e+06,1131,320
Raw,1.06149952e+06,1133,320
Raw,1.5514716e+06,1166,320
Raw,9.50236806e+05,1167,320
Raw,1.06255124e+06,1173,320
Raw,6.24664774e+05,1173,320
Raw,8.64811686e+05,1181,320
Raw,5.65223827e+05,1182,320
Raw,6.48087805e+05,1183,320
Raw,1.37152574e+06,1190,320
Raw,1.14029426e+06,1198,320
Raw,1.02100991e+06,1203,320
Raw,9.71676094e+05,1208,320
Raw,8.58342225e+05,1218,320
Raw,1.22846945e+06,1225,320
Raw,2.61669901e+05,1226,320
Raw,1.01288122e+06,1227,320
Raw,9.77172634e+05,1233,320
Raw,8.6612262e+05,1236,320
Raw,72896.498,1245,320
Raw,9.05748933e+05,1247,320
Raw,1.19740434e+06,1251,320
