eccentricity,run
1.1555418,319
1.050312,319
1.0520044,319
1.0435767,319
1.0254551,319
1.1103542,319
1.1453386,319
1.0782189,319
1.0967985,319
1.0239901,319
1.1746836,319
1.0450301,319
1.0533383,319
1.1699404,319
1.1444309,319
1.2032921,319
1.1951773,319
1.1775077,319
1.0453616,319
1.2037134,319
1.0642536,319
1.0694696,319
1.0172865,319
1.0147412,319
1.1765929,319
1.0933121,319
1.0370991,319
1.0100896,319
1.0617251,319
1.0663325,319
1.1144291,319
1.0667705,319
1.0752947,319
1.0703817,319
1.0547457,319
1.2273551,319
1.070901,319
1.1192209,319
1.1931068,319
1.0486965,319
1.0478555,319
1.052378,319
1.1007242,319
1.0992069,319
1.1890467,319
1.0932914,319
1.0426419,319
1.087547,319
1.0451696,319
1.0810981,319
1.1373622,319
1.0405179,319
1.1721471,319
1.1668221,319
1.0989082,319
1.0788975,319
1.1335345,319
1.0988686,319
1.1198048,319
1.1602223,319
1.0641118,319
1.131859,319
1.0672455,319
1.0665977,319
1.067578,319
1.0689676,319
1.0895443,319
1.0712204,319
1.0648232,319
1.0375601,319
1.0967607,319
1.0933545,319
1.16888,319
1.1913329,319
1.0347395,319
1.0464785,319
1.0533427,319
1.1946494,319
1.1710018,319
1.0943513,319
1.0309075,319
1.0579438,319
1.0533224,319
1.0777978,319
1.0894609,319
1.1044843,319
1.030853,319
1.0766638,319
1.0965947,319
1.0563612,319
1.1560692,319
1.0154583,319
1.2237089,319
1.0698747,319
1.2132227,319
1.0962776,319
1.0810001,319
1.0716537,319
1.1558654,319
1.0608508,319
1.0873547,319
1.1772018,319
1.1380259,319
1.0835709,319
1.0291661,319
1.0317202,319
1.0176926,319
1.1436619,319
1.2275695,319
1.1640435,319
1.1673446,319
1.0945852,319
1.1198501,319
1.0615438,319
1.051348,319
1.0730705,319
1.1302205,319
1.0632467,319
1.178481,319
1.1100841,319
1.1190967,319
1.1727546,319
1.1498685,319
1.0556975,319
1.1299727,319
1.0704034,319
1.128024,319
1.1278279,319
1.0356414,319
1.0651933,319
1.0282353,319
1.0705438,319
1.0467248,319
1.0536978,319
1.1019915,319
1.0979081,319
1.0739555,319
1.2062703,319
1.2490201,319
1.0786546,319
1.1351816,319
1.0319449,319
1.1229152,319
1.1006252,319
1.1292265,319
1.048399,319
1.012473,319
1.1539412,319
1.0336207,319
1.135451,319
1.0703049,319
1.0392164,319
1.097658,319
1.0456532,319
1.0348232,319
1.0686572,319
1.0450647,319
1.0821375,319
1.142704,319
1.1221,319
1.0379842,319
1.1412265,319
1.0185677,319
1.0874141,319
1.0687975,319
1.1245412,319
1.0817412,319
1.0644861,319
1.1121043,319
1.1547865,319
1.1046542,319
1.0719889,319
1.1517146,319
1.0364693,319
1.0564456,319
1.1105932,319
1.116115,319
1.1025022,319
1.1857477,319
1.0712686,319
1.0069644,319
1.0565992,319
1.0296084,319
1.0442743,319
1.1518276,319
1.0920522,319
1.0178516,319
1.0563271,319
1.1421548,319
1.0203129,319
1.2627414,319
1.1212232,319
1.2755334,319
1.1110438,319
1.0947721,319
1.1087682,319
1.0822167,319
1.0152816,319
1.1652059,319
1.0953603,319
1.0404865,319
1.1072861,319
1.0893675,319
1.1494109,319
1.1437739,319
1.1203044,319
1.0284096,319
1.085875,319
1.0330008,319
1.0384802,319
1.066202,319
1.1180513,319
1.0125959,319
1.1111508,319
1.1766439,319
1.0554044,319
1.0847059,319
1.0256387,319
1.0739279,319
1.1216869,319
1.0174206,319
1.170682,319
1.0623556,319
1.1694242,319
1.0530399,319
1.2436133,319
1.1373272,319
1.0325168,319
1.0780868,319
1.1255346,319
1.1739251,319
1.0946304,319
1.0974235,319
1.0402842,319
1.1303853,319
1.0594787,319
1.1581923,319
1.1157761,319
1.1045913,319
1.0713737,319
1.17771,319
1.0600463,319
1.0545627,319
1.1134625,319
1.0041799,319
1.1363099,319
1.1379979,319
1.0952281,319
1.0427839,319
1.0762587,319
1.0858669,319
1.1062591,319
1.0448419,319
1.1262997,319
1.07354,319
1.1254959,319
1.0378248,319
1.1099957,319
1.0561415,319
1.0670552,319
1.2820777,319
1.2240545,319
1.2054962,319
1.0195354,319
1.0641282,319
1.1489073,319
1.0469798,319
1.0897946,319
1.0996836,319
1.1233895,319
1.1343309,319
1.2576049,319
1.0441558,319
1.1167681,319
1.2769415,319
1.1339436,319
1.0668678,319
1.1128889,319
1.1266012,319
1.1721932,319
1.1435794,319
1.0253393,319
1.0141848,319
1.0314393,319
1.0716022,319
1.0845121,319
1.1791025,319
1.0412723,319
1.0593482,319
1.0474722,319
1.0936235,319
1.1123382,319
1.0470617,319
1.0973264,319
1.053921,319
1.0859354,319
1.0580735,319
1.0516377,319
1.062445,319
1.1397689,319
1.0201396,319
1.1019098,319
1.107806,319
1.2311524,319
1.0427874,319
1.1763613,319
1.0420014,319
1.0351353,319
1.1749257,319
1.1251447,319
1.0349308,319
1.0151827,319
1.1816073,319
1.0720823,319
1.0407943,319
1.0810462,319
1.0520045,319
1.0340772,319
1.078317,319
1.0616997,319
1.042871,319
1.1025618,319
1.0903524,319
1.0872848,319
1.1378699,319
1.0649251,319
1.0691589,319
1.0769408,319
1.0562261,319
1.0339101,319
1.1398569,319
1.1184554,319
1.0862885,319
1.0311656,319
1.1123227,319
1.087508,319
1.1168741,319
1.0449832,319
1.0607156,319
1.1482194,319
1.1636694,319
1.0778872,319
1.0347363,319
1.1234171,319
1.0395774,319
1.107838,319
1.0915615,319
1.1601922,319
1.1000073,319
1.1630629,319
1.079953,319
1.1071695,319
1.0716589,319
1.1610711,319
1.0718314,319
1.0918527,319
1.0794563,319
1.0389497,319
1.1051628,319
1.044352,319
1.0409089,319
1.1239821,319
1.0424872,319
1.1270331,319
1.0211076,319
1.1913863,319
1.0598492,319
1.094577,319
1.1133876,319
1.124297,319
1.0354165,319
1.125447,319
1.0272501,319
1.1532235,319
1.049523,319
1.0347298,319
1.0630837,319
1.2869722,319
1.1438288,319
1.0347279,319
1.1048476,319
1.0985023,319
1.0858843,319
1.1580565,319
1.1600547,319
1.0990669,319
1.1019834,319
1.154237,319
1.1357401,319
1.0274865,319
1.0170859,319
1.096369,319
1.1024646,319
