fractionInTransverseRms,run
0.3498452,319
0.37014925,319
0.37943262,319
0.37719298,319
0.36245955,319
0.33928571,319
0.3485342,319
0.38141026,319
0.32228916,319
0.35234899,319
0.321875,319
0.34031414,319
0.39808917,319
0.31438127,319
0.31125828,319
0.3025641,319
0.315,319
0.29357798,319
0.37386018,319
0.35460993,319
0.37864078,319
0.37047354,319
0.3768997,319
0.38440111,319
0.3427762,319
0.35393258,319
0.37752161,319
0.40065147,319
0.36778116,319
0.37951807,319
0.33431085,319
0.33854167,319
0.33860759,319
0.35474006,319
0.39423077,319
0.32300885,319
0.35693215,319
0.35493827,319
0.31372549,319
0.36645963,319
0.39817629,319
0.36046512,319
0.29041096,319
0.38348083,319
0.30733945,319
0.34055728,319
0.37202381,319
0.33881579,319
0.38109756,319
0.35691318,319
0.2955665,319
0.35913313,319
0.33333333,319
0.3625,319
0.34029851,319
0.3707483,319
0.34055728,319
0.35737705,319
0.3313253,319
0.36075949,319
0.39506173,319
0.31528662,319
0.36549708,319
0.3697479,319
0.37993921,319
0.38138138,319
0.36645963,319
0.36151603,319
0.36842105,319
0.37171053,319
0.35051546,319
0.32971014,319
0.30538922,319
0.34083601,319
0.35755814,319
0.43425076,319
0.37650602,319
0.3,319
0.34441088,319
0.38585209,319
0.39513678,319
0.37539432,319
0.32930514,319
0.34153846,319
0.36245955,319
0.34482759,319
0.36842105,319
0.3853211,319
0.34579439,319
0.37878788,319
0.30555556,319
0.40356083,319
0.3117284,319
0.34366197,319
0.31,319
0.37151703,319
0.37047354,319
0.37179487,319
0.4047619,319
0.36708861,319
0.33633634,319
0.30407524,319
0.32944606,319
0.35153584,319
0.37386018,319
0.40569395,319
0.38235294,319
0.36716418,319
0.2875,319
0.35109718,319
0.32996633,319
0.37345679,319
0.33232628,319
0.3427673,319
0.37643678,319
0.33333333,319
0.33855799,319
0.37908497,319
0.33436533,319
0.34890966,319
0.34076433,319
0.33807829,319
0.35692308,319
0.36807818,319
0.33333333,319
0.37666667,319
0.33546326,319
0.34161491,319
0.38938053,319
0.35885167,319
0.3713355,319
0.35897436,319
0.35472973,319
0.35678392,319
0.37864078,319
0.35185185,319
0.41328413,319
0.26136364,319
0.31847134,319
0.36337209,319
0.38153846,319
0.35443038,319
0.375,319
0.36148649,319
0.36688312,319
0.38782051,319
0.42857143,319
0.37025316,319
0.36503067,319
0.33576642,319
0.34083601,319
0.34883721,319
0.34670487,319
0.39896373,319
0.38208955,319
0.35403727,319
0.38590604,319
0.39628483,319
0.33048433,319
0.39879154,319
0.41346154,319
0.41414141,319
0.34461538,319
0.36764706,319
0.37681159,319
0.3625,319
0.38066465,319
0.38545455,319
0.33819242,319
0.32934132,319
0.33704735,319
0.37539432,319
0.35925926,319
0.37377049,319
0.39622642,319
0.38782051,319
0.32951289,319
0.39563863,319
0.32565789,319
0.29573171,319
0.36018957,319
0.35350318,319
0.38111888,319
0.39189189,319
0.40809969,319
0.37847222,319
0.38121547,319
0.34985423,319
0.32343234,319
0.39156627,319
0.30645161,319
0.34131737,319
0.28888889,319
0.35103245,319
0.37171053,319
0.39769452,319
0.33193277,319
0.35272727,319
0.34456929,319
0.34876543,319
0.33841463,319
0.35825545,319
0.33536585,319
0.36877076,319
0.31496063,319
0.35220126,319
0.39589443,319
0.35947712,319
0.33910035,319
0.30454545,319
0.40291262,319
0.35798817,319
0.38095238,319
0.36206897,319
0.3297491,319
0.39506173,319
0.36419753,319
0.37096774,319
0.34857143,319
0.36190476,319
0.35755814,319
0.32899023,319
0.43657817,319
0.30448718,319
0.34551495,319
0.35172414,319
0.34304207,319
0.38157895,319
0.365625,319
0.34954407,319
0.34210526,319
0.3622291,319
0.31088083,319
0.35649547,319
0.33447099,319
0.39197531,319
0.36809816,319
0.34129693,319
0.3883792,319
0.33576642,319
0.32404181,319
0.32386364,319
0.4057971,319
0.30638298,319
0.3707483,319
0.32075472,319
0.32773109,319
0.35076923,319
0.37575758,319
0.3220339,319
0.3557047,319
0.36752137,319
0.34795322,319
0.35802469,319
0.29166667,319
0.30681818,319
0.36890244,319
0.32019704,319
0.35185185,319
0.36549708,319
0.33333333,319
0.33333333,319
0.29878049,319
0.37910448,319
0.34638554,319
0.36551724,319
0.36227545,319
0.31778426,319
0.33650794,319
0.33870968,319
0.35223881,319
0.3,319
0.41324921,319
0.36555891,319
0.25680934,319
0.32673267,319
0.38695652,319
0.32743363,319
0.35714286,319
0.31,319
0.34713376,319
0.36774194,319
0.38872404,319
0.39449541,319
0.3704918,319
0.37777778,319
0.34628975,319
0.40697674,319
0.38904899,319
0.3960396,319
0.32415902,319
0.38263666,319
0.34,319
0.37719298,319
0.35474006,319
0.41212121,319
0.36448598,319
0.34275618,319
0.30593607,319
0.24752475,319
0.37748344,319
0.38853503,319
0.31470588,319
0.33021807,319
0.41158537,319
0.32881356,319
0.39130435,319
0.39622642,319
0.32484076,319
0.34626039,319
0.34743202,319
0.39104478,319
0.32417582,319
0.37216828,319
0.3853211,319
0.40645161,319
0.3883792,319
0.36982249,319
0.31407942,319
0.36079545,319
0.34539474,319
0.41891892,319
0.34653465,319
0.32225914,319
0.35151515,319
0.39007092,319
0.36184211,319
0.34397163,319
0.365625,319
0.45,319
0.36423841,319
0.34023669,319
0.31208054,319
0.36119403,319
0.34418605,319
0.35313531,319
0.30059524,319
0.3862069,319
0.36184211,319
0.30392157,319
0.39701493,319
0.33116883,319
0.39221557,319
0.32911392,319
0.40949555,319
0.33691756,319
0.37572254,319
0.33447099,319
0.37116564,319
0.36389685,319
0.35913313,319
0.34146341,319
0.40243902,319
0.33333333,319
0.34365325,319
0.37222222,319
0.34782609,319
0.36893204,319
0.33796296,319
0.35119048,319
0.34431138,319
0.4,319
0.40251572,319
0.34551495,319
0.37800687,319
0.32371795,319
0.40697674,319
0.38655462,319
0.36578171,319
0.3622291,319
0.34539474,319
0.34375,319
0.37974684,319
0.26842105,319
0.36647727,319
0.36363636,319
0.30718954,319
0.28225806,319
0.36451613,319
0.40066225,319
0.35928144,319
0.29707113,319
0.36012862,319
0.33233533,319
0.32817337,319
0.33536585,319
0.31560284,319
0.35830619,319
0.33212996,319
0.37745098,319
0.36656891,319
0.35096154,319
0.35849057,319
0.32225914,319
0.37219731,319
0.35310734,319
0.38484848,319
0.38650307,319
0.35087719,319
0.26595745,319
0.37699681,319
0.37304075,319
0.32857143,319
0.36956522,319
0.35185185,319
0.3597561,319
0.34196891,319
0.42038217,319
0.37373737,319
0.36655949,319
0.32835821,319
0.33207547,319
0.37654321,319
0.39545455,319
0.34,319
0.33717579,319
0.31794872,319
0.36656891,319
0.37025316,319
0.35755814,319
0.35625,319
0.35714286,319
0.35294118,319
0.39090909,319
0.40123457,319
0.39461883,319
0.31196581,319
0.37573964,319
0.32919255,319
0.33846154,319
0.33935018,319
0.39233038,319
0.41768293,319
0.27358491,319
0.42019544,319
0.38823529,319
0.33676976,319
0.39939024,319
0.4047619,319
0.35855263,319
0.3880597,319
0.32247557,319
0.35549133,319
0.38769231,319
0.28205128,319
0.34036145,319
0.34507042,319
0.34375,319
0.34915254,319
0.3566879,319
0.40438871,319
0.35932203,319
0.35779817,319
0.39473684,319
0.30921053,319
0.35955056,319
0.36330935,319
0.32905983,319
0.34146341,319
0.37391304,319
0.37152778,319
0.32857143,319
0.34812287,319
0.28703704,319
0.40061162,319
0.38333333,319
0.38719512,319
0.33815029,319
0.31896552,319
0.34532374,319
0.38943894,319
0.34868421,319
0.30769231,319
0.4017094,319
0.32089552,319
0.36890244,319
0.33224756,319
0.35942029,319
0.37179487,319
0.38562092,319
0.37209302,319
0.36744186,319
0.37681159,319
0.33846154,319
0.33762058,319
0.28643216,319
0.35849057,319
0.35888502,319
0.35987261,319
0.38387097,319
0.37142857,319
0.36012862,319
0.3883792,319
0.36102236,319
0.39171975,319
0.36688312,319
0.37419355,319
0.38387097,319
0.31407942,319
