lengthDivRmsTrans,run
6.6335053,319
5.9253949,319
5.8240963,319
5.9576476,319
5.5862003,319
6.3138285,319
7.0110609,319
6.0305082,319
6.4465259,319
5.3813024,319
5.7707617,319
5.1323445,319
5.8244874,319
5.80154,319
6.0886874,319
6.6029054,319
5.9273707,319
6.2680443,319
5.4750935,319
6.3888627,319
5.6511003,319
6.8438221,319
6.032276,319
5.6964507,319
7.3131021,319
5.8717621,319
6.6483314,319
5.7148493,319
5.6333223,319
5.9619358,319
5.8966196,319
5.8610816,319
5.7517633,319
6.692118,319
6.0204502,319
6.6631415,319
5.9213143,319
5.5927934,319
8.4425055,319
5.6148525,319
6.1287119,319
5.7071691,319
5.3826032,319
6.4128505,319
6.460422,319
5.5975709,319
5.09357,319
6.0420669,319
5.3119539,319
5.7435888,319
6.160065,319
5.4402886,319
6.2940103,319
6.3908032,319
6.1783934,319
5.8981859,319
5.7156777,319
7.2767276,319
6.4040902,319
6.1726384,319
6.8461934,319
5.7743348,319
5.78142,319
7.4659292,319
6.4196489,319
6.1303789,319
6.5692955,319
6.1272627,319
5.3448114,319
5.1738764,319
6.5164857,319
5.8675929,319
6.5735399,319
6.6822056,319
5.7045783,319
6.4086061,319
5.8775541,319
5.2475819,319
6.3500428,319
6.4494089,319
5.0344222,319
5.7554214,319
5.6830022,319
6.725213,319
6.9738494,319
5.2302575,319
5.6515355,319
7.3241828,319
6.3518428,319
5.6609604,319
6.4019894,319
5.4645936,319
6.0353516,319
5.9825845,319
6.6078917,319
6.3743703,319
5.1989269,319
6.8552172,319
6.8990857,319
5.6377459,319
5.0788449,319
6.4714827,319
7.9664844,319
5.3505212,319
6.132847,319
5.0809022,319
5.1928607,319
7.2138332,319
6.6915203,319
6.630624,319
5.9873456,319
6.0027219,319
6.8421203,319
5.469115,319
6.5843023,319
7.2310362,319
6.251031,319
6.6909589,319
6.3586175,319
5.7600144,319
5.5202263,319
6.2282863,319
6.2661706,319
5.7399321,319
5.9174714,319
5.9099974,319
6.3957446,319
6.6199266,319
5.0780469,319
5.5637867,319
5.4559633,319
6.4906865,319
4.9918276,319
5.6212001,319
5.4980286,319
6.4440591,319
5.5668052,319
5.8894446,319
7.5288028,319
5.3337799,319
