length,run
4.7345691,319
5.6638026,319
2.407719,319
5.5464751,319
3.8998785,319
5.2225152,319
6.1314063,319
4.1407327,319
5.8447969,319
2.5588651,319
3.3528332,319
1.989457,319
3.795563,319
2.5579052,319
4.4248652,319
3.4923665,319
3.721428,319
5.3926215,319
5.3575454,319
2.9364185,319
5.0166932,319
5.8436344,319
5.2357013,319
5.6154851,319
6.4275235,319
5.4815475,319
5.4783938,319
4.5383839,319
5.5775161,319
5.35443,319
5.1721815,319
1.5018847,319
3.0428846,319
4.5311311,319
4.4997096,319
5.18385,319
5.6064978,319
5.0860906,319
3.7175722,319
3.5719477,319
5.2090873,319
5.5402477,319
4.9378281,319
4.4787991,319
4.6735802,319
5.4165928,319
4.5876776,319
3.8288969,319
5.3613739,319
5.5522107,319
3.5715707,319
4.5186448,319
5.3636113,319
6.0820121,319
5.5677543,319
2.8128668,319
3.7373838,319
3.3167557,319
4.954082,319
5.7045402,319
6.6155281,319
4.7699213,319
4.4904547,319
4.9045318,319
6.0190687,319
5.1385993,319
5.5705149,319
5.6062699,319
3.3931138,319
5.0754939,319
4.6861437,319
5.674049,319
5.8866893,319
5.6591727,319
5.4471871,319
4.0011569,319
4.4565255,319
4.3654052,319
5.2029392,319
5.0894257,319
4.3375525,319
3.7525874,319
3.8679514,319
5.9529477,319
4.3524022,319
5.2696228,319
2.2558922,319
7.0530211,319
5.9039327,319
4.604221,319
1.8032962,319
5.32375,319
4.5007696,319
5.1388804,319
5.4634214,319
5.3514298,319
4.6232046,319
5.9682639,319
5.6002764,319
2.926596,319
5.1986052,319
4.0545947,319
6.4019658,319
3.0942565,319
6.3277261,319
3.3815529,319
4.8307123,319
6.3299959,319
1.4200707,319
4.7059755,319
2.8715349,319
5.1148231,319
4.9626404,319
3.4633852,319
5.3215084,319
2.8153045,319
4.8205908,319
4.6300658,319
4.9364194,319
2.8578258,319
3.2357458,319
2.9416599,319
4.5198635,319
2.7434335,319
3.6631792,319
5.5691153,319
5.398261,319
3.7004177,319
4.5400523,319
4.5449155,319
3.9148675,319
6.5278861,319
3.1343254,319
5.1771936,319
3.5980207,319
6.1245552,319
5.2055672,319
1.276496,319
5.2996563,319
4.6693847,319
5.0865045,319
4.5469397,319
2.626314,319
2.7543587,319
3.1998596,319
5.6251322,319
4.4347431,319
5.5257037,319
5.3255936,319
2.5191052,319
4.0208679,319
4.2213943,319
6.4179131,319
3.4260229,319
4.1805114,319
4.3853964,319
5.8559306,319
5.7549648,319
6.2936502,319
5.4299284,319
4.7740784,319
3.9918117,319
3.4816307,319
6.077579,319
5.341342,319
4.9849053,319
4.3600338,319
3.1177225,319
6.0695945,319
5.5405669,319
5.4210363,319
4.1306748,319
2.3606976,319
3.2362432,319
5.4026108,319
4.1835442,319
5.0947037,319
5.5332763,319
4.0055708,319
3.6389746,319
4.339664,319
5.1070776,319
2.2641412,319
3.2773642,319
4.7975346,319
4.3605933,319
2.5843501,319
5.7056647,319
6.4349557,319
5.7018709,319
5.962148,319
5.3724507,319
2.3016779,319
5.619553,319
3.6602001,319
6.0360955,319
1.789094,319
2.1474867,319
3.1692542,319
4.1674667,319
5.0541816,319
6.199093,319
5.2859418,319
5.9740088,319
2.2046636,319
4.7841901,319
5.9018666,319
2.8434584,319
5.6961086,319
4.866673,319
4.781684,319
5.8105308,319
5.2986053,319
7.3921109,319
2.4552832,319
5.1100653,319
5.4230983,319
3.4928248,319
6.2671662,319
5.9426566,319
4.1813924,319
2.6845582,319
5.6530746,319
4.2472458,319
5.692051,319
6.2392387,319
3.569728,319
3.6738492,319
5.1209543,319
5.606032,319
5.4234448,319
4.49589,319
2.1817752,319
5.2537116,319
5.3689889,319
5.4087812,319
5.5085424,319
2.8601224,319
4.9420816,319
2.5909378,319
3.8886497,319
4.5638809,319
4.5975264,319
1.8108418,319
5.5042719,319
5.3742924,319
6.1794542,319
6.3922272,319
6.4677227,319
1.7597325,319
6.0887873,319
6.1551349,319
5.4205023,319
6.0201801,319
0.84091773,319
2.0817327,319
4.8018947,319
3.2858129,319
6.3673934,319
4.2619064,319
5.5098859,319
5.0288834,319
1.4540253,319
3.9049869,319
5.578703,319
4.6893006,319
5.6439231,319
4.8365408,319
3.9013537,319
2.9635261,319
4.6639355,319
3.5322985,319
4.5263068,319
4.7042652,319
2.1249581,319
3.2108187,319
6.2688666,319
5.0266031,319
6.0657148,319
3.6001497,319
4.6512464,319
3.9513115,319
4.6284702,319
6.248346,319
2.522081,319
5.0691548,319
3.0275206,319
5.878819,319
4.2114511,319
5.4719778,319
5.731392,319
4.5534439,319
1.8568296,319
5.6762776,319
4.1780025,319
4.9187682,319
4.4967445,319
3.0972157,319
3.9323559,319
0.89502669,319
4.7507042,319
4.6647827,319
4.1536869,319
4.3218922,319
5.2556774,319
2.9888616,319
3.0645747,319
6.3899989,319
4.8467775,319
5.1082141,319
5.5726247,319
5.635577,319
4.8319675,319
6.0555401,319
4.0672072,319
5.3907714,319
4.5334976,319
5.1887453,319
2.3046005,319
5.551193,319
3.4196091,319
1.0135698,319
3.4060236,319
2.6153307,319
5.1664591,319
2.8640433,319
5.6238494,319
3.8817453,319
5.6716035,319
4.6357507,319
6.4293427,319
5.261053,319
4.4366217,319
6.8546693,319
1.7966374,319
5.3844444,319
4.8991647,319
3.6979739,319
3.3,319
2.9826803,319
3.9653316,319
3.1585369,319
6.0213824,319
6.6706485,319
7.639474,319
3.0973424,319
6.5742053,319
3.6510446,319
6.0472879,319
4.5421462,319
3.1970883,319
5.6622349,319
5.4537736,319
4.3917429,319
5.6543639,319
5.6279671,319
4.2855541,319
4.5062035,319
1.807491,319
5.9791404,319
5.7014885,319
4.2089396,319
5.0933259,319
6.1183671,319
5.6400079,319
6.0182554,319
5.4544019,319
6.0287923,319
4.30091,319
5.4304372,319
4.6604921,319
5.9194411,319
4.5503819,319
1.3989444,319
5.7236607,319
5.3890285,319
4.9434897,319
2.0078076,319
6.7349363,319
3.828392,319
4.5117084,319
5.1695708,319
4.0433439,319
6.2856393,319
5.9495712,319
4.0650218,319
2.5095494,319
4.2681478,319
2.8714127,319
2.4875166,319
4.1391638,319
4.0579999,319
4.1091349,319
5.092952,319
5.1830381,319
4.2904229,319
6.2006436,319
3.5729116,319
3.0823925,319
1.2009723,319
5.7573081,319
4.6712933,319
2.4936435,319
4.5728851,319
5.3105428,319
4.7104955,319
5.1469951,319
3.9156583,319
4.3025442,319
5.1292368,319
5.7766058,319
5.3336048,319
3.6614443,319
4.0244721,319
4.7849627,319
4.936186,319
5.6788732,319
4.57064,319
6.2341257,319
5.9877125,319
4.7044643,319
4.8799442,319
2.1134569,319
4.9353786,319
5.939889,319
3.6985252,319
1.6511591,319
5.0529488,319
3.5588743,319
4.1691264,319
2.1700376,319
5.1481902,319
7.1248742,319
4.444488,319
4.6656694,319
6.0499609,319
2.8748784,319
5.1643659,319
5.2841963,319
5.0865279,319
5.2889736,319
3.7087233,319
5.0152477,319
5.5324378,319
2.8904512,319
5.9495934,319
3.3386321,319
5.3481562,319
4.8192735,319
5.0060256,319
4.2689476,319
4.2412817,319
1.081959,319
5.2474962,319
4.7835177,319
2.0664469,319
5.569395,319
1.8716936,319
5.0653564,319
5.1052314,319
2.2204589,319
4.3079438,319
5.5656936,319
5.8192718,319
6.8757922,319
4.6267019,319
6.3620294,319
5.3903864,319
6.0709843,319
6.661375,319
5.3969676,319
6.5450883,319
1.949305,319
5.2832782,319
2.7524306,319
6.2154962,319
3.6988238,319
6.4672967,319
4.1688535,319
5.5437995,319
6.7727896,319
3.5555836,319
6.9843937,319
5.5166931,319
5.1518303,319
1.8529855,319
6.1751304,319
2.9604963,319
5.3587286,319
2.9163923,319
5.6614857,319
3.6267106,319
5.0623898,319
4.7491071,319
4.5813292,319
5.2227859,319
6.7649155,319
4.7277655,319
2.1006427,319
3.4515302,319
3.4918274,319
3.6537178,319
5.0351266,319
4.4669819,319
4.8713705,319
6.0125484,319
5.4016522,319
6.7600015,319
5.1448117,319
4.3556131,319
5.8376184,319
5.2697896,319
4.9132619,319
4.4559414,319
5.5452732,319
5.1036151,319
4.7843773,319
6.2385574,319
5.9460901,319
5.9731285,319
4.7353216,319
8.7466741,319
1.860688,319
6.68509,319
1.909217,319
5.1203241,319
2.4595317,319
2.7629594,319
5.9855617,319
2.5985708,319
5.5176717,319
3.7165415,319
5.3420228,319
6.610518,319
4.3214777,319
0.95130422,319
5.0810163,319
3.3523527,319
5.2627816,319
1.1423964,319
4.754094,319
5.3400024,319
6.3695105,319
4.5357635,319
5.6741178,319
4.0161439,319
4.124697,319
5.0196743,319
3.9515991,319
3.4134429,319
5.2143696,319
5.164797,319
4.8905433,319
5.2051024,319
1.1647052,319
3.7643472,319
6.1487803,319
5.5167586,319
3.889779,319
4.6236963,319
5.0250047,319
5.2652058,319
6.0619499,319
4.3871149,319
3.0696299,319
5.2374111,319
5.2788924,319
3.8171499,319
3.8547392,319
4.0423742,319
1.9378475,319
4.5274425,319
6.9276413,319
4.7459166,319
5.6742083,319
5.4101585,319
3.8502936,319
5.8199783,319
5.46585,319
4.231671,319
5.1783879,319
6.1855768,319
5.6039502,319
2.8187441,319
1.8884641,319
4.71993,319
5.7208877,319
5.0619797,319
4.7875962,319
6.759815,319
5.4327824,319
3.3179044,319
5.4336402,319
1.6242801,319
5.4279377,319
4.4564537,319
2.0581294,319
6.4118312,319
2.664166,319
5.5028057,319
2.8835652,319
6.1968837,319
2.5918499,319
4.9779248,319
5.4491137,319
4.5605416,319
5.0462032,319
2.7599262,319
4.3833272,319
5.7373366,319
4.6764033,319
5.4243997,319
4.3680009,319
5.6603695,319
4.0298545,319
5.9709253,319
5.7862796,319
6.0011252,319
4.4610078,319
1.1292829,319
1.7823498,319
4.5020957,319
2.0077095,319
2.5334507,319
3.2942867,319
5.7006467,319
6.2196969,319
5.1013241,319
4.4921883,319
3.9632243,319
5.9906299,319
5.7818387,319
5.8219007,319
5.6598031,319
6.0740725,319
4.1616435,319
7.1174549,319
4.1014912,319
5.3911603,319
2.1466897,319
3.1735633,319
6.4907481,319
5.0749745,319
3.8706888,319
5.4359579,319
5.9801328,319
5.1117761,319
3.8745754,319
2.0873113,319
5.0344457,319
4.7672749,319
5.6004358,319
5.0180212,319
5.5947464,319
5.915087,319
1.5786539,319
5.0360864,319
2.7880468,319
4.1057773,319
5.2477637,319
4.101322,319
2.8000774,319
2.7240835,319
2.1902501,319
2.5985214,319
6.6492927,319
5.18544,319
4.7496642,319
4.8075314,319
4.3260299,319
4.4795353,319
5.3652556,319
6.5536004,319
6.3409569,319
5.7034938,319
4.4045007,319
6.1806839,319
5.077607,319
2.8751453,319
6.0191614,319
1.9713017,319
3.622156,319
5.5241752,319
1.7263831,319
3.7210986,319
5.9224656,319
4.6876467,319
3.7062031,319
2.2334056,319
2.4302078,319
5.2831569,319
3.7108784,319
5.3916971,319
5.3705001,319
6.4761102,319
2.5342674,319
5.5992962,319
3.3463685,319
3.3790393,319
6.8200726,319
6.1011499,319
6.0039712,319
5.5109385,319
3.3175596,319
5.8284176,319
3.5989579,319
4.8391231,319
4.8906237,319
2.8174782,319
5.3529635,319
5.0503722,319
2.9600068,319
6.5872148,319
