totalCharge,run
9.35673503e+05,319
9.67290393e+05,319
1.04198059e+06,319
9.53924956e+05,319
8.51647816e+05,319
1.04786213e+06,319
9.08907843e+05,319
8.78600632e+05,319
9.1868185e+05,319
1.0386692e+06,319
1.02722179e+06,319
7.01725541e+05,319
9.67714577e+05,319
1.05399904e+06,319
8.78313182e+05,319
7.33410983e+05,319
5.70175651e+05,319
9.4105546e+05,319
9.64622353e+05,319
1.01650737e+06,319
8.81563007e+05,319
1.09287618e+06,319
9.47129114e+05,319
1.11470815e+06,319
1.00426307e+06,319
1.02806954e+06,319
1.11895293e+06,319
9.20178643e+05,319
9.2052309e+05,319
9.61449413e+05,319
9.72515254e+05,319
1.3060074e+06,319
1.03064102e+06,319
1.03869426e+06,319
9.17448775e+05,319
6.47688933e+05,319
1.00354398e+06,319
9.07859599e+05,319
1.05096527e+06,319
9.82926555e+05,319
9.09837943e+05,319
9.76457613e+05,319
1.0957976e+06,319
1.0345943e+06,319
6.90671524e+05,319
9.69974631e+05,319
1.07764044e+06,319
8.79331343e+05,319
9.19021443e+05,319
8.63435063e+05,319
5.97211204e+05,319
8.92353296e+05,319
9.32978872e+05,319
8.48247176e+05,319
9.38707264e+05,319
9.66193953e+05,319
1.04682709e+06,319
1.00959843e+06,319
9.52375617e+05,319
8.58177251e+05,319
8.87305184e+05,319
8.37222244e+05,319
1.05527446e+06,319
1.17983452e+06,319
9.2093248e+05,319
9.71481059e+05,319
9.21109842e+05,319
9.15420823e+05,319
6.1293897e+05,319
7.99874896e+05,319
7.72751561e+05,319
8.52395004e+05,319
9.2027464e+05,319
9.58932747e+05,319
1.05440555e+06,319
1.0179173e+06,319
1.03302481e+06,319
1.53459687e+05,319
9.36022542e+05,319
9.68431657e+05,319
9.37611088e+05,319
1.00994963e+06,319
1.06878096e+06,319
1.00393051e+06,319
9.94466265e+05,319
8.68219667e+05,319
1.02148107e+06,319
9.36954292e+05,319
9.56088648e+05,319
9.11809022e+05,319
7.19208776e+05,319
8.84371871e+05,319
