Energy,PeakPos,PeakErr
8.04,321.54097,0.55081283
8.04,313.0717,0.6152626
8.04,267.75733,0.36716669
5.89,216.72881,0.93958153
5.89,228.13789,0.29384471
5.89,200.65133,0.30546275
4.51,181.8285,1.1417728
4.51,175.65708,0.58844434
4.51,160.69334,1.0031695
2.98,117.8744,0.28453101
2.98,116.4446,0.15344386
2.98,106.88216,0.20387411
1.49,57.690786,0.14998987
1.49,56.737739,0.12148282
0.93,35.421465,0.32587821
0.93,33.282442,0.34773209
0.93,33.663256,0.52584456
0.525,25.177574,0.3263864
0.525,21.216973,0.094992419
0.277,19.062746,0.11943738
0.277,17.938976,0.065937618
