Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,193,0,315,hits,Mn-Cr-12kV,5.2451263
Cut,252,1,315,hits,Mn-Cr-12kV,6.8485587
Cut,223,2,315,hits,Mn-Cr-12kV,6.0604309
Cut,206,3,315,hits,Mn-Cr-12kV,5.598425
Cut,232,6,315,hits,Mn-Cr-12kV,6.3050223
Cut,223,7,315,hits,Mn-Cr-12kV,6.0604309
Cut,235,12,315,hits,Mn-Cr-12kV,6.3865527
Cut,217,13,315,hits,Mn-Cr-12kV,5.89737
Cut,225,17,315,hits,Mn-Cr-12kV,6.1147845
Cut,230,20,315,hits,Mn-Cr-12kV,6.2506686
Cut,200,21,315,hits,Mn-Cr-12kV,5.435364
Cut,236,22,315,hits,Mn-Cr-12kV,6.4137296
Cut,226,23,315,hits,Mn-Cr-12kV,6.1419614
Cut,431,24,315,hits,Mn-Cr-12kV,11.713209
Cut,242,27,315,hits,Mn-Cr-12kV,6.5767905
Cut,222,29,315,hits,Mn-Cr-12kV,6.0332541
Cut,249,34,315,hits,Mn-Cr-12kV,6.7670282
Cut,235,35,315,hits,Mn-Cr-12kV,6.3865527
Cut,179,37,315,hits,Mn-Cr-12kV,4.8646508
Cut,246,38,315,hits,Mn-Cr-12kV,6.6854978
Cut,227,41,315,hits,Mn-Cr-12kV,6.1691382
Cut,166,42,315,hits,Mn-Cr-12kV,4.5113521
Cut,203,43,315,hits,Mn-Cr-12kV,5.5168945
Cut,177,45,315,hits,Mn-Cr-12kV,4.8102972
Cut,233,54,315,hits,Mn-Cr-12kV,6.3321991
Cut,260,61,315,hits,Mn-Cr-12kV,7.0659732
Cut,224,63,315,hits,Mn-Cr-12kV,6.0876077
Cut,232,69,315,hits,Mn-Cr-12kV,6.3050223
Cut,223,74,315,hits,Mn-Cr-12kV,6.0604309
Cut,157,77,315,hits,Mn-Cr-12kV,4.2667608
Cut,234,80,315,hits,Mn-Cr-12kV,6.3593759
Cut,262,81,315,hits,Mn-Cr-12kV,7.1203269
Cut,131,82,315,hits,Mn-Cr-12kV,3.5601634
Cut,227,83,315,hits,Mn-Cr-12kV,6.1691382
Cut,203,86,315,hits,Mn-Cr-12kV,5.5168945
Cut,205,87,315,hits,Mn-Cr-12kV,5.5712481
Cut,234,93,315,hits,Mn-Cr-12kV,6.3593759
Cut,226,95,315,hits,Mn-Cr-12kV,6.1419614
Cut,197,96,315,hits,Mn-Cr-12kV,5.3538336
Cut,200,97,315,hits,Mn-Cr-12kV,5.435364
Cut,348,98,315,hits,Mn-Cr-12kV,9.4575334
Cut,192,102,315,hits,Mn-Cr-12kV,5.2179495
Cut,176,105,315,hits,Mn-Cr-12kV,4.7831203
Cut,244,108,315,hits,Mn-Cr-12kV,6.6311441
Cut,168,109,315,hits,Mn-Cr-12kV,4.5657058
Cut,227,113,315,hits,Mn-Cr-12kV,6.1691382
Cut,228,114,315,hits,Mn-Cr-12kV,6.196315
Cut,70,115,315,hits,Mn-Cr-12kV,1.9023774
Cut,211,119,315,hits,Mn-Cr-12kV,5.7343091
Cut,183,121,315,hits,Mn-Cr-12kV,4.9733581
Cut,218,128,315,hits,Mn-Cr-12kV,5.9245468
Cut,221,131,315,hits,Mn-Cr-12kV,6.0060773
Cut,291,132,315,hits,Mn-Cr-12kV,7.9084547
Cut,319,135,315,hits,Mn-Cr-12kV,8.6694056
Cut,184,143,315,hits,Mn-Cr-12kV,5.0005349
Cut,196,147,315,hits,Mn-Cr-12kV,5.3266568
Cut,219,149,315,hits,Mn-Cr-12kV,5.9517236
Cut,237,152,315,hits,Mn-Cr-12kV,6.4409064
Cut,186,154,315,hits,Mn-Cr-12kV,5.0548885
Cut,191,157,315,hits,Mn-Cr-12kV,5.1907726
Cut,239,168,315,hits,Mn-Cr-12kV,6.49526
Cut,274,171,315,hits,Mn-Cr-12kV,7.4464487
Cut,194,174,315,hits,Mn-Cr-12kV,5.2723031
Cut,202,175,315,hits,Mn-Cr-12kV,5.4897177
Cut,235,179,315,hits,Mn-Cr-12kV,6.3865527
Cut,220,187,315,hits,Mn-Cr-12kV,5.9789004
Cut,234,195,315,hits,Mn-Cr-12kV,6.3593759
Cut,251,199,315,hits,Mn-Cr-12kV,6.8213819
Cut,173,204,315,hits,Mn-Cr-12kV,4.7015899
Cut,226,205,315,hits,Mn-Cr-12kV,6.1419614
Cut,73,207,315,hits,Mn-Cr-12kV,1.9839079
Cut,240,208,315,hits,Mn-Cr-12kV,6.5224368
Cut,196,215,315,hits,Mn-Cr-12kV,5.3266568
Cut,101,221,315,hits,Mn-Cr-12kV,2.7448588
Cut,307,223,315,hits,Mn-Cr-12kV,8.3432838
Cut,186,230,315,hits,Mn-Cr-12kV,5.0548885
Cut,225,231,315,hits,Mn-Cr-12kV,6.1147845
Cut,91,232,315,hits,Mn-Cr-12kV,2.4730906
Cut,210,234,315,hits,Mn-Cr-12kV,5.7071322
Cut,240,236,315,hits,Mn-Cr-12kV,6.5224368
Cut,230,237,315,hits,Mn-Cr-12kV,6.2506686
Cut,76,238,315,hits,Mn-Cr-12kV,2.0654383
Cut,172,239,315,hits,Mn-Cr-12kV,4.6744131
Cut,226,243,315,hits,Mn-Cr-12kV,6.1419614
Cut,232,257,315,hits,Mn-Cr-12kV,6.3050223
Cut,215,258,315,hits,Mn-Cr-12kV,5.8430163
Cut,186,262,315,hits,Mn-Cr-12kV,5.0548885
Cut,228,265,315,hits,Mn-Cr-12kV,6.196315
