Type,Energy,Counts
MPFIT,47,0.048416786
MPFIT,47.138759,0.048750104
MPFIT,47.277518,0.049085721
MPFIT,47.416278,0.049423653
MPFIT,47.555037,0.049763916
MPFIT,47.693796,0.050106527
MPFIT,47.832555,0.050451502
MPFIT,47.971314,0.050798858
MPFIT,48.110073,0.051148612
MPFIT,48.248833,0.051500781
MPFIT,48.387592,0.051855382
MPFIT,48.526351,0.052212433
MPFIT,48.66511,0.052571951
MPFIT,48.803869,0.052933954
MPFIT,48.942628,0.05329846
MPFIT,49.081388,0.053665487
MPFIT,49.220147,0.054035053
MPFIT,49.358906,0.054407177
MPFIT,49.497665,0.054781877
MPFIT,49.636424,0.055159173
MPFIT,49.775183,0.055539083
MPFIT,49.913943,0.055921627
MPFIT,50.052702,0.056306825
MPFIT,50.191461,0.056694695
MPFIT,50.33022,0.057085259
MPFIT,50.468979,0.057478536
MPFIT,50.607738,0.057874548
MPFIT,50.746498,0.058273314
MPFIT,50.885257,0.058674857
MPFIT,51.024016,0.059079197
MPFIT,51.162775,0.059486357
MPFIT,51.301534,0.059896359
MPFIT,51.440294,0.060309224
MPFIT,51.579053,0.060724976
MPFIT,51.717812,0.061143638
MPFIT,51.856571,0.061565234
MPFIT,51.99533,0.061989788
MPFIT,52.134089,0.062417323
MPFIT,52.272849,0.062847866
MPFIT,52.411608,0.06328144
MPFIT,52.550367,0.063718073
MPFIT,52.689126,0.064157791
MPFIT,52.827885,0.064600619
MPFIT,52.966644,0.065046587
MPFIT,53.105404,0.065495722
MPFIT,53.244163,0.065948052
MPFIT,53.382922,0.066403608
MPFIT,53.521681,0.066862418
MPFIT,53.66044,0.067324515
MPFIT,53.799199,0.067789929
MPFIT,53.937959,0.068258694
MPFIT,54.076718,0.068730841
MPFIT,54.215477,0.069206407
MPFIT,54.354236,0.069685424
MPFIT,54.492995,0.070167931
MPFIT,54.631755,0.070653963
MPFIT,54.770514,0.071143559
MPFIT,54.909273,0.071636759
MPFIT,55.048032,0.072133603
MPFIT,55.186791,0.072634133
MPFIT,55.32555,0.073138393
MPFIT,55.46431,0.073646428
MPFIT,55.603069,0.074158282
MPFIT,55.741828,0.074674006
MPFIT,55.880587,0.075193647
MPFIT,56.019346,0.075717257
MPFIT,56.158105,0.076244891
MPFIT,56.296865,0.076776602
MPFIT,56.435624,0.077312448
MPFIT,56.574383,0.077852488
MPFIT,56.713142,0.078396785
MPFIT,56.851901,0.078945401
MPFIT,56.99066,0.079498405
MPFIT,57.12942,0.080055866
MPFIT,57.268179,0.080617855
MPFIT,57.406938,0.081184447
MPFIT,57.545697,0.081755722
MPFIT,57.684456,0.082331761
MPFIT,57.823215,0.082912649
MPFIT,57.961975,0.083498474
MPFIT,58.100734,0.084089329
MPFIT,58.239493,0.084685312
MPFIT,58.378252,0.085286522
MPFIT,58.517011,0.085893066
MPFIT,58.655771,0.086505053
MPFIT,58.79453,0.087122598
MPFIT,58.933289,0.087745821
MPFIT,59.072048,0.088374849
MPFIT,59.210807,0.089009813
MPFIT,59.349566,0.089650849
MPFIT,59.488326,0.090298102
MPFIT,59.627085,0.090951722
MPFIT,59.765844,0.091611866
MPFIT,59.904603,0.0922787
MPFIT,60.043362,0.092952394
MPFIT,60.182121,0.093633131
MPFIT,60.320881,0.094321097
MPFIT,60.45964,0.095016492
MPFIT,60.598399,0.095719521
MPFIT,60.737158,0.096430402
MPFIT,60.875917,0.09714936
MPFIT,61.014676,0.097876634
MPFIT,61.153436,0.098612472
MPFIT,61.292195,0.099357134
MPFIT,61.430954,0.10011089
MPFIT,61.569713,0.10087403
MPFIT,61.708472,0.10164685
MPFIT,61.847231,0.10242966
MPFIT,61.985991,0.10322279
MPFIT,62.12475,0.10402658
MPFIT,62.263509,0.1048414
MPFIT,62.402268,0.1056676
MPFIT,62.541027,0.10650559
MPFIT,62.679787,0.10735578
MPFIT,62.818546,0.1082186
MPFIT,62.957305,0.10909449
MPFIT,63.096064,0.10998393
MPFIT,63.234823,0.1108874
MPFIT,63.373582,0.11180542
MPFIT,63.512342,0.11273852
MPFIT,63.651101,0.11368727
MPFIT,63.78986,0.11465226
MPFIT,63.928619,0.11563409
MPFIT,64.067378,0.11663341
MPFIT,64.206137,0.11765088
MPFIT,64.344897,0.1186872
MPFIT,64.483656,0.1197431
MPFIT,64.622415,0.12081934
MPFIT,64.761174,0.12191672
MPFIT,64.899933,0.12303607
MPFIT,65.038692,0.12417824
MPFIT,65.177452,0.12534415
MPFIT,65.316211,0.12653473
MPFIT,65.45497,0.12775096
MPFIT,65.593729,0.12899387
MPFIT,65.732488,0.13026452
MPFIT,65.871247,0.13156402
MPFIT,66.010007,0.13289353
MPFIT,66.148766,0.13425425
MPFIT,66.287525,0.13564744
MPFIT,66.426284,0.13707441
MPFIT,66.565043,0.1385365
MPFIT,66.703803,0.14003514
MPFIT,66.842562,0.1415718
MPFIT,66.981321,0.14314801
MPFIT,67.12008,0.14476535
MPFIT,67.258839,0.14642548
MPFIT,67.397598,0.14813012
MPFIT,67.536358,0.14988105
MPFIT,67.675117,0.15168013
MPFIT,67.813876,0.15352927
MPFIT,67.952635,0.15543049
MPFIT,68.091394,0.15738585
MPFIT,68.230153,0.1593975
MPFIT,68.368913,0.16146768
MPFIT,68.507672,0.1635987
MPFIT,68.646431,0.16579295
MPFIT,68.78519,0.16805293
MPFIT,68.923949,0.17038121
MPFIT,69.062708,0.17278045
MPFIT,69.201468,0.17525342
MPFIT,69.340227,0.17780298
MPFIT,69.478986,0.18043209
MPFIT,69.617745,0.18314381
MPFIT,69.756504,0.1859413
MPFIT,69.895264,0.18882784
MPFIT,70.034023,0.19180682
MPFIT,70.172782,0.19488173
MPFIT,70.311541,0.19805618
MPFIT,70.4503,0.2013339
MPFIT,70.589059,0.20471876
MPFIT,70.727819,0.20821471
MPFIT,70.866578,0.21182586
MPFIT,71.005337,0.21555644
MPFIT,71.144096,0.21941082
MPFIT,71.282855,0.22339348
MPFIT,71.421614,0.22750907
MPFIT,71.560374,0.23176235
MPFIT,71.699133,0.23615823
MPFIT,71.837892,0.24070178
MPFIT,71.976651,0.24539821
MPFIT,72.11541,0.25025285
MPFIT,72.254169,0.25527123
MPFIT,72.392929,0.260459
MPFIT,72.531688,0.26582198
MPFIT,72.670447,0.27136616
MPFIT,72.809206,0.27709766
MPFIT,72.947965,0.28302278
MPFIT,73.086724,0.28914801
MPFIT,73.225484,0.29547996
MPFIT,73.364243,0.30202544
MPFIT,73.503002,0.30879144
MPFIT,73.641761,0.31578508
MPFIT,73.78052,0.32301371
MPFIT,73.91928,0.3304848
