Type,Energy,Counts
MPFIT,1.1e+05,0.22767862
MPFIT,1.10740494e+05,0.23413466
MPFIT,1.11480987e+05,0.24074686
MPFIT,1.12221481e+05,0.24751813
MPFIT,1.12961975e+05,0.25445142
MPFIT,1.13702468e+05,0.26154969
MPFIT,1.14442962e+05,0.26881594
MPFIT,1.15183456e+05,0.27625318
MPFIT,1.15923949e+05,0.28386446
MPFIT,1.16664443e+05,0.29165286
MPFIT,1.17404937e+05,0.29962146
MPFIT,1.1814543e+05,0.30777339
MPFIT,1.18885924e+05,0.31611179
MPFIT,1.19626418e+05,0.32463982
MPFIT,1.20366911e+05,0.33336067
MPFIT,1.21107405e+05,0.34227754
MPFIT,1.21847899e+05,0.35139365
MPFIT,1.22588392e+05,0.36071225
MPFIT,1.23328886e+05,0.3702366
MPFIT,1.2406938e+05,0.37996997
MPFIT,1.24809873e+05,0.38991565
MPFIT,1.25550367e+05,0.40007696
MPFIT,1.26290861e+05,0.41045721
MPFIT,1.27031354e+05,0.42105973
MPFIT,1.27771848e+05,0.43188786
MPFIT,1.28512342e+05,0.44294496
MPFIT,1.29252835e+05,0.45423438
MPFIT,1.29993329e+05,0.46575949
MPFIT,1.30733823e+05,0.47752367
MPFIT,1.31474316e+05,0.48953029
MPFIT,1.3221481e+05,0.50178272
MPFIT,1.32955304e+05,0.51428436
MPFIT,1.33695797e+05,0.52703858
MPFIT,1.34436291e+05,0.54004876
MPFIT,1.35176785e+05,0.55331827
MPFIT,1.35917278e+05,0.5668505
MPFIT,1.36657772e+05,0.58064879
MPFIT,1.37398266e+05,0.59471652
MPFIT,1.38138759e+05,0.60905702
MPFIT,1.38879253e+05,0.62367363
MPFIT,1.39619746e+05,0.63856967
MPFIT,1.4036024e+05,0.65374845
MPFIT,1.41100734e+05,0.66921326
MPFIT,1.41841227e+05,0.68496736
MPFIT,1.42581721e+05,0.70101402
MPFIT,1.43322215e+05,0.71735645
MPFIT,1.44062708e+05,0.73399785
MPFIT,1.44803202e+05,0.75094141
MPFIT,1.45543696e+05,0.76819027
MPFIT,1.46284189e+05,0.78574754
