eccentricity,run
1.0389506,315
1.0651275,315
1.017514,315
1.0922538,315
1.0788636,315
1.0441231,315
1.0897032,315
1.1678901,315
1.0599269,315
1.0223701,315
1.0642166,315
1.0950188,315
1.271435,315
1.2136321,315
1.0675282,315
1.1153249,315
1.0634292,315
1.0507516,315
1.0905799,315
1.1449609,315
1.0983905,315
1.030693,315
1.0732191,315
1.0888055,315
1.2329754,315
1.1058432,315
1.1786925,315
1.038656,315
1.1030407,315
1.1605779,315
1.1746802,315
1.1402949,315
1.1084873,315
1.0618763,315
1.0817594,315
1.1624969,315
1.1726088,315
1.1556842,315
1.0507798,315
1.2029202,315
1.0479862,315
1.2120317,315
1.0835947,315
1.0587272,315
1.0417533,315
1.1084805,315
1.0262433,315
1.0662787,315
1.2848054,315
1.2410517,315
1.1032014,315
1.0523016,315
1.0900306,315
1.1489161,315
1.2783331,315
1.1174519,315
1.142043,315
1.1119838,315
1.0365045,315
1.1211719,315
1.160288,315
1.0697082,315
1.0939,315
1.0526051,315
1.1164078,315
1.1520771,315
1.1368066,315
1.1478833,315
1.1308299,315
1.0768965,315
1.2505804,315
1.1520047,315
1.1376731,315
1.0541834,315
1.041771,315
1.0430093,315
1.1094896,315
1.2782333,315
1.2218681,315
1.0974778,315
1.0416153,315
1.0844133,315
1.1333517,315
1.1582259,315
1.1989441,315
1.0980978,315
1.1541931,315
1.0662816,315
1.0224994,315
1.0627995,315
1.1412788,315
1.1998353,315
1.1272039,315
1.1086829,315
1.1803488,315
1.1089762,315
1.0487106,315
1.2394507,315
1.0435649,315
1.0772508,315
1.0978318,315
1.0229278,315
1.1025258,315
1.0865923,315
1.1726182,315
1.1746715,315
1.058828,315
1.1427136,315
1.0577742,315
1.0693203,315
1.0749685,315
1.1681723,315
1.2212554,315
1.1939722,315
1.1201996,315
1.218749,315
1.0612813,315
1.2072103,315
1.0746015,315
1.1376491,315
1.0849579,315
1.1127254,315
1.0497726,315
1.0992201,315
1.1104205,315
1.0578307,315
1.0274425,315
1.0287802,315
1.1993425,315
1.0153815,315
1.1094546,315
1.0349631,315
1.1506805,315
1.0324279,315
1.0471676,315
1.048104,315
1.1269346,315
1.0906542,315
1.099607,315
1.0245665,315
1.0546985,315
1.1254522,315
1.0725257,315
1.1273187,315
1.0704406,315
1.1511156,315
1.0222648,315
1.1400386,315
1.0478928,315
1.1337224,315
1.2913094,315
1.1302608,315
1.0458787,315
1.2333942,315
1.1058337,315
1.0180245,315
1.1251681,315
1.145125,315
1.1643378,315
1.2845972,315
1.0532429,315
1.2380787,315
1.0797908,315
1.1199551,315
1.2285394,315
1.1999839,315
1.2584211,315
1.0549989,315
1.1454091,315
1.0812618,315
1.0604064,315
1.0278846,315
1.1648462,315
1.067982,315
1.1134218,315
1.1653122,315
1.2038389,315
1.063805,315
1.0308611,315
1.2690183,315
1.0087344,315
1.0327343,315
1.0609636,315
1.0971953,315
1.2115543,315
1.1681089,315
