fractionInTransverseRms,run
0.36787565,315
0.38492063,315
0.42152466,315
0.33009709,315
0.40517241,315
0.39013453,315
0.36170213,315
0.359447,315
0.34666667,315
0.40869565,315
0.39,315
0.37288136,315
0.2699115,315
0.3062645,315
0.33057851,315
0.4009009,315
0.42971888,315
0.36170213,315
0.3575419,315
0.32520325,315
0.37885463,315
0.35542169,315
0.35960591,315
0.33333333,315
0.30901288,315
0.34230769,315
0.31696429,315
0.39655172,315
0.30493274,315
0.31847134,315
0.30769231,315
0.35496183,315
0.39694656,315
0.31277533,315
0.36945813,315
0.36097561,315
0.39316239,315
0.32743363,315
0.40101523,315
0.265,315
0.37643678,315
0.26041667,315
0.34659091,315
0.39344262,315
0.33928571,315
0.33039648,315
0.39912281,315
0.28571429,315
0.30331754,315
0.3442623,315
0.36238532,315
0.33936652,315
0.39862543,315
0.34169279,315
0.29891304,315
0.32142857,315
0.38356164,315
0.37974684,315
0.34946237,315
0.35602094,315
0.34309623,315
0.37226277,315
0.32474227,315
0.39108911,315
0.34893617,315
0.28181818,315
0.36752137,315
0.35856574,315
0.37572254,315
0.39823009,315
0.34246575,315
0.32916667,315
0.34693878,315
0.47524752,315
0.3485342,315
0.30645161,315
0.36888889,315
0.36263736,315
0.34761905,315
0.4,315
0.3826087,315
0.34210526,315
0.31976744,315
0.39380531,315
0.37931034,315
0.35813953,315
0.32795699,315
0.37719298,315
0.37704918,315
0.34831461,315
0.37278107,315
0.3254717,315
0.38461538,315
0.30769231,315
0.35215947,315
0.3627907,315
0.33962264,315
0.40116279,315
0.34177215,315
0.37759336,315
0.41317365,315
0.43523316,315
0.34347826,315
0.37171053,315
0.36016949,315
0.3030303,315
0.39622642,315
0.34745763,315
0.3628692,315
0.3836478,315
0.4127907,315
0.3254717,315
0.31472081,315
0.33333333,315
0.3875,315
0.31578947,315
0.34020619,315
0.34210526,315
0.36526946,315
0.33791209,315
0.3742515,315
0.33834586,315
0.32222222,315
0.30978261,315
0.3423913,315
0.38438438,315
0.37755102,315
0.35744681,315
0.31707317,315
0.39269406,315
0.36554622,315
0.33464567,315
0.38235294,315
0.34482759,315
0.35042735,315
0.37948718,315
0.32227488,315
0.36320755,315
0.37130802,315
0.3804878,315
0.38429752,315
0.34977578,315
0.4047619,315
0.34166667,315
0.38695652,315
0.32222222,315
0.38181818,315
0.35638298,315
0.38547486,315
0.375,315
0.32323232,315
0.31418919,315
0.38461538,315
0.27927928,315
0.37089202,315
0.43,315
0.34222222,315
0.41666667,315
0.37795276,315
0.26666667,315
0.39512195,315
0.30508475,315
0.34199134,315
0.32421875,315
0.342723,315
0.34594595,315
0.4017094,315
0.35371179,315
0.34016393,315
0.3490566,315
0.33482143,315
0.35759494,315
0.39834025,315
0.39130435,315
0.36437247,315
0.29,315
0.29245283,315
0.30541872,315
0.40710383,315
0.27272727,315
0.41605839,315
0.3907563,315
0.33160622,315
0.37053571,315
0.31730769,315
0.36575875,315
0.38888889,315
0.36936937,315
0.4,315
0.36885246,315
0.38855422,315
0.36099585,315
0.30150754,315
0.34812287,315
0.35245902,315
0.33333333,315
0.38461538,315
0.34375,315
0.37356322,315
0.3699187,315
0.36065574,315
0.34199134,315
0.38738739,315
0.39285714,315
0.31363636,315
0.37007874,315
0.30493274,315
0.34883721,315
0.40414508,315
0.39473684,315
0.37362637,315
0.36792453,315
0.3030303,315
0.31111111,315
0.40517241,315
0.3627907,315
0.37735849,315
0.32905983,315
0.31102362,315
0.40104167,315
0.39267016,315
0.3253012,315
0.41350211,315
0.39834025,315
0.37155963,315
0.33656958,315
0.35652174,315
0.33333333,315
0.365,315
0.39285714,315
0.34545455,315
0.31818182,315
0.36538462,315
0.38828633,315
0.32225064,315
0.3826087,315
0.30769231,315
0.32242991,315
0.38118812,315
