kurtosisLongitudinal,run
-0.21324044,315
-0.013280197,315
0.62769947,315
-0.26137079,315
0.33655911,315
-0.15331323,315
-0.13529349,315
0.7765808,315
-0.47341685,315
0.1756984,315
0.20390259,315
-0.38364601,315
-0.3802048,315
-0.22046139,315
0.098461765,315
-0.23391039,315
0.67091647,315
-0.15436002,315
-0.096802485,315
-0.13029108,315
0.23326183,315
0.05934326,315
-0.3405436,315
-0.25815284,315
-0.23580641,315
-0.31746985,315
0.081352547,315
-0.17212671,315
-0.55301485,315
-0.39465659,315
-0.66854222,315
-0.27675934,315
0.33036486,315
-0.091662031,315
0.0083292243,315
1.653793,315
0.010697242,315
-0.060655197,315
-0.296558,315
-0.13270217,315
0.30315391,315
-0.58925144,315
-0.11337166,315
0.84937442,315
-0.27935745,315
-0.067193766,315
0.57799002,315
0.13136828,315
-0.14050848,315
-0.057240869,315
-0.31639131,315
0.23374859,315
-0.13124302,315
-0.12162465,315
-0.44906411,315
-0.53940559,315
-0.12675149,315
0.37806455,315
0.014045145,315
-0.2795304,315
-0.31756331,315
-0.037405383,315
0.27162786,315
-0.10040204,315
-0.049874713,315
-0.53303202,315
0.42300617,315
-0.0016809309,315
0.70363152,315
0.37446461,315
-0.37548256,315
-0.33268229,315
-0.45105195,315
0.53782958,315
0.038086233,315
0.25915646,315
-0.19979615,315
-0.55524831,315
0.062517612,315
-0.2428506,315
-0.064728437,315
-0.19610073,315
-0.62192628,315
0.33655919,315
-0.27467813,315
-0.30832007,315
-0.91808751,315
-0.27927221,315
-0.18810898,315
0.40364425,315
-0.32458957,315
0.26431302,315
0.2431326,315
1.4189628,315
0.14266765,315
-0.50344355,315
-0.54995754,315
0.22553424,315
-0.14889093,315
-0.01997409,315
0.073988067,315
0.18003058,315
-0.43288726,315
0.098845929,315
0.28260123,315
-0.53209334,315
-0.38751121,315
-0.45048307,315
-0.18974787,315
0.09101982,315
-0.10892336,315
0.23159092,315
-0.047267931,315
-0.42120929,315
0.0069695823,315
1.7428925,315
-0.04439513,315
0.0021098123,315
-0.13835277,315
0.17449902,315
-0.060710248,315
0.076047718,315
-0.44362554,315
0.035340025,315
-0.35830225,315
-0.061881519,315
-0.25267575,315
-0.1308538,315
0.061924767,315
-0.0034298201,315
-0.050078528,315
-0.36609634,315
-0.35353759,315
-0.40544827,315
-0.37733515,315
-0.05285453,315
-0.13232122,315
0.042066676,315
-0.11244754,315
-0.29689667,315
-0.54267786,315
-0.1914442,315
0.21403386,315
0.14837634,315
-0.35889756,315
0.20082812,315
-0.080506614,315
-0.15029549,315
-0.17382118,315
0.32682471,315
-0.46450466,315
-0.021399225,315
0.037235357,315
-0.32284058,315
0.091136955,315
0.054433045,315
-0.50351928,315
0.39253462,315
-0.14418286,315
-0.67209216,315
-0.30914585,315
-0.0053722019,315
-0.071768143,315
-0.10465043,315
-0.2179596,315
-0.4290557,315
0.3777762,315
0.13248438,315
-0.38246427,315
0.11906512,315
0.064801539,315
-0.062597068,315
0.29512673,315
0.23893754,315
-0.15908429,315
-0.49645057,315
0.14769285,315
-0.063906495,315
0.43143215,315
0.070531149,315
0.29056913,315
-0.053731824,315
-0.66498358,315
0.041957549,315
-0.18344689,315
0.037817431,315
0.25923343,315
0.68798718,315
0.23294446,315
0.063332525,315
-0.16393643,315
-0.096610461,315
0.041249594,315
-0.024159546,315
-0.20713653,315
-0.35478779,315
0.033341362,315
-0.40605305,315
0.29827749,315
-0.17289304,315
-0.1777632,315
-0.18878781,315
-0.37082976,315
-0.12040409,315
-0.56603415,315
-0.4819377,315
-0.33130272,315
1.220252,315
0.18597651,315
-0.045750837,315
0.15030937,315
-0.37833292,315
-0.46403886,315
-0.13952556,315
0.42204966,315
-0.36916488,315
0.34436599,315
-0.19313583,315
0.043164839,315
0.50685163,315
0.44525859,315
0.18201474,315
0.096350353,315
-0.25537256,315
0.22805912,315
-0.032642536,315
0.67805433,315
-0.030959227,315
0.43220368,315
0.17071699,315
-0.50839314,315
-0.31080609,315
-0.36938857,315
-0.0068506625,315
-0.52884187,315
-0.14900232,315
-0.65967349,315
-0.21863421,315
-0.035374223,315
-0.50299809,315
0.099534112,315
0.25751597,315
-0.44726052,315
0.2928537,315
-0.80102562,315
-0.056297235,315
0.48125179,315
-0.098504924,315
-0.27226223,315
0.10005951,315
-0.40380693,315
-0.1461941,315
-0.50792268,315
-0.42092701,315
-0.31129627,315
-0.5718541,315
-0.19197626,315
0.56518667,315
-0.27235704,315
-0.30614295,315
0.066851768,315
-0.077900248,315
-0.24951953,315
-0.17211392,315
0.73326485,315
-0.35625328,315
0.11896136,315
-0.51883627,315
-0.53805687,315
-0.57072538,315
0.19027986,315
0.047020226,315
-0.46144736,315
-0.54145056,315
-0.29505343,315
-0.21225301,315
-0.18910096,315
-0.29141384,315
-0.11915203,315
-0.51089509,315
1.6420173,315
-0.24387722,315
-0.085287041,315
-0.39120588,315
-0.25556177,315
-0.11922547,315
-0.32800201,315
0.44759647,315
-0.085588956,315
-0.01913824,315
-0.20929935,315
3.2506261,315
-0.22450052,315
-0.58166305,315
-0.074297593,315
-0.1968942,315
-0.18370005,315
0.0033729231,315
-0.390892,315
-0.61210807,315
0.075086167,315
0.38357356,315
0.011591587,315
-0.44143255,315
0.14072809,315
0.53745535,315
-0.11595341,315
0.3557601,315
-0.078091691,315
-0.028543554,315
-0.18837761,315
0.0054077771,315
-0.51450564,315
-0.3417032,315
-0.60975244,315
-0.15061259,315
-0.076492944,315
0.56669155,315
0.70406033,315
-0.45813097,315
-0.056933839,315
-0.66392134,315
-0.5315747,315
-0.083621325,315
-0.38164803,315
-0.62241462,315
0.055871876,315
-0.31201828,315
-0.38790481,315
-0.50366217,315
-0.27877863,315
-0.28140158,315
-0.61089456,315
-0.27641262,315
-0.39825197,315
-0.16934058,315
-0.44245908,315
0.90717722,315
1.1342996,315
