lengthDivRmsTrans,run
5.3145388,315
5.8541805,315
7.1843166,315
6.3372871,315
6.908358,315
5.751667,315
6.2056191,315
8.0706834,315
5.5367058,315
5.5161497,315
5.4413045,315
5.1091244,315
6.745948,315
6.7618249,315
6.5207917,315
5.4148548,315
6.4913613,315
6.1219695,315
5.6148373,315
6.4706594,315
6.5816884,315
5.4220071,315
5.2989896,315
6.0072404,315
6.6323174,315
6.0561699,315
6.0226983,315
5.722639,315
5.9439198,315
5.6994842,315
5.3268366,315
5.53466,315
5.7475635,315
5.5576406,315
5.4334873,315
6.3696792,315
6.0473595,315
6.3169266,315
4.9914761,315
6.6627355,315
6.6962342,315
5.9076108,315
5.648773,315
7.2884191,315
5.7279548,315
7.5425197,315
6.2181535,315
5.004139,315
6.56047,315
6.7904582,315
5.5760922,315
5.9938807,315
6.1944638,315
5.7413267,315
6.1247348,315
5.2103089,315
5.7981911,315
6.4057271,315
5.7035336,315
5.6691946,315
5.8921845,315
5.3934204,315
6.7760179,315
5.2619401,315
5.6324819,315
5.8762741,315
6.5698869,315
7.1060284,315
6.3704468,315
5.8821714,315
5.886144,315
6.3906345,315
6.055406,315
5.041904,315
6.4778045,315
6.4459773,315
6.2254394,315
5.5218089,315
6.3599966,315
5.4936188,315
6.1959668,315
5.285668,315
4.7710255,315
6.3337775,315
6.273488,315
5.8963378,315
5.7838157,315
4.9014228,315
5.3759536,315
5.9152674,315
5.3933188,315
6.9953079,315
6.8709728,315
7.8097426,315
6.7528441,315
5.4628136,315
5.6593542,315
6.9614876,315
5.6191097,315
5.9047449,315
5.6366891,315
5.501774,315
5.1414333,315
5.7916758,315
6.7444298,315
5.1316498,315
4.7861093,315
5.6558078,315
5.949295,315
5.6697723,315
5.4664991,315
6.636094,315
6.9361916,315
5.4721241,315
6.5442568,315
7.0810666,315
5.5250468,315
5.9805729,315
6.0117027,315
7.0439841,315
6.1221937,315
5.1935633,315
5.5078154,315
6.1108482,315
5.3011313,315
6.3169365,315
5.3074895,315
5.6562241,315
6.8363314,315
5.0744176,315
5.7565684,315
5.4516826,315
6.3998493,315
5.6498432,315
5.4485165,315
5.2306134,315
5.9863942,315
5.8170251,315
5.7770247,315
5.4444098,315
5.4423441,315
5.1928054,315
6.0384233,315
6.9202693,315
5.6053881,315
6.2256182,315
5.2605193,315
6.3375558,315
6.2307177,315
7.3704951,315
5.8324097,315
6.6255144,315
6.2174879,315
6.2478323,315
6.6832145,315
5.3475407,315
5.7481247,315
6.1092689,315
5.8179979,315
6.2905166,315
5.2084359,315
7.3261523,315
5.8706959,315
6.5601364,315
6.2848354,315
6.1116011,315
6.3417688,315
6.7141022,315
5.7124637,315
6.0255577,315
6.2864498,315
5.9733979,315
6.4433708,315
5.9216992,315
6.2648534,315
5.3231864,315
5.8548404,315
5.8337716,315
6.6037799,315
6.4380888,315
5.3561406,315
5.9983913,315
4.8397591,315
6.3070965,315
6.4481747,315
7.35736,315
6.0653974,315
5.861284,315
6.7315139,315
6.7392804,315
5.7926154,315
6.2138362,315
6.3707129,315
6.8885268,315
6.3290362,315
5.5828161,315
5.432164,315
5.4183884,315
5.8028148,315
5.7863205,315
5.2713311,315
6.0077444,315
5.055744,315
6.4041957,315
5.1974551,315
5.0484046,315
5.9001621,315
6.745829,315
6.3868091,315
5.7722263,315
5.6620895,315
5.5057954,315
5.4530666,315
6.671197,315
6.3399664,315
5.9042435,315
6.6662509,315
6.3082547,315
6.9826877,315
6.0989705,315
6.3322777,315
7.105014,315
6.0309834,315
5.4198502,315
6.3288017,315
6.4080879,315
5.5977245,315
5.0405734,315
5.7964305,315
6.0586794,315
5.6033032,315
6.4840209,315
5.7971071,315
7.0814263,315
5.5280029,315
5.7650873,315
4.962489,315
5.6435136,315
6.1467163,315
4.7806035,315
5.8374877,315
6.5916867,315
5.8196979,315
5.7265192,315
4.6696666,315
6.0367533,315
6.8272191,315
5.1710362,315
5.4567915,315
7.0426249,315
5.4097918,315
6.5628694,315
5.5573647,315
5.2992623,315
5.8509171,315
5.3875696,315
6.5994287,315
7.0895685,315
5.5478108,315
5.1410258,315
6.1633552,315
6.0636851,315
5.5375736,315
6.1879864,315
6.0847227,315
5.7592282,315
5.9917667,315
6.2613853,315
4.9827026,315
5.34534,315
6.1494282,315
5.802785,315
6.3695707,315
5.5743973,315
5.7580979,315
5.5513363,315
5.8490198,315
5.6489705,315
6.1002521,315
4.8784417,315
6.3328028,315
6.3867237,315
6.5674979,315
6.5835272,315
5.4263353,315
6.8050418,315
5.3240593,315
6.7507399,315
6.6088574,315
5.9596887,315
5.7464766,315
8.9252884,315
6.733313,315
5.1139463,315
5.6743117,315
5.7817465,315
5.317036,315
5.6570345,315
5.4625301,315
5.3401697,315
6.112343,315
6.2101146,315
6.756677,315
5.0664645,315
6.2715876,315
7.3900214,315
6.879824,315
5.5122124,315
7.4243889,315
5.9289288,315
5.8774117,315
6.4179933,315
5.5229026,315
5.6970924,315
4.8790616,315
6.291814,315
5.7124455,315
7.2654398,315
6.6845661,315
5.6025694,315
5.8494007,315
4.7396314,315
5.101837,315
5.9537408,315
5.447656,315
5.8619834,315
7.0777823,315
6.4626119,315
5.8980125,315
5.3000277,315
6.7814574,315
6.2375478,315
5.5398938,315
5.217485,315
5.1598093,315
6.5305202,315
5.4559719,315
6.4668403,315
6.6072238,315
5.5056086,315
5.418644,315
6.0714301,315
5.4124159,315
8.0403706,315
5.7149433,315
6.6741195,315
6.5973146,315
6.195634,315
6.6062282,315
6.6084789,315
5.6313862,315
5.5575608,315
4.8482616,315
6.3640127,315
5.7877038,315
5.712794,315
7.0098205,315
5.5522392,315
5.8489625,315
6.2078247,315
6.2297093,315
5.3586277,315
4.7973264,315
6.91349,315
6.8562988,315
6.1189806,315
5.4920808,315
6.2803854,315
6.0752154,315
5.6118909,315
6.0475079,315
5.6480336,315
5.8389776,315
6.9346747,315
6.1274625,315
6.7989844,315
6.2387848,315
5.4229318,315
5.7044293,315
5.3423733,315
5.952094,315
5.3533321,315
5.8623262,315
6.0164476,315
5.0258654,315
5.6228024,315
6.4239727,315
6.3232594,315
6.3313098,315
5.6345407,315
5.8220988,315
5.4727725,315
6.8184826,315
6.448927,315
5.0382263,315
5.5825261,315
6.1105858,315
6.8670998,315
5.293023,315
7.2163917,315
6.4213652,315
6.0216445,315
7.5421161,315
6.7241049,315
5.1433679,315
6.5223416,315
5.5245296,315
5.9968011,315
8.9815243,315
5.7585263,315
5.929973,315
6.7404282,315
5.4221755,315
5.9131711,315
6.2107463,315
7.1948583,315
5.6850451,315
5.8524567,315
5.9552935,315
6.2142981,315
6.0409108,315
5.4568159,315
6.0257544,315
6.3092046,315
7.6961389,315
5.9877181,315
5.8041851,315
5.3716897,315
6.0238496,315
4.9681135,315
5.9221398,315
6.180135,315
5.7432237,315
8.1495258,315
6.1773232,315
6.3771663,315
5.4966092,315
5.8853584,315
5.8393056,315
4.9945739,315
5.8140325,315
6.8191553,315
5.7770393,315
5.1924019,315
6.8512367,315
5.6211543,315
5.7539608,315
6.1866341,315
5.9969837,315
6.0363893,315
6.0314156,315
7.5356221,315
6.4320929,315
6.5186231,315
8.4480289,315
5.9171149,315
5.0380305,315
6.4197055,315
5.3933141,315
6.672785,315
5.5462384,315
5.9137773,315
6.3571393,315
6.0730286,315
4.8344292,315
6.0653053,315
6.0970071,315
5.8620064,315
6.4162387,315
5.4588688,315
6.1813254,315
5.3915082,315
6.7573161,315
5.792642,315
6.3435183,315
5.3700427,315
7.6690068,315
5.8854645,315
6.2394288,315
6.4643404,315
6.2298262,315
7.5204485,315
5.6301935,315
6.4977762,315
5.8356474,315
6.7701397,315
6.986892,315
7.5126946,315
5.7351394,315
4.8270489,315
5.2051811,315
5.3680895,315
6.1692749,315
5.3777716,315
6.2054958,315
5.8317353,315
5.4159924,315
5.4951576,315
6.3961978,315
5.760744,315
6.5524149,315
6.3500178,315
5.4689003,315
4.985615,315
6.9939096,315
6.2635408,315
7.0505135,315
6.968101,315
5.7500478,315
6.4980479,315
5.8316292,315
6.344411,315
5.5040598,315
4.7945348,315
5.3236923,315
5.3064657,315
5.9704577,315
6.3609757,315
7.4014549,315
5.8917587,315
7.1880564,315
5.7177495,315
4.4601644,315
6.7702024,315
5.4875145,315
5.4240737,315
6.6374915,315
6.4977134,315
6.5302333,315
5.1856674,315
5.9540703,315
6.592277,315
5.303923,315
6.2121215,315
5.3798521,315
6.3343353,315
6.6755294,315
7.6632397,315
5.4956016,315
6.8578097,315
5.527455,315
6.8142029,315
5.1900206,315
5.2100024,315
5.7947013,315
5.4139895,315
5.9197776,315
6.3559434,315
5.0060893,315
5.4330225,315
6.1274982,315
5.818256,315
5.8863549,315
5.8132523,315
6.1885144,315
6.4345395,315
5.7323525,315
5.4524009,315
6.7551918,315
5.8758457,315
6.140723,315
6.7425903,315
