length,run
3.5420516,315
5.2974025,315
5.4649185,315
3.4717615,315
6.2084171,315
5.1986784,315
5.4532585,315
6.9478365,315
4.8211405,315
5.9061469,315
4.6115351,315
3.183038,315
5.9399347,315
5.432503,315
5.7941738,315
4.9644766,315
5.7891764,315
5.3219112,315
2.6650719,315
2.8738277,315
5.4065931,315
5.1695877,315
4.9369034,315
4.1211784,315
6.3376698,315
4.6805464,315
3.5730171,315
5.3097745,315
1.5727821,315
1.323074,315
2.8442516,315
4.7982117,315
3.911105,315
5.2045274,315
4.3472734,315
4.8400628,315
5.0800703,315
5.1255994,315
2.3287333,315
5.4211468,315
4.2706897,315
3.6589449,315
3.9530412,315
7.3933143,315
1.5554525,315
4.4277613,315
5.7856792,315
2.9862697,315
4.5087159,315
4.6264878,315
2.2666211,315
5.7680668,315
4.5855976,315
2.397908,315
4.3423613,315
4.2789927,315
2.3120625,315
4.2263308,315
5.4399546,315
4.0846657,315
3.8498654,315
4.7442599,315
4.4348936,315
2.9337676,315
2.6235755,315
5.3564848,315
5.9566045,315
7.3127227,315
5.7304966,315
4.3627635,315
4.6615289,315
5.4711233,315
3.3885743,315
2.8446782,315
5.8780844,315
6.763046,315
5.5718316,315
4.3786809,315
5.5609306,315
5.2162542,315
5.4859172,315
5.2960276,315
4.3941133,315
5.2921613,315
4.3505153,315
4.2352118,315
3.955574,315
4.4272735,315
4.2934823,315
1.9079094,315
2.3969781,315
5.0339723,315
4.6943435,315
7.6112615,315
4.4076953,315
5.1439856,315
3.9946342,315
6.9538756,315
5.3870411,315
5.7492354,315
5.117988,315
4.4155493,315
4.4834077,315
3.7393951,315
6.0521105,315
4.6105211,315
4.4142128,315
4.9614948,315
5.4046922,315
5.4151395,315
4.3060961,315
5.2209248,315
6.1947921,315
4.8677312,315
5.0100708,315
6.7204241,315
2.4781867,315
5.1733107,315
4.89166,315
6.1237861,315
5.7612547,315
4.8877182,315
4.8978685,315
5.5025838,315
4.4662746,315
5.5743603,315
4.5473077,315
5.3913232,315
6.0103538,315
5.1278651,315
4.1885026,315
4.6129362,315
5.3671979,315
5.4666781,315
3.0328534,315
5.0601816,315
3.3812349,315
4.9106254,315
5.0865277,315
4.120618,315
4.7068511,315
4.8869391,315
4.4698187,315
5.4051318,315
5.1661747,315
4.3702573,315
4.1372392,315
5.6613308,315
4.6558155,315
6.5493802,315
4.9233381,315
5.3752046,315
6.6761378,315
4.7711062,315
3.3411403,315
5.2530905,315
3.579137,315
5.9243181,315
5.2860757,315
2.1745094,315
2.5473232,315
3.2810979,315
3.829414,315
6.3942682,315
4.4847872,315
2.0709441,315
5.3785701,315
5.0778055,315
4.5347534,315
