totalCharge,run
5.75366073e+05,315
7.51529767e+05,315
6.37497388e+05,315
6.15284677e+05,315
6.89947662e+05,315
6.2219618e+05,315
6.99408466e+05,315
6.39772376e+05,315
6.20670937e+05,315
6.5935254e+05,315
6.00242644e+05,315
7.297308e+05,315
6.51651228e+05,315
1.32534097e+06,315
6.71759236e+05,315
6.41721728e+05,315
7.06842384e+05,315
7.29810013e+05,315
5.65713036e+05,315
7.51329261e+05,315
5.73414497e+05,315
5.16142579e+05,315
5.46318402e+05,315
5.40802119e+05,315
6.68821205e+05,315
8.15178379e+05,315
6.50324722e+05,315
6.47594823e+05,315
1.18262665e+06,315
8.62958319e+05,315
6.91400029e+05,315
8.08515447e+05,315
3.56442866e+05,315
6.22527068e+05,315
6.04854624e+05,315
5.64905636e+05,315
6.34691839e+05,315
6.51043793e+05,315
6.07975008e+05,315
5.68330545e+05,315
1.15432336e+06,315
5.82713293e+05,315
4.9795585e+05,315
6.99168688e+05,315
7.74141535e+05,315
7.40317677e+05,315
5.81197999e+05,315
1.96445003e+05,315
6.4844578e+05,315
5.0518377e+05,315
8.30319304e+05,315
6.18097581e+05,315
9.85229215e+05,315
1.21602091e+06,315
5.3852321e+05,315
6.07325961e+05,315
8.21425752e+05,315
7.29873683e+05,315
5.60529093e+05,315
5.81641436e+05,315
6.96095256e+05,315
8.25896265e+05,315
6.15737297e+05,315
5.59781562e+05,315
7.90995443e+05,315
5.95882679e+05,315
6.60100965e+05,315
6.70329663e+05,315
5.23683068e+05,315
6.33942503e+05,315
2.07675885e+05,315
7.06249046e+05,315
6.51388339e+05,315
3.05601756e+05,315
8.8093593e+05,315
5.05388233e+05,315
5.9550655e+05,315
2.12712371e+05,315
5.71558119e+05,315
7.60103809e+05,315
6.64203709e+05,315
2.26959051e+05,315
4.09089986e+05,315
7.00577936e+05,315
6.84321331e+05,315
6.17984491e+05,315
5.44888994e+05,315
6.57057869e+05,315
7.76261663e+05,315
6.81881497e+05,315
5.26891932e+05,315
5.80537234e+05,315
1.08819926e+06,315
6.89077213e+05,315
9.00398303e+05,315
5.93020325e+05,315
6.08609694e+05,315
5.11778568e+05,315
6.4411008e+05,315
7.04277595e+05,315
4.33908748e+05,315
5.83718291e+05,315
6.45200732e+05,315
9.39404406e+05,315
6.60828399e+05,315
2.88619935e+05,315
5.82988143e+05,315
6.66701427e+05,315
6.66552387e+05,315
4.60154183e+05,315
4.68758191e+05,315
6.21038793e+05,315
5.77755585e+05,315
4.77720471e+05,315
6.35785464e+05,315
4.68409131e+05,315
6.14649491e+05,315
3.29692955e+05,315
1.03631999e+06,315
1.03119612e+06,315
9.24126751e+05,315
3.93061211e+05,315
4.73438623e+05,315
4.9140318e+05,315
5.5122533e+05,315
9.43034405e+05,315
5.39083511e+05,315
6.84338317e+05,315
7.2545114e+05,315
6.2416359e+05,315
