width,run
3.7627135,315
4.5946924,315
3.6539653,315
3.182347,315
5.1991512,315
5.2705141,315
5.3893225,315
4.9312451,315
4.7972339,315
6.1834742,315
4.2936944,315
3.3571683,315
4.5206574,315
5.3736319,315
4.8781348,315
5.3992267,315
4.5013893,315
4.6811424,315
2.8823214,315
2.2562534,315
5.1200101,315
4.4404837,315
4.6529953,315
3.602362,315
5.1145923,315
4.5333884,315
3.1887642,315
6.0112885,315
1.3860343,315
1.0771208,315
2.9201854,315
4.4571577,315
3.4998414,315
4.7661817,315
4.266443,315
4.3856267,315
5.2986785,315
4.5301718,315
2.4304281,315
4.1986358,315
3.6468735,315
3.2643187,315
4.3097006,315
5.8838235,315
1.5070866,315
3.5919101,315
4.5473934,315
2.4420925,315
4.5496958,315
3.7917158,315
2.38786,315
5.2110317,315
4.3633787,315
2.6388657,315
3.6327568,315
5.1425196,315
2.0166807,315
3.6371753,315
4.435623,315
3.9197242,315
4.1441215,315
3.9674604,315
3.5956267,315
3.1249668,315
2.5778035,315
4.3155401,315
4.8242376,315
5.5747046,315
4.6312232,315
4.2253251,315
4.1807915,315
4.7199558,315
3.4519421,315
2.8332176,315
5.3398196,315
5.3972799,315
5.062972,315
3.4470808,315
4.3401742,315
4.9944539,315
5.2199294,315
4.8834693,315
5.6213371,315
4.5847373,315
4.6564845,315
3.7829959,315
3.8511097,315
4.821143,315
4.5874023,315
1.5143619,315
2.3545348,315
4.0874538,315
4.37945,315
5.1186076,315
4.2934955,315
4.9582019,315
3.2702241,315
4.9642551,315
5.3726413,315
4.8755348,315
4.5964679,315
4.2070013,315
4.7563499,315
4.0355114,315
5.4452428,315
4.8862367,315
4.5259834,315
5.6931206,315
5.3629602,315
4.4896874,315
4.3323791,315
4.8921684,315
6.0109877,315
5.1145822,315
4.0918215,315
4.2945558,315
2.2737959,315
5.3723841,315
4.1620322,315
4.7447225,315
4.8886857,315
4.4663855,315
4.7060101,315
4.5712646,315
4.5071141,315
5.415319,315
4.6939178,315
5.392723,315
4.3906999,315
5.5556454,315
3.6180471,315
4.3083375,315
4.2196464,315
4.86782,315
3.6538525,315
5.5637283,315
2.5731732,315
4.4316007,315
4.9339869,315
4.3499062,315
4.6165865,315
4.5144272,315
4.0990765,315
4.6838228,315
5.4652029,315
2.9449422,315
4.7230782,315
4.8894291,315
4.3076169,315
4.3990213,315
4.2073202,315
5.3316338,315
5.7821334,315
3.7648224,315
2.6969328,315
5.3819174,315
3.1984072,315
5.3724687,315
5.0532476,315
1.9295787,315
2.7221469,315
2.3954333,315
3.6327625,315
4.7481273,315
3.6228028,315
2.3324328,315
4.6198453,315
4.3530064,315
4.7496062,315
5.6689853,315
5.3830066,315
5.7792709,315
5.3186993,315
5.8547478,315
3.6545062,315
3.5177072,315
3.703294,315
4.0805306,315
4.3025344,315
2.9551201,315
6.42551,315
3.5850126,315
3.5564797,315
5.5611909,315
4.0271949,315
4.289651,315
5.3272626,315
5.6906161,315
6.361517,315
4.8797406,315
5.3115844,315
3.2435036,315
2.9016042,315
3.9041759,315
4.820552,315
3.4582996,315
3.9394038,315
4.2273102,315
4.5034137,315
4.8706307,315
2.3302986,315
4.3089988,315
5.1031265,315
4.8383737,315
5.1800523,315
4.4356038,315
2.665957,315
5.5214136,315
4.8281115,315
4.8674019,315
4.1697115,315
3.6643402,315
4.8439796,315
3.7259065,315
5.7984363,315
3.2860839,315
4.4391103,315
4.6937477,315
4.1038628,315
4.446627,315
4.5367653,315
4.311125,315
5.9510882,315
4.4900876,315
4.6858252,315
4.9200177,315
2.2316223,315
0.86961432,315
4.6555477,315
2.8755076,315
3.7626699,315
4.7330255,315
4.8274891,315
6.333576,315
4.4772031,315
5.2846293,315
1.0089863,315
5.1515662,315
6.1402682,315
5.4083107,315
5.2623365,315
5.5746112,315
5.4163087,315
4.2054832,315
3.2778841,315
3.9254823,315
2.5765536,315
5.4421375,315
5.1032352,315
4.7401465,315
5.1711572,315
5.9695628,315
5.1412059,315
2.5026324,315
4.4468885,315
4.5212974,315
5.6666347,315
4.6443466,315
4.2952818,315
5.5241216,315
5.5607704,315
2.9887822,315
5.9280701,315
4.6040469,315
4.3983912,315
4.518114,315
6.5169401,315
4.1704907,315
4.8720154,315
1.3016907,315
3.329658,315
5.0158525,315
2.7823201,315
2.9024665,315
5.6136755,315
4.8312531,315
4.9720708,315
2.809585,315
4.466016,315
4.5524019,315
5.2189986,315
2.9702225,315
1.9627345,315
5.3900778,315
5.3875384,315
4.1660446,315
2.7583883,315
4.5578701,315
3.3271979,315
4.6925148,315
4.7219688,315
5.3209436,315
3.6725675,315
4.5938749,315
3.4111154,315
5.690193,315
4.4509862,315
4.756616,315
1.62276,315
4.8165886,315
5.4217268,315
