Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,170,9,325,hits,Ti-Ti-9kV,4.2166107
Cut,193,11,325,hits,Ti-Ti-9kV,4.7870933
Cut,199,14,325,hits,Ti-Ti-9kV,4.9359149
Cut,81,15,325,hits,Ti-Ti-9kV,2.009091
Cut,189,16,325,hits,Ti-Ti-9kV,4.6878789
Cut,173,21,325,hits,Ti-Ti-9kV,4.2910215
Cut,171,28,325,hits,Ti-Ti-9kV,4.2414143
Cut,187,37,325,hits,Ti-Ti-9kV,4.6382718
Cut,184,40,325,hits,Ti-Ti-9kV,4.563861
Cut,170,41,325,hits,Ti-Ti-9kV,4.2166107
Cut,156,46,325,hits,Ti-Ti-9kV,3.8693604
Cut,178,47,325,hits,Ti-Ti-9kV,4.4150394
Cut,202,54,325,hits,Ti-Ti-9kV,5.0103256
Cut,186,69,325,hits,Ti-Ti-9kV,4.6134682
Cut,82,77,325,hits,Ti-Ti-9kV,2.0338946
Cut,156,78,325,hits,Ti-Ti-9kV,3.8693604
Cut,171,79,325,hits,Ti-Ti-9kV,4.2414143
Cut,173,83,325,hits,Ti-Ti-9kV,4.2910215
Cut,156,86,325,hits,Ti-Ti-9kV,3.8693604
Cut,152,92,325,hits,Ti-Ti-9kV,3.770146
Cut,175,96,325,hits,Ti-Ti-9kV,4.3406287
Cut,172,104,325,hits,Ti-Ti-9kV,4.2662179
Cut,183,108,325,hits,Ti-Ti-9kV,4.5390574
Cut,216,110,325,hits,Ti-Ti-9kV,5.3575759
Cut,102,120,325,hits,Ti-Ti-9kV,2.5299664
Cut,160,121,325,hits,Ti-Ti-9kV,3.9685748
Cut,171,138,325,hits,Ti-Ti-9kV,4.2414143
Cut,195,143,325,hits,Ti-Ti-9kV,4.8367005
Cut,163,144,325,hits,Ti-Ti-9kV,4.0429855
Cut,206,158,325,hits,Ti-Ti-9kV,5.10954
Cut,166,162,325,hits,Ti-Ti-9kV,4.1173963
Cut,194,168,325,hits,Ti-Ti-9kV,4.8118969
Cut,171,171,325,hits,Ti-Ti-9kV,4.2414143
Cut,174,173,325,hits,Ti-Ti-9kV,4.3158251
Cut,192,200,325,hits,Ti-Ti-9kV,4.7622897
Cut,179,201,325,hits,Ti-Ti-9kV,4.439843
Cut,331,206,325,hits,Ti-Ti-9kV,8.2099891
Cut,188,209,325,hits,Ti-Ti-9kV,4.6630754
Cut,171,211,325,hits,Ti-Ti-9kV,4.2414143
Cut,68,219,325,hits,Ti-Ti-9kV,1.6866443
Cut,188,220,325,hits,Ti-Ti-9kV,4.6630754
Cut,174,224,325,hits,Ti-Ti-9kV,4.3158251
Cut,172,227,325,hits,Ti-Ti-9kV,4.2662179
Cut,139,235,325,hits,Ti-Ti-9kV,3.4476993
Cut,181,239,325,hits,Ti-Ti-9kV,4.4894502
Cut,53,245,325,hits,Ti-Ti-9kV,1.3145904
Cut,187,246,325,hits,Ti-Ti-9kV,4.6382718
Cut,171,249,325,hits,Ti-Ti-9kV,4.2414143
Cut,195,253,325,hits,Ti-Ti-9kV,4.8367005
Cut,185,256,325,hits,Ti-Ti-9kV,4.5886646
Cut,186,258,325,hits,Ti-Ti-9kV,4.6134682
Cut,61,263,325,hits,Ti-Ti-9kV,1.5130191
Cut,202,279,325,hits,Ti-Ti-9kV,5.0103256
Cut,185,280,325,hits,Ti-Ti-9kV,4.5886646
Cut,186,282,325,hits,Ti-Ti-9kV,4.6134682
Cut,213,287,325,hits,Ti-Ti-9kV,5.2831652
Cut,178,289,325,hits,Ti-Ti-9kV,4.4150394
Cut,195,295,325,hits,Ti-Ti-9kV,4.8367005
Cut,184,303,325,hits,Ti-Ti-9kV,4.563861
Cut,179,305,325,hits,Ti-Ti-9kV,4.439843
Cut,182,313,325,hits,Ti-Ti-9kV,4.5142538
Cut,209,314,325,hits,Ti-Ti-9kV,5.1839508
Cut,159,321,325,hits,Ti-Ti-9kV,3.9437712
Cut,202,327,325,hits,Ti-Ti-9kV,5.0103256
Cut,170,328,325,hits,Ti-Ti-9kV,4.2166107
Cut,181,329,325,hits,Ti-Ti-9kV,4.4894502
Cut,195,332,325,hits,Ti-Ti-9kV,4.8367005
Cut,136,337,325,hits,Ti-Ti-9kV,3.3732886
Cut,205,339,325,hits,Ti-Ti-9kV,5.0847364
Cut,183,341,325,hits,Ti-Ti-9kV,4.5390574
Cut,197,343,325,hits,Ti-Ti-9kV,4.8863077
Cut,195,345,325,hits,Ti-Ti-9kV,4.8367005
Cut,159,356,325,hits,Ti-Ti-9kV,3.9437712
Cut,176,363,325,hits,Ti-Ti-9kV,4.3654322
Cut,51,366,325,hits,Ti-Ti-9kV,1.2649832
Cut,179,370,325,hits,Ti-Ti-9kV,4.439843
Cut,172,374,325,hits,Ti-Ti-9kV,4.2662179
Cut,207,377,325,hits,Ti-Ti-9kV,5.1343436
Cut,172,383,325,hits,Ti-Ti-9kV,4.2662179
Cut,78,385,325,hits,Ti-Ti-9kV,1.9346802
Cut,194,392,325,hits,Ti-Ti-9kV,4.8118969
Cut,188,400,325,hits,Ti-Ti-9kV,4.6630754
Cut,162,401,325,hits,Ti-Ti-9kV,4.018182
Cut,191,411,325,hits,Ti-Ti-9kV,4.7374861
Cut,164,413,325,hits,Ti-Ti-9kV,4.0677891
Cut,168,419,325,hits,Ti-Ti-9kV,4.1670035
Cut,182,423,325,hits,Ti-Ti-9kV,4.5142538
Cut,160,424,325,hits,Ti-Ti-9kV,3.9685748
Cut,193,425,325,hits,Ti-Ti-9kV,4.7870933
Cut,184,427,325,hits,Ti-Ti-9kV,4.563861
Cut,180,428,325,hits,Ti-Ti-9kV,4.4646466
Cut,199,430,325,hits,Ti-Ti-9kV,4.9359149
Cut,187,438,325,hits,Ti-Ti-9kV,4.6382718
Cut,153,439,325,hits,Ti-Ti-9kV,3.7949496
Cut,75,450,325,hits,Ti-Ti-9kV,1.8602694
Cut,205,451,325,hits,Ti-Ti-9kV,5.0847364
Cut,183,455,325,hits,Ti-Ti-9kV,4.5390574
Cut,72,462,325,hits,Ti-Ti-9kV,1.7858586
Cut,188,463,325,hits,Ti-Ti-9kV,4.6630754
Cut,158,469,325,hits,Ti-Ti-9kV,3.9189676
Cut,54,472,325,hits,Ti-Ti-9kV,1.339394
Cut,157,481,325,hits,Ti-Ti-9kV,3.894164
Cut,202,482,325,hits,Ti-Ti-9kV,5.0103256
Cut,180,495,325,hits,Ti-Ti-9kV,4.4646466
Cut,180,499,325,hits,Ti-Ti-9kV,4.4646466
Cut,187,504,325,hits,Ti-Ti-9kV,4.6382718
Cut,173,505,325,hits,Ti-Ti-9kV,4.2910215
Cut,172,506,325,hits,Ti-Ti-9kV,4.2662179
Cut,184,515,325,hits,Ti-Ti-9kV,4.563861
Cut,186,516,325,hits,Ti-Ti-9kV,4.6134682
Cut,220,517,325,hits,Ti-Ti-9kV,5.4567903
Cut,208,518,325,hits,Ti-Ti-9kV,5.1591472
Cut,64,521,325,hits,Ti-Ti-9kV,1.5874299
Cut,172,524,325,hits,Ti-Ti-9kV,4.2662179
Cut,179,528,325,hits,Ti-Ti-9kV,4.439843
Cut,177,532,325,hits,Ti-Ti-9kV,4.3902358
Cut,172,535,325,hits,Ti-Ti-9kV,4.2662179
Cut,192,543,325,hits,Ti-Ti-9kV,4.7622897
Cut,178,544,325,hits,Ti-Ti-9kV,4.4150394
Cut,197,551,325,hits,Ti-Ti-9kV,4.8863077
Cut,179,555,325,hits,Ti-Ti-9kV,4.439843
Cut,177,566,325,hits,Ti-Ti-9kV,4.3902358
Cut,182,572,325,hits,Ti-Ti-9kV,4.5142538
Cut,175,576,325,hits,Ti-Ti-9kV,4.3406287
Cut,163,578,325,hits,Ti-Ti-9kV,4.0429855
Cut,183,581,325,hits,Ti-Ti-9kV,4.5390574
Cut,194,589,325,hits,Ti-Ti-9kV,4.8118969
Cut,65,596,325,hits,Ti-Ti-9kV,1.6122335
Cut,189,600,325,hits,Ti-Ti-9kV,4.6878789
Cut,219,605,325,hits,Ti-Ti-9kV,5.4319867
Cut,177,612,325,hits,Ti-Ti-9kV,4.3902358
Cut,162,618,325,hits,Ti-Ti-9kV,4.018182
Cut,61,619,325,hits,Ti-Ti-9kV,1.5130191
Cut,171,625,325,hits,Ti-Ti-9kV,4.2414143
Cut,181,626,325,hits,Ti-Ti-9kV,4.4894502
Cut,188,638,325,hits,Ti-Ti-9kV,4.6630754
Cut,174,643,325,hits,Ti-Ti-9kV,4.3158251
Cut,74,644,325,hits,Ti-Ti-9kV,1.8354658
