Type,Energy,Counts
MPFIT,48,1.0953312
MPFIT,48.109406,1.0981062
MPFIT,48.218813,1.1009836
MPFIT,48.328219,1.1039669
MPFIT,48.437625,1.1070598
MPFIT,48.547031,1.1102662
MPFIT,48.656438,1.1135898
MPFIT,48.765844,1.1170345
MPFIT,48.87525,1.1206045
MPFIT,48.984656,1.1243038
MPFIT,49.094063,1.1281366
MPFIT,49.203469,1.1321071
MPFIT,49.312875,1.1362198
MPFIT,49.422282,1.140479
MPFIT,49.531688,1.1448892
MPFIT,49.641094,1.149455
MPFIT,49.7505,1.1541812
MPFIT,49.859907,1.1590723
MPFIT,49.969313,1.1641331
MPFIT,50.078719,1.1693687
MPFIT,50.188125,1.1747838
MPFIT,50.297532,1.1803834
MPFIT,50.406938,1.1861727
MPFIT,50.516344,1.1921567
MPFIT,50.625751,1.1983406
MPFIT,50.735157,1.2047295
MPFIT,50.844563,1.2113288
MPFIT,50.953969,1.2181437
MPFIT,51.063376,1.2251796
MPFIT,51.172782,1.2324417
MPFIT,51.282188,1.2399355
MPFIT,51.391594,1.2476665
MPFIT,51.501001,1.2556399
MPFIT,51.610407,1.2638614
MPFIT,51.719813,1.2723362
MPFIT,51.829219,1.2810699
MPFIT,51.938626,1.2900678
MPFIT,52.048032,1.2993355
MPFIT,52.157438,1.3088782
MPFIT,52.266845,1.3187015
MPFIT,52.376251,1.3288105
MPFIT,52.485657,1.3392107
MPFIT,52.595063,1.3499072
MPFIT,52.70447,1.3609052
MPFIT,52.813876,1.37221
MPFIT,52.923282,1.3838265
MPFIT,53.032688,1.3957597
MPFIT,53.142095,1.4080145
MPFIT,53.251501,1.4205957
MPFIT,53.360907,1.4335079
MPFIT,53.470314,1.4467557
MPFIT,53.57972,1.4603436
MPFIT,53.689126,1.4742759
MPFIT,53.798532,1.4885566
MPFIT,53.907939,1.5031898
MPFIT,54.017345,1.5181793
MPFIT,54.126751,1.5335288
MPFIT,54.236157,1.5492417
MPFIT,54.345564,1.5653213
MPFIT,54.45497,1.5817708
MPFIT,54.564376,1.5985928
MPFIT,54.673783,1.6157902
MPFIT,54.783189,1.6333652
MPFIT,54.892595,1.65132
MPFIT,55.002001,1.6696566
MPFIT,55.111408,1.6883765
MPFIT,55.220814,1.707481
MPFIT,55.33022,1.7269714
