Cut?,Counts,eventNumber,runNumber,Type,Target,Energy
Cut,4.39233337e+05,9,325,charge,Ti-Ti-9kV,4.1058269
Cut,5.18773311e+05,11,325,charge,Ti-Ti-9kV,4.8493437
Cut,6.0248251e+05,14,325,charge,Ti-Ti-9kV,5.6318332
Cut,2.06721103e+05,15,325,charge,Ti-Ti-9kV,1.9323694
Cut,5.01224488e+05,16,325,charge,Ti-Ti-9kV,4.6853024
Cut,4.95510996e+05,21,325,charge,Ti-Ti-9kV,4.6318943
Cut,4.37537647e+05,28,325,charge,Ti-Ti-9kV,4.0899761
Cut,5.04010868e+05,37,325,charge,Ti-Ti-9kV,4.7113487
Cut,5.48678576e+05,40,325,charge,Ti-Ti-9kV,5.1288895
Cut,5.05055304e+05,41,325,charge,Ti-Ti-9kV,4.7211117
Cut,4.14519642e+05,46,325,charge,Ti-Ti-9kV,3.8748104
Cut,5.24992101e+05,47,325,charge,Ti-Ti-9kV,4.9074752
Cut,5.70490908e+05,54,325,charge,Ti-Ti-9kV,5.3327849
Cut,4.79809504e+05,69,325,charge,Ti-Ti-9kV,4.4851213
Cut,2.1334168e+05,77,325,charge,Ti-Ti-9kV,1.9942567
Cut,5.68782103e+05,78,325,charge,Ti-Ti-9kV,5.3168115
Cut,4.57923514e+05,79,325,charge,Ti-Ti-9kV,4.2805373
Cut,4.93474495e+05,83,325,charge,Ti-Ti-9kV,4.6128577
Cut,6.22410559e+05,86,325,charge,Ti-Ti-9kV,5.8181149
Cut,6.49442227e+05,92,325,charge,Ti-Ti-9kV,6.0707992
Cut,4.2958238e+05,96,325,charge,Ti-Ti-9kV,4.0156125
Cut,4.37642896e+05,104,325,charge,Ti-Ti-9kV,4.0909599
Cut,5.03167623e+05,108,325,charge,Ti-Ti-9kV,4.7034662
Cut,5.89431929e+05,110,325,charge,Ti-Ti-9kV,5.5098402
Cut,2.94147453e+05,120,325,charge,Ti-Ti-9kV,2.7496058
Cut,3.84143951e+05,121,325,charge,Ti-Ti-9kV,3.5908672
Cut,4.58733815e+05,138,325,charge,Ti-Ti-9kV,4.2881118
Cut,5.58116837e+05,143,325,charge,Ti-Ti-9kV,5.2171157
Cut,4.98702945e+05,144,325,charge,Ti-Ti-9kV,4.6617317
Cut,5.78078624e+05,158,325,charge,Ti-Ti-9kV,5.4037127
Cut,4.68637525e+05,162,325,charge,Ti-Ti-9kV,4.3806888
Cut,4.82396235e+05,168,325,charge,Ti-Ti-9kV,4.5093013
Cut,4.66960426e+05,171,325,charge,Ti-Ti-9kV,4.3650118
Cut,4.44191033e+05,173,325,charge,Ti-Ti-9kV,4.15217
Cut,4.83745808e+05,200,325,charge,Ti-Ti-9kV,4.5219167
Cut,4.7940052e+05,201,325,charge,Ti-Ti-9kV,4.4812982
Cut,8.59079241e+05,206,325,charge,Ti-Ti-9kV,8.0304257
Cut,5.08776567e+05,209,325,charge,Ti-Ti-9kV,4.755897
Cut,4.92628376e+05,211,325,charge,Ti-Ti-9kV,4.6049484
Cut,1.87456674e+05,219,325,charge,Ti-Ti-9kV,1.7522911
Cut,5.04735166e+05,220,325,charge,Ti-Ti-9kV,4.7181192
Cut,4.52447126e+05,224,325,charge,Ti-Ti-9kV,4.2293456
Cut,4.91362336e+05,227,325,charge,Ti-Ti-9kV,4.5931138
Cut,4.66936123e+05,235,325,charge,Ti-Ti-9kV,4.3647846
Cut,5.57961462e+05,239,325,charge,Ti-Ti-9kV,5.2156633
Cut,1.55341974e+05,245,325,charge,Ti-Ti-9kV,1.4520921
Cut,4.78061009e+05,246,325,charge,Ti-Ti-9kV,4.4687768
Cut,4.78756196e+05,249,325,charge,Ti-Ti-9kV,4.4752752
Cut,5.00656812e+05,253,325,charge,Ti-Ti-9kV,4.6799959
Cut,5.34499161e+05,256,325,charge,Ti-Ti-9kV,4.9963444
Cut,5.28944552e+05,258,325,charge,Ti-Ti-9kV,4.9444216
Cut,2.01801616e+05,263,325,charge,Ti-Ti-9kV,1.8863835
Cut,5.42524399e+05,279,325,charge,Ti-Ti-9kV,5.0713621
Cut,5.17409153e+05,280,325,charge,Ti-Ti-9kV,4.836592
Cut,5.51539274e+05,282,325,charge,Ti-Ti-9kV,5.1556305
Cut,6.08882051e+05,287,325,charge,Ti-Ti-9kV,5.6916543
Cut,4.94822194e+05,289,325,charge,Ti-Ti-9kV,4.6254556
Cut,5.65868759e+05,295,325,charge,Ti-Ti-9kV,5.2895784
Cut,5.34874418e+05,303,325,charge,Ti-Ti-9kV,4.9998522
Cut,4.55908966e+05,305,325,charge,Ti-Ti-9kV,4.2617059
Cut,5.04178064e+05,313,325,charge,Ti-Ti-9kV,4.7129116
Cut,5.509566e+05,314,325,charge,Ti-Ti-9kV,5.1501839
Cut,4.24325241e+05,321,325,charge,Ti-Ti-9kV,3.9664703
Cut,5.29233105e+05,327,325,charge,Ti-Ti-9kV,4.9471189
Cut,4.23787796e+05,328,325,charge,Ti-Ti-9kV,3.9614464
Cut,4.7977078e+05,329,325,charge,Ti-Ti-9kV,4.4847593
Cut,5.03270273e+05,332,325,charge,Ti-Ti-9kV,4.7044258
Cut,4.66243474e+05,337,325,charge,Ti-Ti-9kV,4.3583099
Cut,5.24639791e+05,339,325,charge,Ti-Ti-9kV,4.9041819
Cut,4.79285875e+05,341,325,charge,Ti-Ti-9kV,4.4802265
Cut,5.17258064e+05,343,325,charge,Ti-Ti-9kV,4.8351796
Cut,5.19469244e+05,345,325,charge,Ti-Ti-9kV,4.8558491
Cut,3.98723933e+05,356,325,charge,Ti-Ti-9kV,3.7271567
Cut,4.83358211e+05,363,325,charge,Ti-Ti-9kV,4.5182936
Cut,5.32744018e+05,366,325,charge,Ti-Ti-9kV,4.9799379
Cut,4.9606519e+05,370,325,charge,Ti-Ti-9kV,4.6370747
Cut,4.43329182e+05,374,325,charge,Ti-Ti-9kV,4.1441137
Cut,5.89666334e+05,377,325,charge,Ti-Ti-9kV,5.5120313
Cut,5.10430746e+05,383,325,charge,Ti-Ti-9kV,4.7713598
Cut,2.09974776e+05,385,325,charge,Ti-Ti-9kV,1.9627838
Cut,5.31946362e+05,392,325,charge,Ti-Ti-9kV,4.9724816
Cut,5.36226201e+05,400,325,charge,Ti-Ti-9kV,5.0124883
Cut,4.90020773e+05,401,325,charge,Ti-Ti-9kV,4.5805733
Cut,5.64048812e+05,411,325,charge,Ti-Ti-9kV,5.2725661
Cut,4.84128894e+05,413,325,charge,Ti-Ti-9kV,4.5254977
Cut,4.86856074e+05,419,325,charge,Ti-Ti-9kV,4.5509906
Cut,4.90550232e+05,423,325,charge,Ti-Ti-9kV,4.5855225
Cut,4.35650801e+05,424,325,charge,Ti-Ti-9kV,4.0723384
Cut,4.8618519e+05,425,325,charge,Ti-Ti-9kV,4.5447193
Cut,5.09905283e+05,427,325,charge,Ti-Ti-9kV,4.7664479
Cut,4.97332542e+05,428,325,charge,Ti-Ti-9kV,4.6489216
Cut,5.49604974e+05,430,325,charge,Ti-Ti-9kV,5.1375492
Cut,5.48923334e+05,438,325,charge,Ti-Ti-9kV,5.1311775
Cut,3.8924142e+05,439,325,charge,Ti-Ti-9kV,3.6385169
Cut,1.89650301e+05,450,325,charge,Ti-Ti-9kV,1.7727965
Cut,5.51447004e+05,451,325,charge,Ti-Ti-9kV,5.154768
Cut,5.39960566e+05,455,325,charge,Ti-Ti-9kV,5.0473961
Cut,2.23855984e+05,462,325,charge,Ti-Ti-9kV,2.0925414
Cut,5.04222674e+05,463,325,charge,Ti-Ti-9kV,4.7133286
Cut,4.26228925e+05,469,325,charge,Ti-Ti-9kV,3.9842654
Cut,1.49011055e+05,472,325,charge,Ti-Ti-9kV,1.3929125
Cut,4.52881376e+05,481,325,charge,Ti-Ti-9kV,4.2334049
Cut,5.01206086e+05,482,325,charge,Ti-Ti-9kV,4.6851304
Cut,4.97922877e+05,495,325,charge,Ti-Ti-9kV,4.6544399
Cut,5.02953437e+05,499,325,charge,Ti-Ti-9kV,4.7014641
Cut,5.06126002e+05,504,325,charge,Ti-Ti-9kV,4.7311203
Cut,5.00910453e+05,505,325,charge,Ti-Ti-9kV,4.6823669
Cut,4.56949206e+05,506,325,charge,Ti-Ti-9kV,4.2714298
Cut,5.53438297e+05,515,325,charge,Ti-Ti-9kV,5.173382
Cut,5.08486973e+05,516,325,charge,Ti-Ti-9kV,4.75319
Cut,5.86221594e+05,517,325,charge,Ti-Ti-9kV,5.4798309
Cut,5.18809142e+05,518,325,charge,Ti-Ti-9kV,4.8496787
Cut,1.7860165e+05,521,325,charge,Ti-Ti-9kV,1.6695169
Cut,4.6246785e+05,524,325,charge,Ti-Ti-9kV,4.3230165
Cut,5.07460315e+05,528,325,charge,Ti-Ti-9kV,4.7435931
Cut,5.21855487e+05,532,325,charge,Ti-Ti-9kV,4.878155
Cut,4.45623273e+05,535,325,charge,Ti-Ti-9kV,4.1655582
Cut,5.45999025e+05,543,325,charge,Ti-Ti-9kV,5.1038419
Cut,4.47510366e+05,544,325,charge,Ti-Ti-9kV,4.1831982
Cut,5.92354831e+05,551,325,charge,Ti-Ti-9kV,5.5371626
Cut,5.01203577e+05,555,325,charge,Ti-Ti-9kV,4.6851069
Cut,5.01293559e+05,566,325,charge,Ti-Ti-9kV,4.685948
Cut,5.39699947e+05,572,325,charge,Ti-Ti-9kV,5.0449599
Cut,4.94536602e+05,576,325,charge,Ti-Ti-9kV,4.6227859
Cut,4.07656158e+05,578,325,charge,Ti-Ti-9kV,3.8106525
Cut,5.20368062e+05,581,325,charge,Ti-Ti-9kV,4.864251
Cut,6.6121851e+05,589,325,charge,Ti-Ti-9kV,6.1808805
Cut,5.66229279e+05,596,325,charge,Ti-Ti-9kV,5.2929485
Cut,5.50591018e+05,600,325,charge,Ti-Ti-9kV,5.1467665
Cut,5.67752255e+05,605,325,charge,Ti-Ti-9kV,5.3071848
Cut,4.55133787e+05,612,325,charge,Ti-Ti-9kV,4.2544598
Cut,4.09051197e+05,618,325,charge,Ti-Ti-9kV,3.823693
Cut,1.7206916e+05,619,325,charge,Ti-Ti-9kV,1.608453
Cut,4.30845143e+05,625,325,charge,Ti-Ti-9kV,4.0274165
Cut,4.81036955e+05,626,325,charge,Ti-Ti-9kV,4.4965951
Cut,4.70476361e+05,638,325,charge,Ti-Ti-9kV,4.3978777
Cut,4.636838e+05,643,325,charge,Ti-Ti-9kV,4.3343828
Cut,2.10230841e+05,644,325,charge,Ti-Ti-9kV,1.9651774
Cut,4.81266354e+05,646,325,charge,Ti-Ti-9kV,4.4987395
Cut,5.84731045e+05,650,325,charge,Ti-Ti-9kV,5.4658977
Cut,5.19751831e+05,653,325,charge,Ti-Ti-9kV,4.8584906
Cut,5.3177406e+05,658,325,charge,Ti-Ti-9kV,4.970871
Cut,1.50723893e+05,669,325,charge,Ti-Ti-9kV,1.4089236
Cut,5.33542315e+05,670,325,charge,Ti-Ti-9kV,4.9874001
Cut,5.11520312e+05,678,325,charge,Ti-Ti-9kV,4.7815448
Cut,4.89140539e+05,680,325,charge,Ti-Ti-9kV,4.5723451
Cut,4.35696737e+05,685,325,charge,Ti-Ti-9kV,4.0727678
Cut,4.90742261e+05,687,325,charge,Ti-Ti-9kV,4.5873175
Cut,5.96874387e+05,689,325,charge,Ti-Ti-9kV,5.5794101
Cut,4.60118255e+05,695,325,charge,Ti-Ti-9kV,4.3010531
Cut,4.06386626e+05,703,325,charge,Ti-Ti-9kV,3.7987853
Cut,4.17528328e+05,706,325,charge,Ti-Ti-9kV,3.9029347
Cut,3.97348591e+05,710,325,charge,Ti-Ti-9kV,3.7143004
Cut,4.70145803e+05,724,325,charge,Ti-Ti-9kV,4.3947878
Cut,4.68143701e+05,726,325,charge,Ti-Ti-9kV,4.3760727
Cut,4.64717311e+05,728,325,charge,Ti-Ti-9kV,4.3440438
Cut,4.51017424e+05,737,325,charge,Ti-Ti-9kV,4.2159812
Cut,5.32165382e+05,742,325,charge,Ti-Ti-9kV,4.974529
Cut,4.88902427e+05,749,325,charge,Ti-Ti-9kV,4.5701193
Cut,5.42965776e+05,752,325,charge,Ti-Ti-9kV,5.0754879
Cut,4.86861034e+05,757,325,charge,Ti-Ti-9kV,4.5510369
Cut,6.21700926e+05,767,325,charge,Ti-Ti-9kV,5.8114815
Cut,4.69179192e+05,769,325,charge,Ti-Ti-9kV,4.3857522
Cut,4.06418358e+05,775,325,charge,Ti-Ti-9kV,3.7990819
Cut,4.18397225e+05,779,325,charge,Ti-Ti-9kV,3.9110569
Cut,5.20449894e+05,785,325,charge,Ti-Ti-9kV,4.8650159
Cut,9.60476748e+05,788,325,charge,Ti-Ti-9kV,8.9782604
Cut,4.62668294e+05,789,325,charge,Ti-Ti-9kV,4.3248902
Cut,5.2601968e+05,795,325,charge,Ti-Ti-9kV,4.9170807
Cut,4.40932249e+05,799,325,charge,Ti-Ti-9kV,4.1217079
Cut,5.869375e+05,817,325,charge,Ti-Ti-9kV,5.486523
Cut,4.1335193e+05,833,325,charge,Ti-Ti-9kV,3.863895
Cut,4.81202342e+05,837,325,charge,Ti-Ti-9kV,4.4981411
Cut,5.30692578e+05,840,325,charge,Ti-Ti-9kV,4.9607616
Cut,1.96173813e+05,848,325,charge,Ti-Ti-9kV,1.8337764
Cut,5.25351505e+05,850,325,charge,Ti-Ti-9kV,4.9108348
Cut,4.88742767e+05,867,325,charge,Ti-Ti-9kV,4.5686268
Cut,4.09167363e+05,870,325,charge,Ti-Ti-9kV,3.8247788
Cut,5.40478039e+05,875,325,charge,Ti-Ti-9kV,5.0522333
Cut,5.83046304e+05,876,325,charge,Ti-Ti-9kV,5.4501492
Cut,5.03714505e+05,877,325,charge,Ti-Ti-9kV,4.7085783
Cut,5.70784352e+05,896,325,charge,Ti-Ti-9kV,5.335528
Cut,4.28012334e+05,899,325,charge,Ti-Ti-9kV,4.0009362
Cut,5.87042739e+05,906,325,charge,Ti-Ti-9kV,5.4875067
Cut,4.89970145e+05,907,325,charge,Ti-Ti-9kV,4.5801
Cut,4.44367145e+05,909,325,charge,Ti-Ti-9kV,4.1538163
Cut,4.88636762e+05,929,325,charge,Ti-Ti-9kV,4.5676359
Cut,4.48516207e+05,938,325,charge,Ti-Ti-9kV,4.1926005
Cut,5.23237022e+05,948,325,charge,Ti-Ti-9kV,4.8910692
Cut,4.71144394e+05,952,325,charge,Ti-Ti-9kV,4.4041223
Cut,5.17082549e+05,956,325,charge,Ti-Ti-9kV,4.833539
Cut,5.04062743e+05,960,325,charge,Ti-Ti-9kV,4.7118336
Cut,5.04464515e+05,963,325,charge,Ti-Ti-9kV,4.7155892
Cut,5.63806326e+05,965,325,charge,Ti-Ti-9kV,5.2702994
Cut,5.79162334e+05,966,325,charge,Ti-Ti-9kV,5.4138429
Cut,5.1705658e+05,970,325,charge,Ti-Ti-9kV,4.8332962
Cut,5.3489913e+05,978,325,charge,Ti-Ti-9kV,5.0000832
Cut,5.32571072e+05,979,325,charge,Ti-Ti-9kV,4.9783212
Cut,5.34305029e+05,983,325,charge,Ti-Ti-9kV,4.9945298
Cut,1.63426175e+05,998,325,charge,Ti-Ti-9kV,1.5276609
Cut,2.04179923e+05,1020,325,charge,Ti-Ti-9kV,1.9086152
Cut,5.13979338e+05,1021,325,charge,Ti-Ti-9kV,4.804531
Cut,2.04781297e+05,1023,325,charge,Ti-Ti-9kV,1.9142367
Cut,4.69682334e+05,1038,325,charge,Ti-Ti-9kV,4.3904554
Cut,3.91107025e+05,1046,325,charge,Ti-Ti-9kV,3.655956
Cut,5.54228899e+05,1051,325,charge,Ti-Ti-9kV,5.1807724
Cut,3.79818637e+05,1059,325,charge,Ti-Ti-9kV,3.5504354
Cut,4.31066948e+05,1066,325,charge,Ti-Ti-9kV,4.0294899
Cut,2.56134483e+05,1067,325,charge,Ti-Ti-9kV,2.3942715
Cut,5.04510285e+05,1071,325,charge,Ti-Ti-9kV,4.7160171
Cut,5.54631629e+05,1072,325,charge,Ti-Ti-9kV,5.184537
Cut,5.31620135e+05,1079,325,charge,Ti-Ti-9kV,4.9694321
Cut,4.15830429e+05,1082,325,charge,Ti-Ti-9kV,3.8870633
Cut,4.89588191e+05,1085,325,charge,Ti-Ti-9kV,4.5765296
Cut,4.79935833e+05,1088,325,charge,Ti-Ti-9kV,4.4863022
Cut,4.68985242e+05,1095,325,charge,Ti-Ti-9kV,4.3839392
Cut,4.5772905e+05,1100,325,charge,Ti-Ti-9kV,4.2787195
Cut,1.88245821e+05,1104,325,charge,Ti-Ti-9kV,1.7596678
Cut,4.91864736e+05,1110,325,charge,Ti-Ti-9kV,4.5978101
Cut,4.82719474e+05,1111,325,charge,Ti-Ti-9kV,4.5123228
Cut,4.95042387e+05,1118,325,charge,Ti-Ti-9kV,4.6275139
Cut,4.89312478e+05,1124,325,charge,Ti-Ti-9kV,4.5739523
Cut,4.95692575e+05,1125,325,charge,Ti-Ti-9kV,4.6335916
Cut,5.08321248e+05,1126,325,charge,Ti-Ti-9kV,4.7516408
