Cut?,Counts,eventNumber,runNumber
Raw,4.36631631e+05,4,325
Raw,4.51598543e+05,6,325
Raw,4.39233337e+05,9,325
Raw,4.60017035e+05,10,325
Raw,5.18773311e+05,11,325
Raw,6.0248251e+05,14,325
Raw,2.06721103e+05,15,325
Raw,5.01224488e+05,16,325
Raw,5.72312733e+05,18,325
Raw,4.9354111e+05,19,325
Raw,4.95510996e+05,21,325
Raw,3.96398859e+05,26,325
Raw,4.6284592e+05,27,325
Raw,4.37537647e+05,28,325
Raw,2.09463589e+05,31,325
Raw,4.5406168e+05,35,325
Raw,5.20560405e+05,36,325
Raw,5.04010868e+05,37,325
Raw,3.31760763e+05,38,325
Raw,6.05509204e+05,39,325
Raw,5.48678576e+05,40,325
Raw,5.05055304e+05,41,325
Raw,4.03080138e+05,43,325
Raw,1.36281344e+05,45,325
Raw,4.14519642e+05,46,325
Raw,5.24992101e+05,47,325
Raw,4.29200568e+05,49,325
Raw,9.72863151e+05,50,325
Raw,5.70490908e+05,54,325
Raw,1.39280717e+05,56,325
Raw,4.5734563e+05,59,325
Raw,1.80557084e+05,61,325
Raw,5.23678031e+05,68,325
Raw,4.79809504e+05,69,325
Raw,2.1334168e+05,77,325
Raw,5.68782103e+05,78,325
Raw,4.57923514e+05,79,325
Raw,1.7773389e+05,80,325
Raw,4.93474495e+05,83,325
Raw,4.45850863e+05,84,325
Raw,6.22410559e+05,86,325
Raw,6.49442227e+05,92,325
Raw,7.7368914e+05,95,325
Raw,4.2958238e+05,96,325
Raw,4.88384158e+05,98,325
Raw,4.2262888e+05,102,325
Raw,1.09564627e+05,103,325
Raw,4.37642896e+05,104,325
Raw,5.78593001e+05,105,325
Raw,4.36385263e+05,107,325
Raw,5.03167623e+05,108,325
Raw,5.0524663e+05,109,325
Raw,5.89431929e+05,110,325
Raw,5.48359954e+05,116,325
Raw,2.94147453e+05,120,325
Raw,3.84143951e+05,121,325
Raw,4.00602574e+05,124,325
Raw,17430.214,126,325
Raw,5.42537082e+05,128,325
Raw,6.42587943e+05,129,325
Raw,6.08826338e+05,130,325
Raw,1.84440533e+05,134,325
Raw,5.40126075e+05,137,325
Raw,4.58733815e+05,138,325
Raw,5.58116837e+05,143,325
Raw,4.98702945e+05,144,325
Raw,4.46698919e+05,145,325
Raw,5.51720467e+05,146,325
Raw,3.73725073e+05,148,325
Raw,5.15463842e+05,149,325
Raw,2.14355572e+05,152,325
Raw,2.04477389e+05,154,325
Raw,4.7440713e+05,155,325
Raw,5.59948568e+05,156,325
Raw,3.85579342e+05,157,325
Raw,5.78078624e+05,158,325
Raw,5.00548314e+05,159,325
Raw,4.68637525e+05,162,325
Raw,4.20499028e+05,164,325
Raw,3.53151107e+05,166,325
Raw,5.66458891e+05,167,325
Raw,4.82396235e+05,168,325
Raw,4.4126781e+05,170,325
Raw,4.66960426e+05,171,325
Raw,5.07654166e+05,172,325
Raw,4.44191033e+05,173,325
Raw,6.54005389e+05,174,325
Raw,6.29815166e+05,175,325
Raw,2.16454522e+05,177,325
Raw,4.09406398e+05,178,325
Raw,1.18350359e+05,178,325
Raw,23398.213,181,325
Raw,5.50576511e+05,182,325
Raw,3.47962902e+05,185,325
Raw,4.67262731e+05,186,325
Raw,87207.353,187,325
Raw,5.64720825e+05,188,325
Raw,4.73838218e+05,190,325
Raw,1.18372461e+05,191,325
Raw,2.59310378e+05,192,325
Raw,3.91149684e+05,193,325
