Type,Energy,Counts
MPFIT,1e+05,2.7540599
MPFIT,1.00493662e+05,2.9137009
MPFIT,1.00987325e+05,3.0810949
MPFIT,1.01480987e+05,3.2565196
MPFIT,1.0197465e+05,3.4402567
MPFIT,1.02468312e+05,3.6325914
MPFIT,1.02961975e+05,3.8338119
MPFIT,1.03455637e+05,4.0442093
MPFIT,1.039493e+05,4.264077
MPFIT,1.04442962e+05,4.49371
MPFIT,1.04936624e+05,4.733405
MPFIT,1.05430287e+05,4.9834592
MPFIT,1.05923949e+05,5.2441704
MPFIT,1.06417612e+05,5.515836
MPFIT,1.06911274e+05,5.7987525
MPFIT,1.07404937e+05,6.0932148
MPFIT,1.07898599e+05,6.3995159
MPFIT,1.08392262e+05,6.7179457
MPFIT,1.08885924e+05,7.0487907
MPFIT,1.09379586e+05,7.3923328
MPFIT,1.09873249e+05,7.7488491
MPFIT,1.10366911e+05,8.1186108
MPFIT,1.10860574e+05,8.5018822
MPFIT,1.11354236e+05,8.8989203
MPFIT,1.11847899e+05,9.3099736
MPFIT,1.12341561e+05,9.7352813
MPFIT,1.12835223e+05,10.175073
MPFIT,1.13328886e+05,10.629565
MPFIT,1.13822548e+05,11.098966
MPFIT,1.14316211e+05,11.583467
MPFIT,1.14809873e+05,12.083249
MPFIT,1.15303536e+05,12.598475
MPFIT,1.15797198e+05,13.129294
MPFIT,1.16290861e+05,13.675839
MPFIT,1.16784523e+05,14.238224
MPFIT,1.17278185e+05,14.816545
MPFIT,1.17771848e+05,15.410878
MPFIT,1.1826551e+05,16.021279
MPFIT,1.18759173e+05,16.647783
MPFIT,1.19252835e+05,17.290402
MPFIT,1.19746498e+05,17.949126
MPFIT,1.2024016e+05,18.623919
MPFIT,1.20733823e+05,19.314723
MPFIT,1.21227485e+05,20.021452
MPFIT,1.21721147e+05,20.743996
MPFIT,1.2221481e+05,21.482215
MPFIT,1.22708472e+05,22.235946
MPFIT,1.23202135e+05,23.004992
MPFIT,1.23695797e+05,23.789132
MPFIT,1.2418946e+05,24.588114
MPFIT,1.24683122e+05,25.401655
MPFIT,1.25176785e+05,26.229443
MPFIT,1.25670447e+05,27.071136
MPFIT,1.26164109e+05,27.92636
MPFIT,1.26657772e+05,28.794711
MPFIT,1.27151434e+05,29.675752
MPFIT,1.27645097e+05,30.569018
MPFIT,1.28138759e+05,31.474011
MPFIT,1.28632422e+05,32.390201
MPFIT,1.29126084e+05,33.31703
MPFIT,1.29619746e+05,34.253905
MPFIT,1.30113409e+05,35.200208
MPFIT,1.30607071e+05,36.155288
MPFIT,1.31100734e+05,37.118465
MPFIT,1.31594396e+05,38.08903
MPFIT,1.32088059e+05,39.066249
MPFIT,1.32581721e+05,40.049357
MPFIT,1.33075384e+05,41.037565
MPFIT,1.33569046e+05,42.030058
MPFIT,1.34062708e+05,43.025996
MPFIT,1.34556371e+05,44.024519
MPFIT,1.35050033e+05,45.024742
MPFIT,1.35543696e+05,46.02576
MPFIT,1.36037358e+05,47.026649
MPFIT,1.36531021e+05,48.026469
MPFIT,1.37024683e+05,49.024261
MPFIT,1.37518346e+05,50.019053
MPFIT,1.38012008e+05,51.009861
MPFIT,1.3850567e+05,51.995689
MPFIT,1.38999333e+05,52.975531
MPFIT,1.39492995e+05,53.948374
MPFIT,1.39986658e+05,54.913201
MPFIT,1.4048032e+05,55.86899
MPFIT,1.40973983e+05,56.814718
MPFIT,1.41467645e+05,57.749363
MPFIT,1.41961308e+05,58.671904
MPFIT,1.4245497e+05,59.581326
MPFIT,1.42948632e+05,60.476622
MPFIT,1.43442295e+05,61.356793
MPFIT,1.43935957e+05,62.220849
MPFIT,1.4442962e+05,63.067817
MPFIT,1.44923282e+05,63.896738
MPFIT,1.45416945e+05,64.706671
MPFIT,1.45910607e+05,65.496692
MPFIT,1.4640427e+05,66.265902
MPFIT,1.46897932e+05,67.013426
MPFIT,1.47391594e+05,67.738412
MPFIT,1.47885257e+05,68.440039
MPFIT,1.48378919e+05,69.117513
MPFIT,1.48872582e+05,69.770073
MPFIT,1.49366244e+05,70.39699
MPFIT,1.49859907e+05,70.997573
MPFIT,1.50353569e+05,71.571165
MPFIT,1.50847231e+05,72.117147
MPFIT,1.51340894e+05,72.634942
MPFIT,1.51834556e+05,73.124012
MPFIT,1.52328219e+05,73.583862
MPFIT,1.52821881e+05,74.014039
MPFIT,1.53315544e+05,74.414138
MPFIT,1.53809206e+05,74.783796
MPFIT,1.54302869e+05,75.122697
MPFIT,1.54796531e+05,75.430573
MPFIT,1.55290193e+05,75.707203
MPFIT,1.55783856e+05,75.952413
MPFIT,1.56277518e+05,76.166078
MPFIT,1.56771181e+05,76.348122
MPFIT,1.57264843e+05,76.498516
MPFIT,1.57758506e+05,76.617282
MPFIT,1.58252168e+05,76.704486
MPFIT,1.58745831e+05,76.760247
MPFIT,1.59239493e+05,76.784729
MPFIT,1.59733155e+05,76.778141
MPFIT,1.60226818e+05,76.740741
MPFIT,1.6072048e+05,76.672832
MPFIT,1.61214143e+05,76.57476
MPFIT,1.61707805e+05,76.446917
MPFIT,1.62201468e+05,76.289733
MPFIT,1.6269513e+05,76.103684
MPFIT,1.63188793e+05,75.889281
MPFIT,1.63682455e+05,75.647075
MPFIT,1.64176117e+05,75.377655
MPFIT,1.6466978e+05,75.081642
MPFIT,1.65163442e+05,74.759692
MPFIT,1.65657105e+05,74.412491
MPFIT,1.66150767e+05,74.040755
MPFIT,1.6664443e+05,73.645227
MPFIT,1.67138092e+05,73.226675
MPFIT,1.67631755e+05,72.785893
MPFIT,1.68125417e+05,72.323691
MPFIT,1.68619079e+05,71.840903
MPFIT,1.69112742e+05,71.338377
MPFIT,1.69606404e+05,70.816976
MPFIT,1.70100067e+05,70.277577
MPFIT,1.70593729e+05,69.721065
MPFIT,1.71087392e+05,69.148335
MPFIT,1.71581054e+05,68.560285
MPFIT,1.72074716e+05,67.95782
MPFIT,1.72568379e+05,67.341844
MPFIT,1.73062041e+05,66.713262
MPFIT,1.73555704e+05,66.072974
MPFIT,1.74049366e+05,65.421877
MPFIT,1.74543029e+05,64.76086
MPFIT,1.75036691e+05,64.090803
MPFIT,1.75530354e+05,63.412578
MPFIT,1.76024016e+05,62.72704
MPFIT,1.76517678e+05,62.035033
MPFIT,1.77011341e+05,61.337383
MPFIT,1.77505003e+05,60.634901
MPFIT,1.77998666e+05,59.928375
MPFIT,1.78492328e+05,59.218576
MPFIT,1.78985991e+05,58.506252
MPFIT,1.79479653e+05,57.792127
MPFIT,1.79973316e+05,57.076901
MPFIT,1.80466978e+05,56.36125
MPFIT,1.8096064e+05,55.645823
MPFIT,1.81454303e+05,54.931242
MPFIT,1.81947965e+05,54.2181
MPFIT,1.82441628e+05,53.506964
MPFIT,1.8293529e+05,52.798371
MPFIT,1.83428953e+05,52.092828
MPFIT,1.83922615e+05,51.390813
MPFIT,1.84416278e+05,50.692775
MPFIT,1.8490994e+05,49.999132
MPFIT,1.85403602e+05,49.310272
MPFIT,1.85897265e+05,48.626554
MPFIT,1.86390927e+05,47.948306
MPFIT,1.8688459e+05,47.275829
MPFIT,1.87378252e+05,46.609393
MPFIT,1.87871915e+05,45.94924
MPFIT,1.88365577e+05,45.295584
MPFIT,1.88859239e+05,44.648612
MPFIT,1.89352902e+05,44.008483
MPFIT,1.89846564e+05,43.375332
MPFIT,1.90340227e+05,42.749267
MPFIT,1.90833889e+05,42.130373
MPFIT,1.91327552e+05,41.518711
MPFIT,1.91821214e+05,40.914321
MPFIT,1.92314877e+05,40.317219
MPFIT,1.92808539e+05,39.727402
MPFIT,1.93302201e+05,39.144849
MPFIT,1.93795864e+05,38.56952
MPFIT,1.94289526e+05,38.001358
MPFIT,1.94783189e+05,37.44029
MPFIT,1.95276851e+05,36.886228
MPFIT,1.95770514e+05,36.339073
MPFIT,1.96264176e+05,35.798711
MPFIT,1.96757839e+05,35.265019
MPFIT,1.97251501e+05,34.737864
MPFIT,1.97745163e+05,34.217102
MPFIT,1.98238826e+05,33.702585
MPFIT,1.98732488e+05,33.194157
MPFIT,1.99226151e+05,32.691656
MPFIT,1.99719813e+05,32.194918
MPFIT,2.00213476e+05,31.703774
MPFIT,2.00707138e+05,31.218055
MPFIT,2.01200801e+05,30.73759
MPFIT,2.01694463e+05,30.262207
MPFIT,2.02188125e+05,29.791737
MPFIT,2.02681788e+05,29.326011
MPFIT,2.0317545e+05,28.864863
MPFIT,2.03669113e+05,28.408133
MPFIT,2.04162775e+05,27.955661
MPFIT,2.04656438e+05,27.507294
MPFIT,2.051501e+05,27.062885
MPFIT,2.05643763e+05,26.622293
MPFIT,2.06137425e+05,26.185381
MPFIT,2.06631087e+05,25.752023
MPFIT,2.0712475e+05,25.322098
MPFIT,2.07618412e+05,24.895493
MPFIT,2.08112075e+05,24.472104
MPFIT,2.08605737e+05,24.051835
MPFIT,2.090994e+05,23.634598
MPFIT,2.09593062e+05,23.220316
MPFIT,2.10086724e+05,22.808918
MPFIT,2.10580387e+05,22.400343
MPFIT,2.11074049e+05,21.994542
MPFIT,2.11567712e+05,21.591469
MPFIT,2.12061374e+05,21.191093
MPFIT,2.12555037e+05,20.793388
MPFIT,2.13048699e+05,20.398337
MPFIT,2.13542362e+05,20.005934
MPFIT,2.14036024e+05,19.616178
MPFIT,2.14529686e+05,19.229078
MPFIT,2.15023349e+05,18.84465
MPFIT,2.15517011e+05,18.462917
MPFIT,2.16010674e+05,18.08391
MPFIT,2.16504336e+05,17.707666
MPFIT,2.16997999e+05,17.334228
MPFIT,2.17491661e+05,16.963647
MPFIT,2.17985324e+05,16.595976
MPFIT,2.18478986e+05,16.231277
MPFIT,2.18972648e+05,15.869612
MPFIT,2.19466311e+05,15.511052
MPFIT,2.19959973e+05,15.155667
MPFIT,2.20453636e+05,14.803535
MPFIT,2.20947298e+05,14.454734
MPFIT,2.21440961e+05,14.109343
MPFIT,2.21934623e+05,13.767447
MPFIT,2.22428286e+05,13.429128
MPFIT,2.22921948e+05,13.094472
MPFIT,2.2341561e+05,12.763565
MPFIT,2.23909273e+05,12.436493
MPFIT,2.24402935e+05,12.113339
MPFIT,2.24896598e+05,11.794191
MPFIT,2.2539026e+05,11.47913
MPFIT,2.25883923e+05,11.168238
MPFIT,2.26377585e+05,10.861598
MPFIT,2.26871247e+05,10.559285
MPFIT,2.2736491e+05,10.261376
MPFIT,2.27858572e+05,9.9679435
MPFIT,2.28352235e+05,9.6790573
MPFIT,2.28845897e+05,9.3947834
MPFIT,2.2933956e+05,9.1151847
MPFIT,2.29833222e+05,8.8403199
MPFIT,2.30326885e+05,8.5702439
MPFIT,2.30820547e+05,8.3050071
MPFIT,2.31314209e+05,8.0446558
MPFIT,2.31807872e+05,7.7892317
MPFIT,2.32301534e+05,7.5387718
MPFIT,2.32795197e+05,7.2933084
MPFIT,2.33288859e+05,7.0528689
MPFIT,2.33782522e+05,6.817476
MPFIT,2.34276184e+05,6.5871472
MPFIT,2.34769847e+05,6.3618954
MPFIT,2.35263509e+05,6.1417283
MPFIT,2.35757171e+05,5.9266487
MPFIT,2.36250834e+05,5.7166546
MPFIT,2.36744496e+05,5.5117391
MPFIT,2.37238159e+05,5.3118905
MPFIT,2.37731821e+05,5.1170924
MPFIT,2.38225484e+05,4.9273237
MPFIT,2.38719146e+05,4.742559
MPFIT,2.39212809e+05,4.5627683
MPFIT,2.39706471e+05,4.3879174
MPFIT,2.40200133e+05,4.2179679
MPFIT,2.40693796e+05,4.0528775
MPFIT,2.41187458e+05,3.8926001
MPFIT,2.41681121e+05,3.7370858
MPFIT,2.42174783e+05,3.5862813
MPFIT,2.42668446e+05,3.4401299
MPFIT,2.43162108e+05,3.2985718
MPFIT,2.43655771e+05,3.1615442
MPFIT,2.44149433e+05,3.0289816
MPFIT,2.44643095e+05,2.900816
MPFIT,2.45136758e+05,2.7769766
MPFIT,2.4563042e+05,2.6573909
