eccentricity,run
1.146262,325
1.0872924,325
1.1976107,325
1.0587467,325
1.1216432,325
1.2099325,325
1.0705593,325
1.0560857,325
1.1498525,325
1.1159851,325
1.1219135,325
1.1585222,325
1.0979499,325
1.1269781,325
1.2133538,325
1.0842465,325
1.1414166,325
1.1282387,325
1.2361823,325
1.0408224,325
1.0314208,325
1.0276294,325
1.2108632,325
1.0972293,325
1.2237637,325
1.1177518,325
1.138534,325
1.1785697,325
1.1767141,325
1.0769533,325
1.1429576,325
1.0788983,325
1.1000415,325
1.1838764,325
1.056393,325
1.0809651,325
1.0894795,325
1.1548271,325
1.138013,325
1.134217,325
1.2731964,325
1.0136886,325
1.0467725,325
1.1982338,325
1.0776872,325
1.2433436,325
1.0192229,325
1.0222369,325
1.0727452,325
1.1476348,325
1.0788579,325
1.1547756,325
1.0378222,325
1.1371904,325
1.1172095,325
1.1192932,325
1.1004671,325
1.1377169,325
1.1048182,325
1.1449642,325
1.2237209,325
1.0683347,325
1.0604837,325
1.0718144,325
1.0760453,325
1.0994174,325
1.0661202,325
1.0446801,325
1.156125,325
1.0822971,325
1.2213464,325
1.1210121,325
1.1149234,325
1.1507848,325
1.2923199,325
1.0508077,325
1.1439475,325
1.0631372,325
1.0252477,325
1.2767275,325
1.0943194,325
1.1794618,325
1.0533066,325
1.087996,325
1.1122641,325
1.1084506,325
1.0904275,325
1.1148064,325
1.0836789,325
1.1005715,325
1.0762633,325
1.0800264,325
1.014894,325
1.2123569,325
1.2300651,325
1.1070266,325
1.2275905,325
1.2738104,325
1.0392032,325
1.0840701,325
1.25259,325
1.0713941,325
1.0891302,325
1.0910728,325
1.0198748,325
1.1509752,325
1.1608224,325
1.2170205,325
1.0861034,325
1.2432552,325
1.107056,325
1.1584982,325
1.0420029,325
1.1330601,325
1.195434,325
1.10116,325
1.2120773,325
1.1234659,325
1.1675289,325
1.0825891,325
1.0599347,325
1.1462599,325
1.1270763,325
1.0607387,325
1.1537964,325
1.0715271,325
1.1041804,325
1.2482903,325
1.2090469,325
1.0564706,325
1.177132,325
1.1242605,325
1.0421444,325
1.2150774,325
1.0853775,325
1.0085115,325
1.1088857,325
1.0308478,325
1.0839333,325
1.1740977,325
1.0815322,325
1.16516,325
1.1521729,325
1.1467884,325
1.106913,325
1.2448444,325
1.104113,325
