fractionInTransverseRms,run
0.38823529,325
0.32642487,325
0.35175879,325
0.39506173,325
0.38095238,325
0.32947977,325
0.39766082,325
0.3315508,325
0.35869565,325
0.34705882,325
0.35897436,325
0.31460674,325
0.40594059,325
0.32795699,325
0.34146341,325
0.3525641,325
0.35672515,325
0.29479769,325
0.33974359,325
0.35526316,325
0.39428571,325
0.37209302,325
0.30601093,325
0.34722222,325
0.30392157,325
0.3875,325
0.31578947,325
0.28717949,325
0.37423313,325
0.38834951,325
0.3253012,325
0.34536082,325
0.35672515,325
0.3045977,325
0.36458333,325
0.3575419,325
0.3836858,325
0.37765957,325
0.3625731,325
0.36764706,325
0.32446809,325
0.37356322,325
0.3372093,325
0.28057554,325
0.38121547,325
0.26415094,325
0.37967914,325
0.31578947,325
0.34871795,325
0.35675676,325
0.39247312,325
0.37704918,325
0.37128713,325
0.41081081,325
0.35483871,325
0.30985915,325
0.30898876,325
0.38974359,325
0.375,325
0.37430168,325
0.30769231,325
0.33492823,325
0.40251572,325
0.41089109,325
0.31764706,325
0.37569061,325
0.31282051,325
0.36764706,325
0.31707317,325
0.36065574,325
0.37055838,325
0.35384615,325
0.3836478,325
0.36931818,325
0.33333333,325
0.41340782,325
0.31395349,325
0.41062802,325
0.39534884,325
0.32051282,325
0.40206186,325
0.32446809,325
0.41358025,325
0.33507853,325
0.41463415,325
0.33333333,325
0.31868132,325
0.3625,325
0.31606218,325
0.375,325
0.35,325
0.32160804,325
0.37967914,325
0.38562092,325
0.34666667,325
0.4,325
0.34972678,325
0.30555556,325
0.31914894,325
0.32911392,325
0.27777778,325
0.40764331,325
0.37623762,325
0.4,325
0.41111111,325
0.34224599,325
0.31213873,325
0.34302326,325
0.36956522,325
0.33870968,325
0.32272727,325
0.30288462,325
0.421875,325
0.3255814,325
0.35195531,325
0.35028249,325
0.30813953,325
0.35416667,325
0.3988764,325
0.41624365,325
0.44134078,325
0.30508475,325
0.3956044,325
0.40571429,325
0.34969325,325
0.36065574,325
0.32989691,325
0.24615385,325
0.34920635,325
0.34703196,325
0.34463277,325
0.37037037,325
0.27868852,325
0.29239766,325
0.37016575,325
0.38297872,325
0.32758621,325
0.47297297,325
0.38150289,325
0.34146341,325
0.35483871,325
0.36945813,325
0.3125,325
0.32663317,325
0.38383838,325
0.40571429,325
0.38333333,325
0.33950617,325
0.34166667,325
0.35882353,325
0.39411765,325
0.31428571,325
0.39877301,325
0.32163743,325
0.36,325
0.36111111,325
0.4,325
0.42424242,325
0.40112994,325
0.34170854,325
0.3575419,325
0.33018868,325
0.30167598,325
0.36024845,325
0.29341317,325
0.28787879,325
0.35365854,325
0.41111111,325
0.37640449,325
0.33128834,325
0.39230769,325
0.44099379,325
0.34269663,325
0.2712766,325
0.2972973,325
0.37823834,325
0.34574468,325
0.35087719,325
0.34482759,325
0.34761905,325
0.38095238,325
0.37073171,325
0.33136095,325
0.38862559,325
0.31395349,325
0.3258427,325
0.32954545,325
0.32352941,325
0.41145833,325
0.36363636,325
0.41025641,325
0.37096774,325
0.34502924,325
0.41666667,325
0.39593909,325
0.39698492,325
0.31677019,325
0.32642487,325
0.39344262,325
0.27272727,325
0.36904762,325
0.3626943,325
0.35294118,325
0.32386364,325
0.34415584,325
0.31343284,325
0.40666667,325
0.33532934,325
0.39175258,325
0.30555556,325
0.31862745,325
0.40860215,325
0.30357143,325
0.36787565,325
0.33519553,325
0.40372671,325
0.34117647,325
0.31081081,325
0.36040609,325
0.33854167,325
0.36138614,325
0.39444444,325
0.41208791,325
0.40106952,325
0.37356322,325
0.30167598,325
0.34375,325
0.31468531,325
0.38202247,325
0.37988827,325
0.33888889,325
0.43956044,325
0.38709677,325
0.34302326,325
0.30208333,325
0.3989071,325
0.29850746,325
0.34285714,325
0.34408602,325
0.34730539,325
0.31914894,325
0.41477273,325
0.35483871,325
0.37278107,325
0.36413043,325
0.37016575,325
0.39393939,325
0.31843575,325
0.33862434,325
0.31843575,325
0.29090909,325
0.37142857,325
0.34328358,325
0.29347826,325
0.34730539,325
0.37179487,325
0.3172043,325
0.31088083,325
0.30555556,325
0.3715847,325
0.31609195,325
0.3559322,325
0.32795699,325
0.3956044,325
0.24875622,325
0.31363636,325
0.29714286,325
0.37931034,325
0.35858586,325
0.33879781,325
0.42207792,325
0.40677966,325
0.27419355,325
0.33888889,325
0.39285714,325
0.31088083,325
0.4301676,325
0.35638298,325
0.3172043,325
0.37297297,325
0.3125,325
0.34969325,325
0.37058824,325
0.38011696,325
0.43103448,325
0.34883721,325
0.34751773,325
0.40116279,325
0.34730539,325
0.36082474,325
0.35078534,325
