hits,run
170,325
193,325
199,325
81,325
189,325
173,325
171,325
187,325
184,325
170,325
156,325
178,325
202,325
186,325
82,325
156,325
171,325
173,325
156,325
152,325
175,325
172,325
183,325
216,325
102,325
160,325
171,325
195,325
163,325
206,325
166,325
194,325
171,325
174,325
192,325
179,325
331,325
188,325
171,325
68,325
188,325
174,325
172,325
139,325
181,325
53,325
187,325
171,325
195,325
185,325
186,325
61,325
202,325
185,325
186,325
213,325
178,325
195,325
184,325
179,325
182,325
209,325
159,325
202,325
170,325
181,325
195,325
136,325
205,325
183,325
197,325
195,325
159,325
176,325
51,325
179,325
172,325
207,325
172,325
78,325
194,325
188,325
162,325
191,325
164,325
168,325
182,325
160,325
193,325
184,325
180,325
199,325
187,325
153,325
75,325
205,325
183,325
72,325
188,325
158,325
54,325
157,325
202,325
180,325
180,325
187,325
173,325
172,325
184,325
186,325
220,325
208,325
64,325
172,325
179,325
177,325
172,325
192,325
178,325
197,325
179,325
177,325
182,325
175,325
163,325
183,325
194,325
65,325
189,325
219,325
177,325
162,325
61,325
171,325
181,325
188,325
174,325
74,325
173,325
205,325
186,325
203,325
64,325
199,325
198,325
175,325
180,325
162,325
120,325
170,325
170,325
175,325
163,325
171,325
175,325
180,325
180,325
198,325
177,325
199,325
179,325
212,325
179,325
161,325
167,325
198,325
328,325
180,325
178,325
163,325
130,325
161,325
178,325
188,325
74,325
193,325
188,325
171,325
203,325
210,325
168,325
205,325
169,325
211,325
172,325
178,325
176,325
170,325
192,325
176,325
195,325
186,325
171,325
192,325
197,325
199,325
161,325
193,325
183,325
66,325
84,325
193,325
85,325
176,325
154,325
201,325
150,325
167,325
97,325
180,325
204,325
186,325
168,325
193,325
179,325
161,325
170,325
74,325
197,325
192,325
202,325
180,325
182,325
187,325
174,325
179,325
160,325
143,325
178,325
179,325
180,325
91,325
155,325
172,325
192,325
183,325
67,325
175,325
186,325
167,325
47,325
176,325
186,325
169,325
184,325
181,325
198,325
179,325
189,325
179,325
55,325
70,325
201,325
184,325
167,325
156,325
186,325
193,325
180,325
183,325
174,325
177,325
186,325
182,325
201,325
220,325
175,325
203,325
198,325
183,325
154,325
177,325
186,325
180,325
168,325
193,325
179,325
188,325
186,325
185,325
192,325
163,325
170,325
171,325
58,325
172,325
141,325
172,325
167,325
194,325
191,325
181,325
184,325
86,325
170,325
188,325
201,325
186,325
194,325
168,325
208,325
187,325
178,325
180,325
213,325
175,325
180,325
196,325
59,325
215,325
146,325
179,325
123,325
80,325
180,325
191,325
199,325
186,325
171,325
61,325
172,325
178,325
172,325
152,325
90,325
174,325
110,325
187,325
172,325
186,325
176,325
184,325
165,325
168,325
197,325
71,325
59,325
201,325
85,325
193,325
70,325
50,325
170,325
177,325
191,325
185,325
190,325
171,325
182,325
185,325
176,325
161,325
166,325
180,325
98,325
181,325
169,325
164,325
188,325
182,325
170,325
188,325
204,325
178,325
187,325
188,325
203,325
200,325
196,325
176,325
159,325
166,325
189,325
165,325
183,325
188,325
173,325
162,325
176,325
182,325
172,325
197,325
61,325
143,325
198,325
112,325
164,325
165,325
81,325
181,325
207,325
58,325
192,325
184,325
217,325
169,325
188,325
170,325
183,325
161,325
52,325
171,325
191,325
190,325
199,325
180,325
179,325
186,325
182,325
184,325
163,325
164,325
148,325
170,325
179,325
189,325
195,325
178,325
173,325
170,325
194,325
189,325
173,325
162,325
206,325
56,325
71,325
199,325
189,325
167,325
185,325
186,325
223,325
193,325
177,325
167,325
219,325
177,325
217,325
176,325
167,325
173,325
180,325
194,325
65,325
199,325
73,325
73,325
176,325
194,325
189,325
146,325
62,325
170,325
180,325
169,325
181,325
178,325
186,325
196,325
184,325
180,325
187,325
178,325
196,325
157,325
182,325
224,325
196,325
183,325
202,325
192,325
78,325
221,325
177,325
175,325
215,325
194,325
169,325
173,325
206,325
181,325
201,325
178,325
186,325
203,325
187,325
199,325
207,325
202,325
192,325
193,325
174,325
163,325
171,325
186,325
195,325
140,325
216,325
180,325
194,325
188,325
185,325
176,325
177,325
183,325
57,325
169,325
196,325
183,325
178,325
223,325
178,325
178,325
177,325
153,325
56,325
197,325
188,325
116,325
116,325
175,325
178,325
207,325
173,325
190,325
185,325
178,325
131,325
202,325
190,325
208,325
198,325
168,325
181,325
158,325
193,325
173,325
190,325
175,325
169,325
163,325
165,325
161,325
156,325
185,325
76,325
194,325
65,325
162,325
193,325
186,325
65,325
152,325
163,325
176,325
167,325
64,325
178,325
187,325
174,325
181,325
195,325
185,325
201,325
163,325
172,325
181,325
177,325
167,325
67,325
68,325
159,325
184,325
201,325
191,325
188,325
191,325
174,325
214,325
166,325
206,325
194,325
180,325
183,325
159,325
175,325
165,325
172,325
67,325
169,325
193,325
177,325
175,325
215,325
180,325
162,325
168,325
169,325
143,325
184,325
177,325
173,325
197,325
193,325
190,325
191,325
206,325
161,325
164,325
188,325
177,325
175,325
199,325
182,325
183,325
204,325
194,325
204,325
179,325
56,325
174,325
194,325
182,325
121,325
179,325
204,325
156,325
132,325
196,325
173,325
187,325
171,325
170,325
176,325
196,325
130,325
190,325
170,325
195,325
160,325
183,325
180,325
193,325
197,325
197,325
188,325
207,325
165,325
191,325
187,325
195,325
184,325
188,325
230,325
71,325
161,325
186,325
189,325
185,325
165,325
183,325
177,325
165,325
59,325
197,325
185,325
182,325
209,325
172,325
202,325
170,325
183,325
156,325
201,325
190,325
183,325
201,325
157,325
173,325
167,325
211,325
196,325
173,325
179,325
185,325
174,325
199,325
165,325
191,325
163,325
191,325
183,325
201,325
191,325
167,325
178,325
191,325
180,325
171,325
186,325
193,325
192,325
154,325
196,325
157,325
179,325
184,325
170,325
179,325
167,325
67,325
175,325
176,325
167,325
172,325
173,325
189,325
58,325
171,325
179,325
169,325
215,325
206,325
198,325
193,325
183,325
177,325
188,325
200,325
160,325
178,325
148,325
176,325
167,325
201,325
174,325
142,325
179,325
177,325
182,325
165,325
204,325
201,325
165,325
204,325
185,325
200,325
206,325
166,325
165,325
178,325
200,325
56,325
190,325
203,325
192,325
177,325
182,325
190,325
209,325
174,325
170,325
172,325
171,325
178,325
73,325
179,325
179,325
178,325
200,325
205,325
174,325
170,325
189,325
168,325
194,325
195,325
199,325
176,325
62,325
180,325
215,325
173,325
191,325
185,325
217,325
169,325
164,325
170,325
166,325
200,325
150,325
161,325
182,325
68,325
89,325
190,325
193,325
180,325
180,325
155,325
170,325
192,325
196,325
200,325
184,325
174,325
181,325
76,325
184,325
70,325
144,325
189,325
211,325
177,325
185,325
192,325
167,325
171,325
172,325
189,325
188,325
178,325
188,325
182,325
197,325
206,325
172,325
194,325
176,325
176,325
194,325
192,325
208,325
186,325
229,325
174,325
197,325
162,325
194,325
196,325
174,325
180,325
188,325
171,325
191,325
181,325
186,325
276,325
170,325
203,325
176,325
115,325
173,325
184,325
188,325
187,325
175,325
150,325
174,325
189,325
115,325
168,325
202,325
177,325
179,325
186,325
176,325
209,325
161,325
211,325
181,325
183,325
184,325
194,325
179,325
188,325
165,325
156,325
185,325
165,325
137,325
162,325
171,325
167,325
173,325
149,325
174,325
67,325
191,325
202,325
183,325
171,325
74,325
186,325
79,325
196,325
184,325
183,325
183,325
184,325
180,325
203,325
171,325
87,325
179,325
192,325
180,325
177,325
165,325
176,325
172,325
190,325
164,325
190,325
198,325
171,325
168,325
170,325
172,325
192,325
81,325
194,325
169,325
183,325
170,325
86,325
172,325
193,325
187,325
69,325
205,325
169,325
173,325
64,325
183,325
184,325
162,325
180,325
192,325
202,325
211,325
180,325
170,325
200,325
175,325
189,325
164,325
205,325
163,325
188,325
196,325
200,325
64,325
172,325
166,325
201,325
186,325
178,325
174,325
175,325
184,325
188,325
196,325
178,325
172,325
216,325
73,325
176,325
179,325
170,325
186,325
168,325
183,325
174,325
172,325
205,325
65,325
169,325
199,325
194,325
177,325
164,325
172,325
178,325
199,325
181,325
179,325
188,325
213,325
164,325
192,325
198,325
195,325
178,325
202,325
186,325
177,325
74,325
65,325
171,325
158,325
194,325
164,325
182,325
199,325
166,325
187,325
167,325
206,325
166,325
180,325
175,325
169,325
173,325
202,325
168,325
172,325
203,325
182,325
160,325
199,325
78,325
172,325
181,325
180,325
197,325
174,325
196,325
176,325
203,325
174,325
181,325
195,325
207,325
165,325
188,325
173,325
189,325
186,325
187,325
72,325
179,325
198,325
171,325
57,325
170,325
187,325
184,325
186,325
169,325
59,325
164,325
158,325
188,325
194,325
171,325
173,325
167,325
178,325
73,325
191,325
167,325
181,325
160,325
180,325
130,325
202,325
175,325
209,325
200,325
168,325
158,325
162,325
162,325
175,325
156,325
176,325
147,325
166,325
171,325
176,325
167,325
176,325
167,325
180,325
204,325
167,325
177,325
155,325
189,325
160,325
184,325
182,325
171,325
180,325
185,325
173,325
176,325
190,325
160,325
187,325
196,325
181,325
197,325
65,325
174,325
169,325
183,325
191,325
188,325
194,325
192,325
195,325
197,325
176,325
195,325
150,325
196,325
205,325
196,325
183,325
202,325
183,325
177,325
198,325
185,325
181,325
171,325
178,325
189,325
181,325
194,325
192,325
171,325
174,325
209,325
192,325
186,325
217,325
179,325
170,325
153,325
153,325
156,325
183,325
161,325
216,325
179,325
164,325
200,325
180,325
185,325
178,325
195,325
191,325
62,325
192,325
73,325
178,325
170,325
167,325
