kurtosisTransverse,run
0.24620733,325
-0.53171918,325
0.45263898,325
-0.32352936,325
0.30411077,325
0.011541243,325
0.54931748,325
-0.33070036,325
-0.38261077,325
0.36377374,325
0.42106616,325
-0.42461929,325
0.37251717,325
-0.62353346,325
-0.22924569,325
-0.40995804,325
-0.54291808,325
-0.5099328,325
0.45026987,325
-0.20676586,325
-0.30274258,325
-0.61720548,325
-0.51643495,325
-0.13280795,325
-0.58778056,325
-0.59267683,325
-0.13075219,325
-0.91817505,325
0.36687953,325
-0.039774575,325
-0.74058661,325
0.48610517,325
0.40312673,325
0.24334119,325
0.32485091,325
0.1636894,325
-0.20379004,325
-0.22876682,325
0.25810664,325
1.2724461,325
-0.16070834,325
-0.31170503,325
-0.41456554,325
-0.53945796,325
-0.42725806,325
-0.47580866,325
-0.18618707,325
-0.11531649,325
0.40594459,325
-0.071232423,325
0.38198475,325
-0.56935604,325
-0.14703214,325
-0.022454894,325
0.15051794,325
-0.46621886,325
-0.38502264,325
0.00099112097,325
0.43426395,325
-0.042989958,325
0.15232113,325
-0.41501494,325
0.19823685,325
-0.37072456,325
-0.13281624,325
0.52335176,325
0.20086639,325
0.26760069,325
0.039554316,325
-0.28002007,325
0.23473505,325
0.13592492,325
-0.017169111,325
0.89586258,325
-0.78773107,325
0.076887043,325
-0.32486269,325
0.49450079,325
-0.075580543,325
1.0380896,325
0.0090733101,325
-0.073208136,325
-0.45400951,325
-0.19778121,325
-0.38501297,325
-0.35165192,325
-0.10094593,325
-0.36308148,325
-0.49005448,325
1.4929675,325
-0.069760674,325
-0.88367556,325
0.011478592,325
-0.24696342,325
-0.2799559,325
0.035543664,325
0.032971001,325
-0.41043885,325
-0.62342264,325
-0.12362537,325
0.079539656,325
0.18834346,325
-0.075402134,325
0.38030561,325
0.25411771,325
0.21656037,325
0.15975581,325
0.51408805,325
0.53049991,325
-0.23553346,325
-0.11879634,325
0.20307627,325
0.15612971,325
-0.77813751,325
0.33349167,325
-0.043464014,325
-0.384173,325
0.094881926,325
-0.29090111,325
0.33764724,325
-0.22502524,325
-0.29237309,325
-0.0088214625,325
0.13012145,325
-0.19644736,325
-0.52142383,325
-0.30417057,325
-0.75147924,325
0.38419071,325
-0.021493847,325
-0.27613955,325
