lengthDivRmsTrans,run
6.9640607,325
4.7488793,325
6.0652285,325
5.9448252,325
5.9346813,325
5.5666074,325
6.1419874,325
5.5570544,325
5.6773794,325
6.1395538,325
5.6919586,325
6.3132464,325
6.3985231,325
5.6793995,325
5.6884737,325
5.3467627,325
5.5327096,325
5.72588,325
7.5663914,325
4.6098503,325
5.2214894,325
6.7005963,325
6.5700244,325
5.9101655,325
6.2498197,325
5.9508242,325
5.7626054,325
6.4927228,325
6.6017969,325
5.1218979,325
5.7062485,325
5.5504437,325
6.1830173,325
6.0038565,325
4.671463,325
5.4762834,325
5.9839,325
5.5524396,325
6.3918916,325
5.3324614,325
5.7156497,325
4.9481571,325
6.547296,325
6.7210036,325
5.4169199,325
5.0281146,325
5.0611053,325
5.3891156,325
5.8972108,325
4.8092452,325
5.4424513,325
5.6088571,325
5.732569,325
5.6470961,325
6.2118623,325
5.8464031,325
6.365938,325
5.4159896,325
6.0434644,325
5.9939409,325
6.696949,325
4.975178,325
5.7725314,325
5.853405,325
5.4199792,325
5.6970042,325
6.506237,325
5.8509252,325
6.0682854,325
5.9637333,325
5.7013885,325
5.6972164,325
5.4461424,325
7.0712318,325
6.5291271,325
5.7985771,325
6.1766783,325
6.7758992,325
4.9512263,325
7.4336806,325
5.0699192,325
5.9662015,325
5.2621929,325
5.8352597,325
6.2395529,325
6.2404414,325
5.7002757,325
6.2664778,325
5.5388138,325
5.9076466,325
5.186044,325
5.9067101,325
4.7511617,325
6.3293658,325
5.349728,325
5.943768,325
5.8654123,325
6.0532601,325
5.1318814,325
5.0473113,325
7.077289,325
5.7260801,325
5.7768073,325
6.4912522,325
5.7250519,325
5.4165487,325
5.2562086,325
6.2606212,325
6.5338371,325
6.2056225,325
5.7300255,325
5.7553639,325
4.9186753,325
5.9353872,325
6.720307,325
5.6931251,325
6.3167494,325
6.0164476,325
5.0035057,325
5.5237776,325
6.086794,325
5.1044642,325
6.6569934,325
5.5017487,325
6.3389497,325
4.9812126,325
5.5492833,325
6.1143925,325
6.9825284,325
5.049767,325
6.3021648,325
5.9661206,325
4.4952977,325
6.1542467,325
5.5975854,325
5.5723025,325
5.8815408,325
4.7922127,325
7.0534527,325
6.146682,325
6.5867039,325
6.9804324,325
5.0600774,325
6.6291212,325
6.6891327,325
6.3664102,325
5.8754263,325
6.1402435,325
5.3271944,325
6.0754602,325
5.8729317,325
5.0934216,325
6.8133653,325
5.5815824,325
6.1213691,325
4.8846674,325
5.7073689,325
5.4625913,325
6.4945869,325
5.1221491,325
5.4170796,325
5.6369056,325
5.5990565,325
5.2461535,325
5.9632432,325
6.7211419,325
6.2417678,325
6.0941105,325
4.7756003,325
4.529715,325
7.9233373,325
5.7747273,325
6.2042552,325
5.5300836,325
5.5330542,325
6.4277784,325
5.2056319,325
6.5670873,325
6.5299487,325
5.724116,325
5.7761295,325
5.6124247,325
5.5467775,325
6.1347014,325
5.8617558,325
5.7457264,325
5.4995805,325
5.8630139,325
6.335866,325
5.2539588,325
5.8117988,325
5.8137153,325
5.1840855,325
5.9250594,325
5.8041391,325
6.7842097,325
5.8587723,325
5.0791669,325
5.8566277,325
5.3226365,325
4.8639474,325
5.7770176,325
5.8563466,325
5.1290935,325
