totalCharge,run
4.39233337e+05,325
5.18773311e+05,325
6.0248251e+05,325
2.06721103e+05,325
5.01224488e+05,325
4.95510996e+05,325
4.37537647e+05,325
5.04010868e+05,325
5.48678576e+05,325
5.05055304e+05,325
4.14519642e+05,325
5.24992101e+05,325
5.70490908e+05,325
4.79809504e+05,325
2.1334168e+05,325
5.68782103e+05,325
4.57923514e+05,325
4.93474495e+05,325
6.22410559e+05,325
6.49442227e+05,325
4.2958238e+05,325
4.37642896e+05,325
5.03167623e+05,325
5.89431929e+05,325
2.94147453e+05,325
3.84143951e+05,325
4.58733815e+05,325
5.58116837e+05,325
4.98702945e+05,325
5.78078624e+05,325
4.68637525e+05,325
4.82396235e+05,325
4.66960426e+05,325
4.44191033e+05,325
4.83745808e+05,325
4.7940052e+05,325
8.59079241e+05,325
5.08776567e+05,325
4.92628376e+05,325
1.87456674e+05,325
5.04735166e+05,325
4.52447126e+05,325
4.91362336e+05,325
4.66936123e+05,325
5.57961462e+05,325
1.55341974e+05,325
4.78061009e+05,325
4.78756196e+05,325
5.00656812e+05,325
5.34499161e+05,325
5.28944552e+05,325
2.01801616e+05,325
5.42524399e+05,325
5.17409153e+05,325
5.51539274e+05,325
6.08882051e+05,325
4.94822194e+05,325
5.65868759e+05,325
5.34874418e+05,325
4.55908966e+05,325
5.04178064e+05,325
5.509566e+05,325
4.24325241e+05,325
5.29233105e+05,325
4.23787796e+05,325
4.7977078e+05,325
5.03270273e+05,325
4.66243474e+05,325
5.24639791e+05,325
4.79285875e+05,325
5.17258064e+05,325
5.19469244e+05,325
3.98723933e+05,325
4.83358211e+05,325
5.32744018e+05,325
4.9606519e+05,325
4.43329182e+05,325
5.89666334e+05,325
5.10430746e+05,325
2.09974776e+05,325
5.31946362e+05,325
5.36226201e+05,325
4.90020773e+05,325
5.64048812e+05,325
4.84128894e+05,325
4.86856074e+05,325
4.90550232e+05,325
4.35650801e+05,325
4.8618519e+05,325
5.09905283e+05,325
4.97332542e+05,325
5.49604974e+05,325
5.48923334e+05,325
3.8924142e+05,325
1.89650301e+05,325
5.51447004e+05,325
5.39960566e+05,325
2.23855984e+05,325
5.04222674e+05,325
4.26228925e+05,325
1.49011055e+05,325
4.52881376e+05,325
5.01206086e+05,325
4.97922877e+05,325
5.02953437e+05,325
5.06126002e+05,325
5.00910453e+05,325
4.56949206e+05,325
5.53438297e+05,325
5.08486973e+05,325
5.86221594e+05,325
5.18809142e+05,325
1.7860165e+05,325
4.6246785e+05,325
5.07460315e+05,325
5.21855487e+05,325
4.45623273e+05,325
5.45999025e+05,325
4.47510366e+05,325
5.92354831e+05,325
5.01203577e+05,325
5.01293559e+05,325
5.39699947e+05,325
4.94536602e+05,325
4.07656158e+05,325
5.20368062e+05,325
6.6121851e+05,325
5.66229279e+05,325
5.50591018e+05,325
5.67752255e+05,325
4.55133787e+05,325
4.09051197e+05,325
1.7206916e+05,325
4.30845143e+05,325
4.81036955e+05,325
4.70476361e+05,325
4.636838e+05,325
2.10230841e+05,325
4.81266354e+05,325
5.84731045e+05,325
5.19751831e+05,325
5.3177406e+05,325
1.50723893e+05,325
5.33542315e+05,325
5.11520312e+05,325
4.89140539e+05,325
4.35696737e+05,325
4.90742261e+05,325
5.96874387e+05,325
4.60118255e+05,325
4.06386626e+05,325
4.17528328e+05,325
3.97348591e+05,325
4.70145803e+05,325
4.68143701e+05,325
4.64717311e+05,325
4.51017424e+05,325
5.32165382e+05,325
4.88902427e+05,325
5.42965776e+05,325
4.86861034e+05,325
6.21700926e+05,325
4.69179192e+05,325
4.06418358e+05,325
4.18397225e+05,325
5.20449894e+05,325
9.60476748e+05,325
4.62668294e+05,325
5.2601968e+05,325
4.40932249e+05,325
5.869375e+05,325
4.1335193e+05,325
4.81202342e+05,325
5.30692578e+05,325
1.96173813e+05,325
5.25351505e+05,325
4.88742767e+05,325
4.09167363e+05,325
5.40478039e+05,325
5.83046304e+05,325
5.03714505e+05,325
5.70784352e+05,325
4.28012334e+05,325
5.87042739e+05,325
4.89970145e+05,325
4.44367145e+05,325
4.88636762e+05,325
4.48516207e+05,325
5.23237022e+05,325
4.71144394e+05,325
5.17082549e+05,325
5.04062743e+05,325
5.04464515e+05,325
5.63806326e+05,325
5.79162334e+05,325
5.1705658e+05,325
5.3489913e+05,325
5.32571072e+05,325
5.34305029e+05,325
1.63426175e+05,325
2.04179923e+05,325
5.13979338e+05,325
2.04781297e+05,325
4.69682334e+05,325
3.91107025e+05,325
5.54228899e+05,325
3.79818637e+05,325
4.31066948e+05,325
2.56134483e+05,325
5.04510285e+05,325
5.54631629e+05,325
5.31620135e+05,325
4.15830429e+05,325
4.89588191e+05,325
4.79935833e+05,325
4.68985242e+05,325
4.5772905e+05,325
1.88245821e+05,325
4.91864736e+05,325
4.82719474e+05,325
4.95042387e+05,325
4.89312478e+05,325
4.95692575e+05,325
5.08321248e+05,325
4.70882499e+05,325
4.4651171e+05,325
4.45981861e+05,325
3.85364023e+05,325
5.42742895e+05,325
4.64121231e+05,325
5.25315409e+05,325
2.41582038e+05,325
3.96153465e+05,325
4.89036957e+05,325
5.44728999e+05,325
5.05459059e+05,325
1.68912354e+05,325
4.65920839e+05,325
4.98705618e+05,325
4.52899341e+05,325
1.08380144e+05,325
4.66202167e+05,325
4.70723027e+05,325
4.25662911e+05,325
4.99682939e+05,325
4.93252121e+05,325
5.76127563e+05,325
4.45986429e+05,325
5.02601747e+05,325
4.79907648e+05,325
1.38693675e+05,325
2.01898222e+05,325
5.20585534e+05,325
4.73826248e+05,325
4.86663752e+05,325
5.97105303e+05,325
5.26340455e+05,325
5.36416686e+05,325
4.67303158e+05,325
5.12926322e+05,325
4.37000073e+05,325
5.03779761e+05,325
5.15063758e+05,325
5.4682144e+05,325
5.39161636e+05,325
6.14948784e+05,325
4.94362406e+05,325
6.06155207e+05,325
5.63366706e+05,325
5.25495567e+05,325
3.73679466e+05,325
4.75329811e+05,325
5.30473532e+05,325
4.62155571e+05,325
5.40462026e+05,325
5.43735092e+05,325
4.6799242e+05,325
4.80895034e+05,325
4.88757984e+05,325
4.78513659e+05,325
5.164841e+05,325
4.14099843e+05,325
4.17387284e+05,325
4.50757999e+05,325
1.51320043e+05,325
4.39696719e+05,325
3.72592892e+05,325
4.69767364e+05,325
4.95003593e+05,325
5.44122365e+05,325
5.05218598e+05,325
4.67625247e+05,325
5.06064353e+05,325
2.06305849e+05,325
4.35540177e+05,325
5.23934073e+05,325
5.52156879e+05,325
5.27851459e+05,325
5.63199079e+05,325
4.52151561e+05,325
5.66089636e+05,325
5.12596096e+05,325
5.72106859e+05,325
4.47175999e+05,325
6.14422039e+05,325
4.64424139e+05,325
4.66418242e+05,325
5.30356246e+05,325
1.35600644e+05,325
5.95587752e+05,325
4.71491728e+05,325
4.87596777e+05,325
3.40346064e+05,325
1.98759204e+05,325
4.74604621e+05,325
5.4013745e+05,325
5.47331756e+05,325
4.56739934e+05,325
4.55452159e+05,325
1.61230323e+05,325
4.70174668e+05,325
4.51707668e+05,325
4.24480878e+05,325
3.90271287e+05,325
2.51892351e+05,325
4.76464268e+05,325
2.96637962e+05,325
5.02957086e+05,325
4.59737164e+05,325
5.16495091e+05,325
5.37243585e+05,325
4.7985685e+05,325
4.47161909e+05,325
4.55095379e+05,325
5.47067389e+05,325
1.73020254e+05,325
1.43724173e+05,325
5.22479457e+05,325
2.34692869e+05,325
5.08855589e+05,325
2.01793227e+05,325
1.30516504e+05,325
4.43678949e+05,325
4.79654468e+05,325
5.54347007e+05,325
4.85779874e+05,325
5.28545001e+05,325
5.71716769e+05,325
4.73927518e+05,325
5.1016523e+05,325
5.22141976e+05,325
3.9279473e+05,325
4.94257163e+05,325
5.09137075e+05,325
2.38160578e+05,325
4.87078743e+05,325
4.47826135e+05,325
4.26192178e+05,325
5.30897975e+05,325
4.81096426e+05,325
4.68849582e+05,325
4.89079669e+05,325
5.29255188e+05,325
4.69144511e+05,325
