width,run
4.3309882,325
4.8394677,325
5.3874005,325
4.6430049,325
3.3952074,325
4.6944845,325
5.6480732,325
4.5852095,325
3.180762,325
3.5259682,325
5.7388252,325
3.5045669,325
5.2506264,325
4.6286762,325
3.6198176,325
1.4216559,325
2.0816649,325
3.330051,325
1.8477018,325
1.3240598,325
4.6061994,325
3.8685757,325
4.6570527,325
5.5907134,325
4.0764557,325
5.0346627,325
5.3614322,325
4.3153198,325
2.0664835,325
3.7626699,325
4.1527991,325
5.4657585,325
6.0798965,325
5.260705,325
5.7481242,325
4.8709662,325
5.5445433,325
4.55061,325
4.2975563,325
3.6871648,325
4.789155,325
5.7403146,325
3.0446955,325
1.3485118,325
3.0717408,325
2.6907596,325
4.8259146,325
3.3894294,325
3.7779109,325
3.7130123,325
5.7620064,325
1.975252,325
5.3644003,325
4.8237437,325
4.0228246,325
4.0438478,325
4.2654582,325
5.2595382,325
4.1819265,325
4.2921264,325
4.9182529,325
4.7749684,325
4.1913185,325
4.0670912,325
5.2520671,325
5.0217348,325
5.6679357,325
1.8345938,325
5.3939977,325
4.0719883,325
3.9449488,325
5.0030843,325
5.2298604,325
5.0013762,325
0.49701671,325
5.9515124,325
4.3143354,325
5.1205558,325
2.8764033,325
4.3522958,325
4.6469948,325
3.318062,325
3.2189846,325
5.0473999,325
4.2990859,325
4.3250737,325
5.3286196,325
5.014878,325
4.3599065,325
6.6802347,325
5.1867189,325
4.2911799,325
3.0085725,325
4.4184315,325
3.9004165,325
4.047556,325
3.8073864,325
2.6791599,325
4.2442152,325
4.5316694,325
1.0833958,325
5.4705479,325
4.3967984,325
5.7803896,325
5.6419002,325
4.6151336,325
4.6227364,325
4.9450062,325
5.9637229,325
4.0752208,325
4.9353224,325
5.1624998,325
4.108732,325
4.2197435,325
3.5810083,325
4.2230734,325
3.7968128,325
5.0367591,325
5.0084598,325
5.2355557,325
4.8213702,325
4.7002759,325
4.9507975,325
4.1550107,325
4.3327413,325
4.466323,325
3.4821992,325
0.53176384,325
2.4532348,325
4.2727201,325
4.3265168,325
3.6964873,325
4.6174334,325
5.0841136,325
6.2567217,325
5.0729366,325
4.4465813,325
4.6358304,325
4.6833998,325
4.5069617,325
5.0427366,325
4.9902514,325
4.050038,325
4.2295775,325
4.7756018,325
3.4778429,325
5.6223369,325
3.5677111,325
1.0865558,325
4.261474,325
4.6791643,325
5.1835798,325
4.0163995,325
2.8474871,325
3.1990148,325
4.4390409,325
3.7383857,325
7.635847,325
5.923142,325
5.6397261,325
4.5245498,325
5.9228658,325
4.2677892,325
5.3520245,325
4.0848218,325
4.5054558,325
4.9306686,325
5.8799725,325
2.9862003,325
4.8575317,325
1.1000411,325
4.7818901,325
4.7199189,325
4.0990682,325
4.2293256,325
3.5504411,325
3.9687855,325
4.5785904,325
4.4988986,325
4.3413789,325
3.8507682,325
4.8358775,325
2.5361471,325
4.8210283,325
4.5737788,325
4.3228384,325
4.7720601,325
4.1914548,325
4.0092792,325
5.2740994,325
5.4243828,325
4.3900772,325
3.8772159,325
5.0998613,325
4.7414521,325
4.393896,325
1.6739065,325
5.3487423,325
2.6503523,325
3.9610614,325
3.7766893,325
5.1480061,325
4.7922689,325
5.0450775,325
5.1432994,325
3.8585803,325
4.7621057,325
5.9092785,325
3.8241195,325
4.2951266,325
5.3761029,325
4.3563385,325
4.3595323,325
5.8878433,325
5.9454286,325
3.2516188,325
4.1400457,325
3.3794745,325
5.6423374,325
4.0986735,325
5.366249,325
3.0241061,325
4.0189238,325
4.3404708,325
2.7366195,325
4.7319512,325
2.2815322,325
5.2498519,325
2.3037016,325
4.547109,325
6.2015441,325
4.1581573,325
3.7841963,325
2.5180947,325
4.5001168,325
5.1588346,325
4.6326852,325
4.3244762,325
4.1763404,325
4.6943187,325
1.2016031,325
5.3395147,325
6.7448604,325
5.1200023,325
4.9700555,325
4.1479942,325
5.4030185,325
3.718487,325
4.4110556,325
3.626925,325
3.0221864,325
2.3210491,325
5.1479063,325
4.4134554,325
2.7680517,325
1.4471802,325
3.1354135,325
5.0423333,325
5.3061722,325
5.2984155,325
4.0544677,325
6.8328535,325
4.812089,325
5.324606,325
3.7241998,325
4.2496062,325
4.4830026,325
5.2423667,325
5.6658066,325
5.5901139,325
4.8237093,325
4.9022925,325
3.9760364,325
4.7845539,325
1.7764886,325
5.577229,325
6.1834934,325
3.6502576,325
4.7656695,325
4.3852612,325
4.1318634,325
4.8313144,325
4.877573,325
4.4055853,325
2.6325242,325
2.8600772,325
4.9476705,325
4.2414981,325
2.5008712,325
4.9342648,325
3.4008186,325
6.2608397,325
3.9582295,325
3.7310744,325
4.5843275,325
3.6770042,325
6.0697887,325
5.3896282,325
4.6030803,325
3.4861145,325
4.6975304,325
4.5468601,325
2.1067001,325
4.8184053,325
4.6656343,325
3.5787515,325
3.5056872,325
3.2522453,325
3.4054504,325
4.1530269,325
1.2596191,325
4.7097512,325
5.2545429,325
3.4402835,325
4.2306808,325
3.6257032,325
3.5521582,325
4.4177886,325
3.7531035,325
4.8920686,325
4.5243548,325
4.0851481,325
3.7669312,325
4.1113513,325
4.5658994,325
4.0307051,325
5.5018719,325
2.2795157,325
4.8048365,325
5.013104,325
2.980939,325
3.2790228,325
4.930854,325
2.2918538,325
3.9157465,325
4.2258767,325
3.8506287,325
5.6890479,325
4.2470456,325
3.8936514,325
3.9691887,325
3.2128856,325
4.7452027,325
3.3531794,325
4.6757469,325
3.3963641,325
2.8767666,325
2.1517241,325
4.3511821,325
3.3502787,325
2.9738834,325
4.5707247,325
2.5772904,325
5.4831101,325
3.433136,325
5.18963,325
4.065191,325
7.1705015,325
5.0383828,325
5.2605463,325
4.9968996,325
3.5938403,325
4.6099512,325
4.5634023,325
6.4935513,325
5.0030493,325
4.4566334,325
5.1855428,325
3.1691223,325
5.8466001,325
5.9401401,325
4.1011759,325
4.044657,325
4.7734114,325
5.5745079,325
4.7985656,325
3.5708936,325
2.3078891,325
4.4928845,325
4.5417221,325
3.359443,325
4.6294306,325
3.5361826,325
5.3675986,325
4.2011786,325
0.86767109,325
2.152336,325
3.7102088,325
3.4272218,325
4.8468663,325
4.766431,325
3.7889639,325
3.9194221,325
4.7247611,325
4.7658762,325
3.0430317,325
6.0487125,325
4.3491598,325
4.3344701,325
5.2705044,325
2.6143678,325
3.0041797,325
4.2800705,325
3.9433077,325
4.3465487,325
3.8070851,325
2.7641564,325
3.252642,325
4.2504114,325
4.007294,325
3.9025897,325
4.4959474,325
2.3703996,325
4.6446993,325
4.109185,325
5.0648034,325
5.6376295,325
2.9518384,325
4.4016212,325
5.3754422,325
5.7242031,325
4.6566575,325
3.6337453,325
3.6953189,325
5.6687421,325
3.0476146,325
4.8147021,325
4.6143524,325
5.9922306,325
3.9309292,325
6.1796862,325
4.4880256,325
5.0996942,325
3.8443494,325
4.8024946,325
2.1245037,325
4.135444,325
4.0676931,325
5.3359785,325
5.5759918,325
4.1044441,325
1.8903518,325
4.5137716,325
4.7087703,325
1.2614472,325
5.1899435,325
3.9243649,325
1.8242027,325
5.3786332,325
4.4406729,325
3.5897762,325
5.8405727,325
3.5018822,325
4.2250045,325
4.2316482,325
1.6795056,325
2.4106036,325
4.8986002,325
4.5852841,325
5.2269287,325
4.9432397,325
4.3428184,325
5.4293596,325
4.4492669,325
3.1688882,325
3.8897125,325
5.3688681,325
4.0065972,325
5.178357,325
4.4927518,325
6.0278141,325
4.4282929,325
4.491715,325
3.4122077,325
2.7021044,325
2.5394848,325
3.5209506,325
4.1406405,325
3.875185,325
1.8598713,325
5.1481199,325
5.8373317,325
5.2553551,325
4.209207,325
4.9400655,325
5.7033207,325
4.3157279,325
5.4073168,325
3.7587698,325
2.5852154,325
3.5744314,325
4.8817971,325
2.8233606,325
3.8847867,325
3.5675907,325
2.6311837,325
5.0429567,325
4.591698,325
5.6282168,325
4.4675717,325
4.3575118,325
4.6011212,325
4.0259041,325
6.2306116,325
4.4518514,325
5.7545436,325
2.7690457,325
4.8042764,325
5.3407353,325
4.58341,325
3.8916832,325
3.1297758,325
5.545467,325
3.771075,325
5.6825986,325
4.7043894,325
3.2336216,325
6.6893443,325
3.6114797,325
3.5771816,325
5.7949609,325
3.9012755,325
4.7904713,325
6.3701812,325
5.6428311,325
5.0204176,325
3.7456268,325
3.745283,325
4.1549082,325
4.5675202,325
4.7686801,325
3.9947703,325
3.9768756,325
4.4195668,325
5.5246735,325
1.5915809,325
4.5725949,325
4.809306,325
2.9907796,325
2.7923856,325
4.1947939,325
3.8378907,325
4.3250858,325
2.0054544,325
4.693775,325
3.5789672,325
3.4222788,325
3.1114599,325
3.9866037,325
3.6452789,325
7.1925611,325
4.4405968,325
4.8728078,325
2.0460912,325
5.9060801,325
5.6887959,325
4.1776119,325
4.8464623,325
4.8733346,325
5.1922864,325
2.9119102,325
5.6812599,325
5.4483595,325
4.9014337,325
4.3913499,325
5.3944325,325
5.6308544,325
2.9657337,325
4.490432,325
2.1615655,325
4.0417698,325
3.9992296,325
2.1398606,325
2.6959049,325
5.0668155,325
5.5791872,325
3.0635728,325
5.0597071,325
4.8593324,325
3.9754623,325
4.4368649,325
5.5671619,325
3.2918146,325
3.5603009,325
4.9737127,325
4.9182011,325
4.9486972,325
2.4129846,325
3.9628022,325
2.5923243,325
4.6259881,325
5.2687348,325
5.5040274,325
4.4528604,325
4.6167648,325
2.6204699,325
3.7034474,325
5.2002809,325
3.4679569,325
4.3405159,325
6.5765557,325
4.130768,325
2.5089214,325
4.3512379,325
