Bins,Hist,Dset,Energy,Variable,yMin,yMax,runType
-0.1,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
-0.00033444709,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.099331107,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.19899666,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.29866222,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.39832777,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.49799332,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.59765888,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.69732443,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.79698999,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.89665554,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
0.9963211,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.0959867,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.1956522,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.2953178,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.3949833,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.4946489,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.5943144,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.69398,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.7936455,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.8933111,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
1.9929766,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.0926422,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.1923077,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.2919733,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.3916389,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.4913044,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.59097,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.6906355,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.7903011,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.8899666,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
2.9896322,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.0892977,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.1889633,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.2886288,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.3882944,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.48796,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.5876255,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.6872911,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.7869566,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.8866222,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
3.9862877,0.00042992261,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.0859533,0.0010318143,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.1856188,0.0024075666,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.2852844,0.0040412726,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.3849499,0.007394669,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.4846155,0.012037833,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.5842811,0.016509028,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.6839466,0.02244196,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.7836122,0.026913156,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.8832777,0.035425623,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
4.9829433,0.044969905,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.0826088,0.050816853,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.1822744,0.056491831,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.2819399,0.057867584,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.3816055,0.060017197,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.481271,0.064488392,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.5809366,0.060619089,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.6806022,0.058641445,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.7802677,0.057953568,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.8799333,0.051160791,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
5.9795988,0.046947549,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.0792644,0.045141874,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.1789299,0.036801376,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.2785955,0.033877902,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.378261,0.027773001,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.4779266,0.023817713,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.5775921,0.019862425,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.6772577,0.015219261,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.7769233,0.01255374,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.8765888,0.010232158,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
6.9762544,0.0072226999,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.0759199,0.0060189166,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.1755855,0.0061049011,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.275251,0.0040412726,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.3749166,0.0024075666,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.4745821,0.0021496131,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.5742477,0.0015477214,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.6739132,0.0016337059,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.7735788,0.0010318143,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.8732444,0.00085984523,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
7.9729099,0.00068787618,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.0725755,0.00025795357,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.172241,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.2719066,0.00051590714,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.3715721,0.00017196905,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.4712377,0.00017196905,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.5709032,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.6705688,0.00017196905,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.7702343,0.00025795357,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.8698999,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
8.9695654,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.069231,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.1688966,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.2685621,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.3682277,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.4678932,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.5675588,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.6672243,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.7668899,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.8665554,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
9.966221,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.065887,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.165552,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.265218,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.364883,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.464549,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.564214,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.66388,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.763545,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.863211,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
10.962877,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.062542,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.162208,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.261873,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.361539,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.461204,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.56087,8.5984523e-05,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.660535,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.760201,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.859867,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
11.959532,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.059198,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.158863,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.258529,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.358194,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.45786,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.557525,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.657191,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.756857,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.856522,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
12.956188,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.055853,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.155519,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.255184,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.35485,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.454515,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.554181,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.653847,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.753512,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.853178,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
13.952843,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.052509,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.152174,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.25184,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.351505,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.451171,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.550836,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.650502,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.750168,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.849833,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
14.949499,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.049164,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.14883,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.248495,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.348161,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.447826,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.547492,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.647158,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.746823,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.846489,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
15.946154,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.04582,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.145485,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.245151,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.344816,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.444482,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.544148,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.643813,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.743479,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.843144,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
16.94281,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
17.042475,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
17.142141,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
17.241806,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
17.341472,0,Ag-Ag-6kV,2.98,lengthDivRmsTrans,2.1,3.2,CDL
