Bins,Hist,Dset,Energy,Variable,yMin,yMax,runType
-0.0049999999,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.0050000003,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.015,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.025000001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.035000001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.045000001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.055000001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.065000001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.075000001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.085000001,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.095000002,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.105,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.115,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.125,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.135,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.145,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.155,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.165,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.175,0,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.185,0.00017196905,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.195,0.00042992261,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.205,0.0010318143,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.215,0.0017196905,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.225,0.0029234738,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.235,0.0051590714,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.245,0.01083405,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.255,0.014359415,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.265,0.020980224,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.275,0.031814273,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.285,0.042476354,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.295,0.058469475,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.305,0.068271711,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.315,0.076526225,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.325,0.076010318,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
0.335,0.086156492,Ag-Ag-6kV,2.98,fractionInTransverseRms,2.1,3.2,CDL
