Type,Energy,Resolution,ResErr
Pixels,8.04,0.055953961,0.0016650049
Pixels,8.04,0.068304749,0.001830064
Pixels,8.04,0.075317743,0.0012520246
Pixels,5.89,0.12006072,0.0035322191
Pixels,5.89,0.070501476,0.0011398882
Pixels,5.89,0.071886581,0.0012533807
Pixels,4.51,0.077395266,0.0037099994
Pixels,4.51,0.076563948,0.0019621233
Pixels,4.51,0.07982651,0.0031637666
Pixels,2.98,0.094231877,0.0020766609
Pixels,2.98,0.1022247,0.0010770142
Pixels,2.98,0.10622951,0.0015327483
Pixels,1.49,0.10626626,0.0019708593
Pixels,1.49,0.12673435,0.0017876455
Pixels,0.93,0.17788538,0.0141409
Pixels,0.93,0.26392598,0.013018368
Pixels,0.93,0.28106448,0.010134399
Pixels,0.525,0.24878093,0.0181061
Pixels,0.525,0.25768862,0.0063713324
Pixels,0.277,0.23386184,0.00524608
Pixels,0.277,0.29222107,0.0030310177
Charge,8.04,0.083381909,0.0018775523
Charge,8.04,0.11125617,0.0020983066
Charge,8.04,0.10716058,0.0015687061
Charge,5.89,0.14887853,0.0040297816
Charge,5.89,0.11439452,0.0013960219
Charge,5.89,0.12532237,0.0016381783
Charge,4.51,0.10261498,0.018548351
Charge,4.51,0.10671226,0.0056403674
Charge,4.51,0.11712094,0.012400934
Charge,2.98,0.12905147,0.0025635641
Charge,2.98,0.13173245,0.0013056532
Charge,2.98,0.13899016,0.0019205276
Charge,1.49,0.13614581,0.0025807929
Charge,1.49,0.18818768,0.0018004422
Charge,0.93,0.19278397,0.012584073
Charge,0.93,0.31066426,0.015724921
Charge,0.93,0.31140457,0.016863998
Charge,0.525,0.23240995,0.026088771
Charge,0.525,0.26202121,0.0088652758
Charge,0.277,0.28233764,0.0069777791
Charge,0.277,0.33762458,0.0039566298
