Gain,Target,runNumber
3080.0763,Cu-Ni-15kV,319
3101.2735,Cu-Ni-15kV,319
3019.8412,Cu-Ni-15kV,320
2588.5934,Cu-Ni-15kV,345
2597.8635,Cu-Ni-15kV,345
2586.8803,Cu-Ni-15kV,345
2987.5513,Mn-Cr-12kV,315
2964.4594,Mn-Cr-12kV,315
2863.6146,Mn-Cr-12kV,323
2849.7744,Mn-Cr-12kV,323
2552.479,Mn-Cr-12kV,347
2555.8194,Mn-Cr-12kV,347
2520.8982,Mn-Cr-12kV,347
2748.6132,Ti-Ti-9kV,325
2712.0055,Ti-Ti-9kV,325
2695.5719,Ti-Ti-9kV,326
2695.6577,Ti-Ti-9kV,326
2486.5045,Ti-Ti-9kV,349
2467.7302,Ti-Ti-9kV,349
2472.647,Ti-Ti-9kV,349
2669.7468,Ag-Ag-6kV,328
2609.4562,Ag-Ag-6kV,328
2660.2214,Ag-Ag-6kV,329
2651.6134,Ag-Ag-6kV,329
2427.4531,Ag-Ag-6kV,351
2419.2744,Ag-Ag-6kV,351
2412.2433,Ag-Ag-6kV,351
2613.6033,Al-Al-4kV,332
2616.825,Al-Al-4kV,332
2489.7373,Al-Al-4kV,333
2483.7795,Al-Al-4kV,333
2600.6426,Cu-EPIC-2kV,335
2572.09,Cu-EPIC-2kV,335
2467.4651,Cu-EPIC-2kV,336
2500.9332,Cu-EPIC-2kV,337
2354.2772,Cu-EPIC-0.9kV,339
2345.8951,Cu-EPIC-0.9kV,339
2397.1774,Cu-EPIC-0.9kV,340
2398.287,Cu-EPIC-0.9kV,340
2398.4794,C-EPIC-0.6kV,342
2375.3237,C-EPIC-0.6kV,342
2408.5127,C-EPIC-0.6kV,343
2402.6263,C-EPIC-0.6kV,343
