Type,ys,xs
signalEff,0,0
signalEff,0,1
signalEff,0,2
signalEff,0,3
signalEff,0,4
signalEff,0,5
signalEff,0,6
signalEff,0,7
signalEff,0,8
signalEff,0,9
signalEff,0,10
signalEff,0,11
signalEff,0,12
signalEff,0,13
signalEff,0,14
signalEff,0,15
signalEff,0,16
signalEff,0,17
signalEff,0,18
signalEff,0,19
signalEff,0,20
signalEff,0,21
signalEff,6.23107312e-06,22
signalEff,6.23107312e-06,23
signalEff,6.23107312e-06,24
signalEff,6.23107312e-06,25
signalEff,6.23107312e-06,26
signalEff,6.23107312e-06,27
signalEff,6.23107312e-06,28
signalEff,6.23107312e-06,29
signalEff,6.23107312e-06,30
signalEff,6.23107312e-06,31
signalEff,6.23107312e-06,32
signalEff,6.23107312e-06,33
signalEff,6.23107312e-06,34
signalEff,6.23107312e-06,35
signalEff,6.23107312e-06,36
signalEff,6.23107312e-06,37
signalEff,1.2462146e-05,38
signalEff,4.3617512e-05,39
signalEff,8.7235024e-05,40
signalEff,0.00031155366,41
signalEff,0.00090973667,42
signalEff,0.0026668993,43
signalEff,0.0071034234,44
signalEff,0.016474957,45
signalEff,0.031666314,46
signalEff,0.051624441,47
signalEff,0.076000399,48
signalEff,0.1053986,49
signalEff,0.13819274,50
signalEff,0.17541717,51
signalEff,0.21561382,52
signalEff,0.26098227,53
signalEff,0.31166582,54
signalEff,0.36629986,55
signalEff,0.42593123,56
signalEff,0.49065962,57
signalEff,0.55787421,58
signalEff,0.62411675,59
signalEff,0.68857097,60
signalEff,0.74958563,61
signalEff,0.80318532,62
signalEff,0.84990591,63
signalEff,0.88804008,64
signalEff,0.91754421,65
signalEff,0.93987638,66
signalEff,0.95643857,67
signalEff,0.9679162,68
signalEff,0.97601037,69
signalEff,0.98129432,70
signalEff,0.98477749,71
signalEff,0.987407,72
signalEff,0.98908939,73
signalEff,0.99034807,74
signalEff,0.99131388,75
signalEff,0.99197438,76
signalEff,0.99247909,77
signalEff,0.99289658,78
signalEff,0.99321436,79
signalEff,0.99350722,80
signalEff,0.99371285,81
signalEff,0.99391847,82
signalEff,0.99408048,83
signalEff,0.99421756,84
signalEff,0.99432972,85
signalEff,0.99449796,86
signalEff,0.99469113,87
signalEff,0.99483444,88
signalEff,0.99497152,89
signalEff,0.99506499,90
signalEff,0.99517092,91
signalEff,0.99527062,92
signalEff,0.99533916,93
signalEff,0.99544509,94
signalEff,0.99555101,95
signalEff,0.99560709,96
signalEff,0.99573171,97
signalEff,0.99581895,98
signalEff,0.99588749,99
signalEff,0.99596226,100
signalEff,0.99603081,101
signalEff,0.99608689,102
signalEff,0.99615543,103
signalEff,0.99622397,104
signalEff,0.99624889,105
signalEff,0.9963112,106
signalEff,0.99637975,107
signalEff,0.99647321,108
signalEff,0.99653552,109
signalEff,0.99657914,110
signalEff,0.99662276,111
signalEff,0.99666638,112
signalEff,0.99674115,113
signalEff,0.99676607,114
signalEff,0.99678477,115
signalEff,0.99682838,116
signalEff,0.99685331,117
signalEff,0.99691562,118
signalEff,0.99695301,119
signalEff,0.99699039,120
signalEff,0.99704647,121
signalEff,0.99708386,122
signalEff,0.99711501,123
signalEff,0.99716486,124
signalEff,0.99719602,125
signalEff,0.99722717,126
signalEff,0.99725833,127
signalEff,0.99730195,128
signalEff,0.99734556,129
signalEff,0.99735802,130
signalEff,0.99737049,131
signalEff,0.9974141,132
signalEff,0.99745149,133
signalEff,0.99748265,134
signalEff,0.9975325,135
signalEff,0.99756365,136
signalEff,0.99760104,137
signalEff,0.99763842,138
signalEff,0.99766335,139
signalEff,0.99768204,140
signalEff,0.99773189,141
signalEff,0.99776928,142
signalEff,0.99778797,143
signalEff,0.99780666,144
signalEff,0.99783159,145
signalEff,0.99785028,146
signalEff,0.99785651,147
signalEff,0.99788144,148
signalEff,0.99791259,149
signalEff,0.99793128,150
signalEff,0.99794998,151
signalEff,0.99798113,152
signalEff,0.99799359,153
signalEff,0.99801852,154
signalEff,0.99802475,155
signalEff,0.99805591,156
signalEff,0.99806837,157
signalEff,0.99809952,158
signalEff,0.99811198,159
signalEff,0.99813691,160
signalEff,0.99816183,161
signalEff,0.99816806,162
signalEff,0.99818053,163
signalEff,0.99818676,164
signalEff,0.99820545,165
signalEff,0.99823038,166
signalEff,0.99824284,167
signalEff,0.99824907,168
signalEff,0.99826776,169
signalEff,0.99828022,170
signalEff,0.99828022,171
signalEff,0.99829269,172
signalEff,0.99830515,173
signalEff,0.99831761,174
signalEff,0.9983363,175
signalEff,0.99834253,176
signalEff,0.99836746,177
signalEff,0.99839861,178
signalEff,0.99844223,179
signalEff,0.99844846,180
signalEff,0.99845469,181
signalEff,0.99846716,182
signalEff,0.99847962,183
signalEff,0.998517,184
signalEff,0.998517,185
signalEff,0.9985357,186
signalEff,0.99855439,187
signalEff,0.99856062,188
signalEff,0.99857308,189
signalEff,0.99857308,190
signalEff,0.99857932,191
signalEff,0.99859801,192
signalEff,0.9986167,193
signalEff,0.99862916,194
signalEff,0.99863539,195
signalEff,0.99864786,196
signalEff,0.99866032,197
signalEff,0.99866655,198
signalEff,0.99867901,199
backSup,1,0
backSup,0.99964103,1
backSup,0.99815793,2
backSup,0.99699128,3
backSup,0.99669372,4
backSup,0.99629696,5
backSup,0.99574906,6
backSup,0.9952295,7
backSup,0.99462493,8
backSup,0.99398256,9
backSup,0.99323156,10
backSup,0.9923058,11
backSup,0.99102108,12
backSup,0.98990638,13
backSup,0.98892867,14
backSup,0.9880218,15
backSup,0.98705353,16
backSup,0.98621279,17
backSup,0.98543818,18
backSup,0.98455493,19
backSup,0.98372363,20
backSup,0.98294902,21
backSup,0.98216968,22
backSup,0.98147536,23
backSup,0.98089912,24
backSup,0.98037956,25
backSup,0.97977026,26
backSup,0.97926487,27
backSup,0.97885867,28
backSup,0.97829188,29
backSup,0.97778649,30
backSup,0.97731416,31
backSup,0.97682294,32
backSup,0.97635534,33
backSup,0.97591135,34
backSup,0.97529261,35
backSup,0.9748439,36
backSup,0.97431489,37
backSup,0.97367725,38
backSup,0.97315297,39
backSup,0.97253894,40
backSup,0.9717785,41
backSup,0.97073938,42
backSup,0.96922321,43
backSup,0.96726306,44
backSup,0.96450939,45
backSup,0.9608961,46
backSup,0.95577608,47
backSup,0.94941857,48
backSup,0.94164407,49
backSup,0.93368065,50
backSup,0.92492844,51
backSup,0.91511822,52
backSup,0.90434918,53
backSup,0.89320228,54
backSup,0.88142718,55
backSup,0.86912308,56
backSup,0.8563561,57
backSup,0.84347103,58
backSup,0.83052457,59
backSup,0.81721441,60
backSup,0.80459385,61
backSup,0.79174657,62
backSup,0.77925826,63
backSup,0.7669022,64
backSup,0.7549429,65
backSup,0.74368736,66
backSup,0.73244599,67
backSup,0.72109599,68
backSup,0.71047809,69
backSup,0.70044115,70
backSup,0.69051285,71
backSup,0.68097658,72
backSup,0.67164814,73
backSup,0.66316515,74
backSup,0.65498918,75
backSup,0.64702576,76
backSup,0.63972832,77
backSup,0.63258202,78
backSup,0.62552074,79
backSup,0.61896013,80
backSup,0.61232866,81
backSup,0.60593336,82
backSup,0.60001039,83
backSup,0.59419133,84
backSup,0.58828725,85
backSup,0.58279409,86
backSup,0.57725843,87
backSup,0.57191642,88
backSup,0.566513,89
backSup,0.56119933,90
backSup,0.55558809,91
backSup,0.55026498,92
backSup,0.54518747,93
backSup,0.53994464,94
backSup,0.53454123,95
backSup,0.52922283,96
backSup,0.5239989,97
backSup,0.51895446,98
backSup,0.51375414,99
backSup,0.5089128,100
backSup,0.50364636,101
backSup,0.49845549,102
backSup,0.49363776,103
backSup,0.48900896,104
backSup,0.48423847,105
backSup,0.47966163,106
backSup,0.47499504,107
backSup,0.47051739,108
backSup,0.46611058,109
backSup,0.46178879,110
backSup,0.45769845,111
backSup,0.45332471,112
backSup,0.44902181,113
backSup,0.44484172,114
backSup,0.44075138,115
backSup,0.43644848,116
backSup,0.43204168,117
backSup,0.42771989,118
backSup,0.42329892,119
backSup,0.41921329,120
backSup,0.41515129,121
backSup,0.4109523,122
backSup,0.40671081,123
backSup,0.40264408,124
backSup,0.3984451,125
backSup,0.39457203,126
backSup,0.39074618,127
backSup,0.3868731,128
backSup,0.3831559,129
backSup,0.37971736,130
backSup,0.37605683,131
backSup,0.3728025,132
backSup,0.36950094,133
backSup,0.3662041,134
backSup,0.36297339,135
backSup,0.3598088,136
backSup,0.35677647,137
backSup,0.35358826,138
backSup,0.350145,139
backSup,0.34702293,140
backSup,0.34406616,141
backSup,0.34087796,142
backSup,0.33770393,143
backSup,0.33449683,144
backSup,0.33137003,145
backSup,0.32808264,146
backSup,0.3250503,147
backSup,0.32196601,148
backSup,0.31901397,149
backSup,0.31575492,150
backSup,0.31273203,151
backSup,0.30978471,152
backSup,0.30690352,153
backSup,0.30432462,154
backSup,0.30165125,155
backSup,0.29905346,156
backSup,0.29641788,157
backSup,0.29379647,158
backSup,0.29129314,159
backSup,0.28868589,160
backSup,0.28630537,161
backSup,0.28367923,162
backSup,0.28122314,163
backSup,0.27866313,164
backSup,0.27613618,165
backSup,0.2737037,166
backSup,0.27124288,167
backSup,0.26864036,168
backSup,0.26618899,169
backSup,0.26353924,170
backSup,0.26098867,171
backSup,0.25838143,172
backSup,0.25594423,173
backSup,0.25354009,174
backSup,0.25109816,175
backSup,0.24888767,176
backSup,0.24669608,177
backSup,0.24448559,178
backSup,0.24220898,179
backSup,0.24013074,180
backSup,0.23818003,181
backSup,0.23617264,182
backSup,0.23406135,183
backSup,0.23189809,184
backSup,0.22975845,185
backSup,0.22770856,186
backSup,0.22567283,187
backSup,0.22370323,188
backSup,0.22171001,189
backSup,0.21980654,190
backSup,0.21791723,191
backSup,0.21604682,192
backSup,0.21409139,193
backSup,0.21219736,194
backSup,0.21026554,195
backSup,0.20846126,196
backSup,0.20651527,197
backSup,0.20466375,198
backSup,0.20279806,199
