xs,signalEff,backSup
0,0,1
1,0,0.99943567
2,0,0.9972853
3,0,0.99634843
4,0,0.99626913
5,0,0.99623225
6,0,0.9961843
7,0,0.99616401
8,0,0.99613266
9,0,0.99611422
10,0,0.9960884
11,0,0.99604782
12,0,0.99602016
13,0,0.99598697
14,0,0.99595192
15,0,0.99591688
16,0,0.99588553
17,0,0.99586709
18,0,0.99584312
19,0,0.99580992
20,0,0.9957048
21,0,0.9953544
22,0,0.99504825
23,0,0.99485092
24,0,0.99465912
25,0,0.99441568
26,0,0.99382738
27,0,0.99250138
28,0,0.98941414
29,0,0.98474457
30,0,0.97979651
31,0,0.97515644
32,0,0.9715436
33,0,0.96891373
34,0,0.96680209
35,0,0.96532856
36,0,0.96421096
37,0,0.96328147
38,0,0.96252534
39,0,0.96187986
40,0,0.96133581
41,0,0.96084709
42,0,0.96041739
43,0,0.96001166
44,0,0.95952109
45,0,0.95907294
46,0,0.95869857
47,0,0.95825964
48,0,0.95779674
49,0,0.9573615
50,0,0.95689123
51,9.49316018e-06,0.95632874
52,3.7972641e-05,0.95579391
53,0.0001186645,0.9551429
54,0.00030378113,0.95422079
55,0.00076894597,0.95306999
56,0.0018511662,0.95163149
57,0.0042766687,0.94979096
58,0.0079267887,0.94750596
59,0.013622685,0.94463081
60,0.021801042,0.94112678
61,0.034536117,0.9367615
62,0.05297658,0.93175812
63,0.077635064,0.92567033
64,0.10793723,0.91873973
65,0.14408719,0.91070997
66,0.18580488,0.90151282
67,0.23335612,0.89127737
68,0.28616657,0.8800571
69,0.34454476,0.8678557
70,0.40662528,0.85496825
71,0.47413114,0.84149434
72,0.54361632,0.82713335
73,0.61659025,0.81275762
74,0.68885218,0.79842061
75,0.75494356,0.78389364
76,0.81483116,0.7695345
77,0.86358803,0.75554051
78,0.90185971,0.74211086
79,0.93126003,0.72853552
80,0.95202632,0.71574397
81,0.96636099,0.70375835
82,0.97695535,0.69213788
83,0.98399453,0.68129937
84,0.98875535,0.67100306
85,0.99181215,0.66126739
86,0.99346396,0.6518102
87,0.99449871,0.6423733
88,0.99501609,0.63340298
89,0.99534835,0.62488082
90,0.99551448,0.61650066
91,0.99572333,0.60801722
92,0.99582301,0.59970898
93,0.99592743,0.59161099
94,0.99600813,0.58369004
95,0.99607932,0.57599408
96,0.99616476,0.56866144
97,0.99621698,0.56120708
98,0.99627868,0.55416767
99,0.99635937,0.54723707
100,0.99640684,0.54061815
101,0.9964543,0.53405086
102,0.99649702,0.52782475
103,0.99653974,0.52202282
104,0.99658721,0.51618585
105,0.99662993,0.51069743
106,0.99668214,0.50538422
107,0.99672011,0.5001669
108,0.99675809,0.4951543
109,0.99680081,0.49023206
110,0.99682454,0.48535961
111,0.99689099,0.48060336
112,0.9969432,0.47585448
113,0.99695744,0.47136747
114,0.99699067,0.46672003
115,0.99702864,0.46207995
116,0.99705237,0.45735689
117,0.99706187,0.45262645
118,0.99707136,0.44782593
119,0.99709984,0.44311394
120,0.99713307,0.43831157
121,0.9971568,0.43346679
122,0.99719952,0.42839702
123,0.997228,0.42383625
124,0.99726122,0.41921277
125,0.99731344,0.41459299
126,0.99732768,0.41009308
127,0.99738463,0.40570567
128,0.99740837,0.40140309
129,0.99746058,0.39732735
130,0.99747007,0.3934305
131,0.99748431,0.38959082
132,0.99751754,0.38578618
133,0.99754127,0.38211802
134,0.99756975,0.37855313
135,0.99759348,0.3749237
136,0.99761247,0.3715211
137,0.9976362,0.36807977
138,0.9976457,0.36456652
139,0.99765519,0.36112335
140,0.99767418,0.35746994
141,0.99769791,0.35384788
142,0.99771689,0.35017603
143,0.99774063,0.3463843
144,0.99775961,0.34256122
145,0.99779759,0.33864778
146,0.99781657,0.33494457
147,0.99782607,0.33106063
148,0.99783081,0.3272062
149,0.99785455,0.32349746
150,0.99785929,0.31993073
151,0.99787828,0.31639351
152,0.99788303,0.31293189
153,0.99790676,0.30956618
154,0.99791625,0.30614883
155,0.997921,0.30295279
156,0.99794948,0.29981945
157,0.9979827,0.29661787
158,0.99799694,0.2937206
159,0.99800169,0.29074402
160,0.99802068,0.28788915
161,0.99804916,0.28480008
162,0.99807289,0.28191018
163,0.99808238,0.2788838
164,0.99808713,0.27596992
165,0.99810137,0.2729122
166,0.99813459,0.26983234
167,0.99813934,0.26661417
168,0.99814409,0.26355275
169,0.99814883,0.260377
170,0.99816782,0.25725657
171,0.99816782,0.25409741
172,0.99817731,0.25107103
173,0.99820579,0.24808154
174,0.99822478,0.24527463
175,0.99823427,0.24260604
176,0.99826275,0.24005732
177,0.99829123,0.23764692
178,0.99830072,0.23528446
179,0.99831022,0.23310274
180,0.99832446,0.23094684
181,0.99832446,0.22887025
182,0.9983292,0.22689877
183,0.9983387,0.22500106
184,0.99834819,0.22316606
185,0.99837192,0.221379
186,0.99838616,0.21963436
187,0.99838616,0.21776985
188,0.99840515,0.2159496
189,0.99842414,0.21415148
190,0.99844312,0.2123257
191,0.99846211,0.2104409
192,0.99847635,0.20865016
193,0.99849059,0.2067045
194,0.99849533,0.20479941
195,0.99850957,0.20290724
196,0.99851907,0.20095236
197,0.99853331,0.19900854
198,0.99853805,0.19706473
199,0.99854755,0.19523895
