Energy,Counts,CountErr,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
0.2,18449,135.8271,408.12112,3158.0066,3.0047106,LnL70,405.11641,411.12583,LnL70,0.7,0.7,LnL,false,false,false,false
0.4,12556,112.05356,277.75862,3158.0066,2.4788023,LnL70,275.27982,280.23742,LnL70,0.7,0.7,LnL,false,false,false,false
0.6,8905,94.366308,196.99271,3158.0066,2.0875323,LnL70,194.90518,199.08025,LnL70,0.7,0.7,LnL,false,false,false,false
0.8,5805,76.190551,128.4158,3158.0066,1.6854557,LnL70,126.73035,130.10126,LnL70,0.7,0.7,LnL,false,false,false,false
1,3708,60.893349,82.026837,3158.0066,1.3470574,LnL70,80.67978,83.373895,LnL70,0.7,0.7,LnL,false,false,false,false
1.2,2304,48,50.968132,3158.0066,1.0618361,LnL70,49.906296,52.029968,LnL70,0.7,0.7,LnL,false,false,false,false
1.4,1453,38.118237,32.142663,3158.0066,0.84323582,LnL70,31.299427,32.985899,LnL70,0.7,0.7,LnL,false,false,false,false
1.6,1031,32.109189,22.807354,3158.0066,0.71030615,LnL70,22.097048,23.51766,LnL70,0.7,0.7,LnL,false,false,false,false
1.8,764,27.64055,16.900891,3158.0066,0.61145277,LnL70,16.289438,17.512344,LnL70,0.7,0.7,LnL,false,false,false,false
2,579,24.062419,12.808398,3158.0066,0.53229884,LnL70,12.276099,13.340697,LnL70,0.7,0.7,LnL,false,false,false,false
2.2,438,20.92845,9.6892542,3158.0066,0.46297048,LnL70,9.2262837,10.152225,LnL70,0.7,0.7,LnL,false,false,false,false
2.4,355,18.841444,7.8531627,3158.0066,0.4168026,LnL70,7.4363601,8.2699653,LnL70,0.7,0.7,LnL,false,false,false,false
2.6,305,17.464249,6.7470834,3158.0066,0.38633687,LnL70,6.3607465,7.1334203,LnL70,0.7,0.7,LnL,false,false,false,false
2.8,258,16.062378,5.7073689,3158.0066,0.35532527,LnL70,5.3520437,6.0626942,LnL70,0.7,0.7,LnL,false,false,false,false
3,272,16.492423,6.0170711,3158.0066,0.36483853,LnL70,5.6522326,6.3819096,LnL70,0.7,0.7,LnL,false,false,false,false
3.2,224,14.96663,4.955235,3158.0066,0.33108557,LnL70,4.6241495,5.2863206,LnL70,0.7,0.7,LnL,false,false,false,false
3.4,248,15.748016,5.4861531,3158.0066,0.34837107,LnL70,5.137782,5.8345241,LnL70,0.7,0.7,LnL,false,false,false,false
3.6,157,12.529964,3.4730888,3158.0066,0.27718267,LnL70,3.1959062,3.7502715,LnL70,0.7,0.7,LnL,false,false,false,false
3.8,139,11.789826,3.0749003,3158.0066,0.26080964,LnL70,2.8140907,3.33571,LnL70,0.7,0.7,LnL,false,false,false,false
4,92,9.591663,2.0351858,3158.0066,0.21218279,LnL70,1.823003,2.2473686,LnL70,0.7,0.7,LnL,false,false,false,false
4.2,84,9.1651514,1.8582131,3158.0066,0.20274768,LnL70,1.6554655,2.0609608,LnL70,0.7,0.7,LnL,false,false,false,false
4.4,70,8.3666003,1.5485109,3158.0066,0.18508246,LnL70,1.3634285,1.7335934,LnL70,0.7,0.7,LnL,false,false,false,false
4.6,58,7.6157731,1.2830519,3158.0066,0.16847297,LnL70,1.114579,1.4515249,LnL70,0.7,0.7,LnL,false,false,false,false
4.8,73,8.5440037,1.6148757,3158.0066,0.1890069,LnL70,1.4258688,1.8038826,LnL70,0.7,0.7,LnL,false,false,false,false
5,52,7.2111026,1.1503224,3158.0066,0.15952102,LnL70,0.9908014,1.3098434,LnL70,0.7,0.7,LnL,false,false,false,false
5.2,62,7.8740079,1.3715383,3158.0066,0.17418553,LnL70,1.1973527,1.5457238,LnL70,0.7,0.7,LnL,false,false,false,false
5.4,69,8.3066239,1.5263894,3158.0066,0.18375569,LnL70,1.3426337,1.710145,LnL70,0.7,0.7,LnL,false,false,false,false
5.6,53,7.2801099,1.172444,3158.0066,0.16104757,LnL70,1.0113964,1.3334916,LnL70,0.7,0.7,LnL,false,false,false,false
5.8,60,7.7459667,1.3272951,3158.0066,0.17135306,LnL70,1.155942,1.4986482,LnL70,0.7,0.7,LnL,false,false,false,false
