Energy,Rate,totalTime,RateErr,Dataset,yMin,yMax,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
0,28.75806,3158.0066,0.79760509,All vetoes,27.960455,29.555666,All vetoes,0.57429153,0.8,LnL,true,true,true,true
0.2,36.743953,3158.0066,0.90157333,All vetoes,35.842379,37.645526,All vetoes,0.57429153,0.8,LnL,true,true,true,true
0.4,21.502181,3158.0066,0.68968276,All vetoes,20.812498,22.191863,All vetoes,0.57429153,0.8,LnL,true,true,true,true
0.6,17.763633,3158.0066,0.62686499,All vetoes,17.136768,18.390498,All vetoes,0.57429153,0.8,LnL,true,true,true,true
0.8,11.901413,3158.0066,0.51310634,All vetoes,11.388306,12.414519,All vetoes,0.57429153,0.8,LnL,true,true,true,true
1,8.8043908,3158.0066,0.44132423,All vetoes,8.3630666,9.2457151,All vetoes,0.57429153,0.8,LnL,true,true,true,true
1.2,4.6012897,3158.0066,0.31904204,All vetoes,4.2822476,4.9203317,All vetoes,0.57429153,0.8,LnL,true,true,true,true
1.4,2.9642924,3158.0066,0.25607586,All vetoes,2.7082165,3.2203682,All vetoes,0.57429153,0.8,LnL,true,true,true,true
1.6,1.9024563,3158.0066,0.20514714,All vetoes,1.6973092,2.1076034,All vetoes,0.57429153,0.8,LnL,true,true,true,true
1.8,1.7254836,3158.0066,0.19537255,All vetoes,1.5301111,1.9208562,All vetoes,0.57429153,0.8,LnL,true,true,true,true
2,1.4157814,3158.0066,0.17697268,All vetoes,1.2388088,1.5927541,All vetoes,0.57429153,0.8,LnL,true,true,true,true
2.2,0.95122815,3158.0066,0.14506093,All vetoes,0.80616722,1.0962891,All vetoes,0.57429153,0.8,LnL,true,true,true,true
2.4,0.77425547,3158.0066,0.13087306,All vetoes,0.64338241,0.90512854,All vetoes,0.57429153,0.8,LnL,true,true,true,true
2.6,1.172444,3158.0066,0.16104757,All vetoes,1.0113964,1.3334916,All vetoes,0.57429153,0.8,LnL,true,true,true,true
2.8,1.2166872,3158.0066,0.16405807,All vetoes,1.0526291,1.3807452,All vetoes,0.57429153,0.8,LnL,true,true,true,true
3,1.6591189,3158.0066,0.19157855,All vetoes,1.4675403,1.8506974,All vetoes,0.57429153,0.8,LnL,true,true,true,true
3.2,1.4821462,3158.0066,0.18107298,All vetoes,1.3010732,1.6632192,All vetoes,0.57429153,0.8,LnL,true,true,true,true
3.4,1.437903,3158.0066,0.17834992,All vetoes,1.2595531,1.6162529,All vetoes,0.57429153,0.8,LnL,true,true,true,true
3.6,1.1060792,3158.0066,0.15642323,All vetoes,0.94965602,1.2625025,All vetoes,0.57429153,0.8,LnL,true,true,true,true
3.8,0.75213389,3158.0066,0.1289899,All vetoes,0.62314399,0.88112379,All vetoes,0.57429153,0.8,LnL,true,true,true,true
4,0.26545902,3158.0066,0.076631418,All vetoes,0.1888276,0.34209044,All vetoes,0.57429153,0.8,LnL,true,true,true,true
4.2,0.4424317,3158.0066,0.098930736,All vetoes,0.34350096,0.54136244,All vetoes,0.57429153,0.8,LnL,true,true,true,true
4.4,0.19909426,3158.0066,0.066364755,All vetoes,0.13272951,0.26545902,All vetoes,0.57429153,0.8,LnL,true,true,true,true
4.6,0.15485109,3158.0066,0.058528212,All vetoes,0.096322882,0.21337931,All vetoes,0.57429153,0.8,LnL,true,true,true,true
4.8,0.46455328,3158.0066,0.10137384,All vetoes,0.36317945,0.56592712,All vetoes,0.57429153,0.8,LnL,true,true,true,true
5,0.26545902,3158.0066,0.076631418,All vetoes,0.1888276,0.34209044,All vetoes,0.57429153,0.8,LnL,true,true,true,true
5.2,0.30970219,3158.0066,0.082771392,All vetoes,0.2269308,0.39247358,All vetoes,0.57429153,0.8,LnL,true,true,true,true
5.4,0.50879645,3158.0066,0.10609139,All vetoes,0.40270506,0.61488785,All vetoes,0.57429153,0.8,LnL,true,true,true,true
5.6,0.48667487,3158.0066,0.10375943,All vetoes,0.38291544,0.5904343,All vetoes,0.57429153,0.8,LnL,true,true,true,true
5.8,0.33182377,3158.0066,0.08567653,All vetoes,0.24614724,0.41750031,All vetoes,0.57429153,0.8,LnL,true,true,true,true
6,0.24333743,3158.0066,0.073368997,All vetoes,0.16996844,0.31670643,All vetoes,0.57429153,0.8,LnL,true,true,true,true
6.2,0.59728279,3158.0066,0.11494713,All vetoes,0.48233567,0.71222992,All vetoes,0.57429153,0.8,LnL,true,true,true,true
6.4,0.50879645,3158.0066,0.10609139,All vetoes,0.40270506,0.61488785,All vetoes,0.57429153,0.8,LnL,true,true,true,true
6.6,0.30970219,3158.0066,0.082771392,All vetoes,0.2269308,0.39247358,All vetoes,0.57429153,0.8,LnL,true,true,true,true
6.8,0.22121585,3158.0066,0.069954594,All vetoes,0.15126126,0.29117044,All vetoes,0.57429153,0.8,LnL,true,true,true,true
7,0.48667487,3158.0066,0.10375943,All vetoes,0.38291544,0.5904343,All vetoes,0.57429153,0.8,LnL,true,true,true,true
7.2,0.46455328,3158.0066,0.10137384,All vetoes,0.36317945,0.56592712,All vetoes,0.57429153,0.8,LnL,true,true,true,true
7.4,0.64152596,3158.0066,0.11912838,All vetoes,0.52239758,0.76065435,All vetoes,0.57429153,0.8,LnL,true,true,true,true
