x,y,cluster ID
477,669,0
436,670,0
459,656,0
429,665,0
455,669,0
456,668,0
440,656,0
429,645,0
479,686,0
453,656,0
454,649,0
429,673,0
433,659,0
469,661,0
474,653,0
454,678,0
433,688,0
444,630,0
448,717,0
431,673,0
463,684,0
440,651,0
440,645,0
431,678,0
431,656,0
448,674,0
437,672,0
466,635,0
444,661,0
431,694,0
456,665,0
456,648,0
471,643,0
444,676,0
437,634,0
455,662,0
430,636,0
441,652,0
435,674,0
438,680,0
485,662,0
478,625,0
447,642,0
432,646,0
446,642,0
441,657,0
456,663,0
453,657,0
464,677,0
452,657,0
456,664,0
454,641,0
456,630,0
431,683,0
475,665,0
431,641,0
432,694,0
428,666,0
468,671,0
434,679,0
441,640,0
448,664,0
444,644,0
487,644,0
448,656,0
470,679,0
438,650,0
443,660,0
430,684,0
441,647,0
434,667,0
458,688,0
432,650,0
461,634,0
430,667,0
455,675,0
474,673,0
451,690,0
441,672,0
477,666,0
453,685,0
435,670,0
471,673,0
479,658,0
438,663,0
463,670,0
457,630,0
452,641,0
489,669,0
436,643,0
438,648,0
461,650,0
451,636,0
455,660,0
457,709,0
470,645,0
481,671,0
455,668,0
454,663,0
445,667,0
482,684,0
440,649,0
431,667,0
455,650,0
458,656,0
454,708,0
450,667,0
445,687,0
438,629,0
431,674,0
429,638,0
448,652,0
475,650,0
475,670,0
455,647,0
443,683,0
493,684,0
428,650,0
432,656,0
459,657,0
454,675,0
462,684,0
480,685,0
467,664,0
458,704,0
442,638,0
471,658,0
440,685,0
458,652,0
440,653,0
431,671,0
432,633,0
451,646,0
445,657,0
441,661,0
439,672,0
482,674,0
454,705,0
455,644,0
481,633,0
470,651,0
454,655,0
461,643,0
443,653,0
430,676,0
448,657,0
461,680,0
464,633,0
431,635,0
475,679,0
435,634,0
436,693,0
443,650,0
454,661,0
442,637,0
428,652,0
452,636,0
480,683,0
458,702,0
456,625,0
453,670,0
450,663,0
467,656,0
442,694,0
428,665,0
460,670,0
444,653,0
445,642,0
451,671,0
433,665,0
434,686,0
483,672,0
456,661,0
464,663,0
432,679,0
434,678,0
471,674,0
428,685,0
460,687,0
448,701,0
430,665,0
453,666,0
486,688,0
464,645,0
449,652,0
440,637,0
444,668,0
432,680,0
448,667,0
443,655,0
442,664,0
445,670,0
442,641,0
440,665,0
479,648,0
491,694,0
439,696,0
447,656,0
445,663,0
483,669,0
442,671,0
432,653,0
435,637,0
456,656,0
453,671,0
451,695,0
433,661,0
445,669,0
453,677,0
435,629,0
485,670,0
446,665,0
455,641,0
440,646,0
450,648,0
445,650,0
446,632,0
454,658,0
485,674,0
450,674,0
443,632,0
456,678,0
441,683,0
448,687,0
435,672,0
455,645,0
449,691,0
445,656,0
462,666,0
490,693,0
447,672,0
462,633,0
503,651,0
454,676,0
429,677,0
429,648,0
463,664,0
451,680,0
464,649,0
444,628,0
437,703,0
451,641,0
458,629,0
433,656,0
466,674,0
449,654,0
443,659,0
470,672,0
452,646,0
435,704,0
448,654,0
441,655,0
481,637,0
441,663,0
452,632,0
487,643,0
468,643,0
462,645,0
457,654,0
443,657,0
475,672,0
451,648,0
456,662,0
438,673,0
431,633,0
431,675,0
462,683,0
434,688,0
443,691,0
476,665,0
432,688,0
443,674,0
431,697,0
462,660,0
434,639,0
430,649,0
459,630,0
436,641,0
447,639,0
429,663,0
445,668,0
457,669,0
448,642,0
446,673,0
432,635,0
429,667,0
428,642,0
450,657,0
442,659,0
447,671,0
442,670,0
453,686,0
457,666,0
463,631,0
463,671,0
443,680,0
447,663,0
478,636,0
452,665,0
440,687,0
443,664,0
440,643,0
450,676,0
439,688,0
461,638,0
432,668,0
453,643,0
478,667,0
439,633,0
440,675,0
490,676,0
463,680,0
437,687,0
445,637,0
482,681,0
450,655,0
472,675,0
473,674,0
455,688,0
431,664,0
460,643,0
436,672,0
460,678,0
453,644,0
463,683,0
469,654,0
448,685,0
460,669,0
433,635,0
447,664,0
458,687,0
481,675,0
432,658,0
456,643,0
463,667,0
453,668,0
444,681,0
434,681,0
453,682,0
457,690,0
447,666,0
455,674,0
431,676,0
434,643,0
434,644,0
464,658,0
447,665,0
461,673,0
488,671,0
441,687,0
456,673,0
472,674,0
437,704,0
429,666,0
448,663,0
456,674,0
429,679,0
444,647,0
466,676,0
448,628,0
457,676,0
459,628,0
479,685,0
459,699,0
460,648,0
439,649,0
447,675,0
465,670,0
447,643,0
436,630,0
456,667,0
445,662,0
440,647,0
441,636,0
455,686,0
462,656,0
466,664,0
448,688,0
445,658,0
447,657,0
485,653,0
462,670,0
464,680,0
473,696,0
430,666,0
464,669,0
464,676,0
450,686,0
442,681,0
449,633,0
445,640,0
453,665,0
457,674,0
464,662,0
466,658,0
469,659,0
442,665,0
439,689,0
459,633,0
458,639,0
465,662,0
450,677,0
467,691,0
434,689,0
416,677,0
415,699,0
419,661,0
420,645,0
417,674,0
427,693,0
415,650,0
417,672,0
413,634,0
411,649,0
425,680,0
410,667,0
415,700,0
412,632,0
421,649,0
423,659,0
426,663,0
422,636,0
414,649,0
414,648,0
415,664,0
424,659,0
416,670,0
418,663,0
412,638,0
415,637,0
414,660,0
427,647,0
415,633,0
417,658,0
423,651,0
422,689,0
426,657,0
415,698,0
421,661,0
423,646,0
410,649,0
418,637,0
422,637,0
412,639,0
411,656,0
424,646,0
425,689,0
413,663,0
409,657,0
421,651,0
413,635,0
426,670,0
427,666,0
411,650,0
417,651,0
426,668,0
427,694,0
415,634,0
425,643,0
413,670,0
417,673,0
421,632,0
426,689,0
427,688,0
410,677,0
413,651,0
426,646,0
425,669,0
419,667,0
415,629,0
418,703,0
425,645,0
419,645,0
418,672,0
414,647,0
424,630,0
421,643,0
418,674,0
461,722,0
413,671,0
296,855,0
279,854,0
278,836,0
287,856,0
282,856,0
245,663,0
236,709,0
255,657,0
200,703,0
262,671,0
220,662,0
239,681,0
260,684,0
242,667,0
273,649,0
219,660,0
214,671,0
221,665,0
211,690,0
213,673,0
222,659,0
229,686,0
233,673,0
244,668,0
256,646,0
276,671,0
212,685,0
215,643,0
213,684,0
202,697,0
212,692,0
270,659,0
246,652,0
293,664,0
204,675,0
212,677,0
217,687,0
270,645,0
249,659,0
218,704,0
290,663,0
287,661,0
250,688,0
270,629,0
285,674,0
214,644,0
209,680,0
228,697,0
211,645,0
227,691,0
216,634,0
254,652,0
202,657,0
227,668,0
266,656,0
227,671,0
226,664,0
285,640,0
202,659,0
222,687,0
248,695,0
215,664,0
231,697,0
241,682,0
267,648,0
267,649,0
277,648,0
255,666,0
293,682,0
211,691,0
220,704,0
284,652,0
275,674,0
200,675,0
212,691,0
290,661,0
238,682,0
289,689,0
292,657,0
198,700,0
213,695,0
292,655,0
255,645,0
223,688,0
290,647,0
212,662,0
226,654,0
290,671,0
228,669,0
211,663,0
288,653,0
215,696,0
216,659,0
201,666,0
206,664,0
235,668,0
244,673,0
210,673,0
218,693,0
