μ,Timestamp,$μ/μ_{\text{max}}$,Type,RunPeriod
738.77596,1.51015845e+09,0.7493481,feCharge,"2017-10-30"
663.37313,1.51049701e+09,0.67286624,feCharge,"2017-10-30"
799.23214,1.51094633e+09,0.81066943,feCharge,"2017-10-30"
744.37848,1.51143374e+09,0.7550308,feCharge,"2017-10-30"
773.84714,1.51198675e+09,0.78492117,feCharge,"2017-10-30"
793.94084,1.51239478e+09,0.80530241,feCharge,"2017-10-30"
791.8759,1.51247284e+09,0.80320793,feCharge,"2017-10-30"
738.96412,1.51311234e+09,0.74953896,feCharge,"2017-10-30"
757.42546,1.51320061e+09,0.76826449,feCharge,"2017-10-30"
713.90614,1.5132711e+09,0.72412239,feCharge,"2017-10-30"
686.49794,1.51336576e+09,0.69632197,feCharge,"2017-10-30"
759.76173,1.51370048e+09,0.77063419,feCharge,"2017-10-30"
757.8228,1.51390191e+09,0.76866751,feCharge,"2017-10-30"
