Temperature,TempVal,Time,Humidity,TempNorm,idxMod
$T_{\text{amb}}$,24.4,1540060749,41.912,0.89943969,1795750
$T_{\text{amb}}$,24.413,1540063749,40.999,0.8999189,1795800
$T_{\text{amb}}$,24.38,1540066749,40.263,0.89870245,1795850
$T_{\text{amb}}$,24.32,1540069749,39.014,0.89649071,1795900
$T_{\text{amb}}$,24.29,1540072749,38.736,0.89538484,1795950
$T_{\text{amb}}$,24.316,1540075749,38.143,0.89634326,1796000
$T_{\text{amb}}$,24.295,1540078749,36.783,0.89556915,1796050
$T_{\text{amb}}$,24.252,1540081749,35.733,0.89398408,1796100
$T_{\text{amb}}$,24.203,1540084749,35.533,0.89217782,1796150
$T_{\text{amb}}$,24.118,1540087749,34.933,0.88904453,1796200
$T_{\text{amb}}$,23.976,1540090749,34.906,0.88381009,1796250
$T_{\text{amb}}$,23.835,1540093749,35.445,0.8786125,1796300
$T_{\text{amb}}$,23.826,1540097535,35.31,0.87828074,1796350
$T_{\text{amb}}$,23.79,1540100535,35.447,0.8769537,1796400
$T_{\text{amb}}$,23.789,1540103535,34.921,0.87691684,1796450
$T_{\text{amb}}$,23.735,1540106535,35.372,0.87492628,1796500
$T_{\text{amb}}$,23.724,1540109535,34.751,0.87452079,1796550
$T_{\text{amb}}$,23.626,1540112535,35.653,0.87090829,1796600
$T_{\text{amb}}$,23.595,1540115535,37.998,0.86976556,1796650
$T_{\text{amb}}$,23.521,1540118535,40.797,0.86703775,1796700
$T_{\text{amb}}$,23.456,1540121535,41.978,0.8646417,1796750
$T_{\text{amb}}$,23.481,1540123996,41.452,0.86556326,1796800
$T_{\text{amb}}$,23.511,1540124544,41.28,0.86666912,1796850
$T_{\text{amb}}$,23.534,1540127544,40.829,0.86751696,1796900
$T_{\text{amb}}$,23.667,1540130065,40.307,0.87241964,1796950
$T_{\text{amb}}$,23.692,1540130551,39.854,0.8733412,1797000
$T_{\text{amb}}$,23.712,1540131159,40.024,0.87407844,1797050
$T_{\text{amb}}$,23.725,1540131228,39.666,0.87455765,1797100
$T_{\text{amb}}$,23.862,1540132852,39.286,0.87960779,1797150
$T_{\text{amb}}$,24.138,1540135852,38.841,0.88978178,1797200
$T_{\text{amb}}$,24.329,1540138852,37.075,0.89682247,1797250
$T_{\text{amb}}$,24.431,1540141852,34.512,0.90058242,1797300
$T_{\text{amb}}$,24.5,1540144852,32.614,0.90312592,1797350
$T_{\text{amb}}$,24.484,1540147852,31.016,0.90253613,1797400
$T_{\text{amb}}$,24.331,1540150852,29.362,0.8968962,1797450
$T_{\text{amb}}$,24.265,1540153852,33.981,0.89446329,1797500
$T_{\text{amb}}$,24.281,1540156852,35.369,0.89505308,1797550
$T_{\text{amb}}$,24.24,1540159852,35.079,0.89354173,1797600
$T_{\text{amb}}$,24.163,1540162852,35.282,0.89070333,1797650
$T_{\text{amb}}$,24.17,1540165852,35.226,0.89096137,1797700
$T_{\text{amb}}$,24.162,1540168852,34.603,0.89066647,1797750
$T_{\text{amb}}$,24.181,1540171852,34.424,0.89136685,1797800
$T_{\text{amb}}$,24.169,1540174852,33.499,0.89092451,1797850
$T_{\text{amb}}$,24.155,1540177852,33.238,0.89040843,1797900
$T_{\text{amb}}$,24.083,1540180852,31.671,0.88775435,1797950
$T_{\text{amb}}$,23.907,1540183852,30.927,0.88126659,1798000
$T_{\text{amb}}$,23.674,1540186852,30.607,0.87267768,1798050
$T_{\text{amb}}$,23.416,1540189852,29.458,0.86316721,1798100
$T_{\text{amb}}$,23.292,1540192852,29.44,0.85859628,1798150
