idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
0,90,25,1540126462,1540131871,90.15,0,250,6,2282,0,5.19474855e+06,2650.3091,2777.1099,2383.7559,2.5084553,1.633069,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.69805672,0
1,90,25,1540131871,1540137276,90.083333,251,517,2300,4586,0,5.65268008e+06,2633.9996,2764.2982,2385.4169,2.4788708,1.971103,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.69854311,0
2,90,25,1540137276,1540142706,90.5,518,766,4590,6876,0,5.31294499e+06,2673.0712,2806.747,2401.8114,2.4015978,1.5206723,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.70334405,0
3,90,25,1540142706,1540148124,90.3,767,1010,6892,9180,0,5.14587947e+06,2610.1206,2731.6169,2359.3667,2.6191132,2.0597125,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.6909146,0
4,90,25,1540148124,1540153578,90.9,1011,1243,9189,11473,0,5.13510477e+06,2676.5637,2804.9064,2405.0441,2.4644271,2.115606,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.70429072,0
5,90,25,1540153578,1540158999,90.35,1244,1519,11509,13774,0,5.5886374e+06,2626.5875,2755.1426,2377.7846,2.5082048,2.4359929,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.69630808,0
6,90,25,1540158999,1540164403,90.066667,1520,1775,13802,16076,0,5.52540893e+06,2618.0937,2756.59,2375.3497,2.3927987,2.3217747,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.69559504,0
7,90,25,1540164403,1540169924,92.016667,1776,2041,16088,18380,0,5.40057276e+06,2629.063,2752.6464,2375.3896,2.5715354,2.3356546,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.69560672,0
8,90,25,1540169924,1540175364,90.666667,2042,2300,18435,20710,0,5.35345583e+06,2656.778,2791.2639,2395.0541,2.4062187,2.3417102,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.70136526,0
9,90,25,1540175364,1540180803,90.65,2301,2550,20746,23031,0,5.00620604e+06,2625.5015,2747.5664,2380.2306,2.5957563,1.8690899,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.69702437,0
10,90,25,1540180803,1540186205,90.033333,2551,2822,23051,25306,0,5.53406351e+06,2634.9188,2759.3107,2377.8269,2.554936,1.7103848,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.69632046,0
11,90,25,1540186205,1540191702,91.616667,2823,3078,25346,27640,0,4.93402728e+06,2631.4348,2750.4959,2372.542,2.6316023,1.9085368,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.69477283,0
12,90,25,1540191702,1540197147,90.75,3079,3298,27681,29972,0,4.24857957e+06,2654.2284,2765.6615,2387.38,2.7193157,1.5694355,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.69911799,0
13,90,25,1540197147,1540202550,90.05,3299,3524,29992,32282,0,4.66970232e+06,2669.029,2807.7141,2426.217,2.3457881,2.2026498,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.71049098,0
14,90,25,1540202550,1540207952,90.033333,3525,3781,32294,34591,0,5.21730617e+06,2704.9415,2820.3925,2423.4736,2.6101187,2.127997,0,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.7096876,0
