idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
0,90,25,1518896533,1518901942,90.15,0,280,16,2305,0,8.9971902e+06,3640.7324,3735.2103,3499.9106,2.9029613,3.2073143,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.93822032,0
1,90,25,1518901942,1518907385,90.716667,281,529,2310,4582,0,7.39574012e+06,3620.9351,3710.2948,3472.0135,3.0018025,1.972809,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.93074195,0
2,90,25,1518907385,1518912796,90.183333,530,797,4602,6870,0,8.40397057e+06,3678.5832,3765.6593,3515.3373,2.9947122,2.333898,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94235576,0
3,90,25,1518912796,1518918198,90.033333,798,1057,6878,9164,0,7.97817116e+06,3680.1141,3774.0551,3528.8801,2.8816318,2.2280497,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94598618,0
4,90,25,1518918198,1518923645,90.783333,1058,1334,9167,11445,0,8.33611298e+06,3687.2101,3777.9186,3521.1554,2.9277625,2.6080206,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94391543,0
5,90,25,1518923645,1518929084,90.65,1335,1597,11465,13726,0,8.41412958e+06,3704.7329,3802.7882,3544.7551,2.8010813,2.783201,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.95024179,0
6,90,25,1518929084,1518934525,90.683333,1598,1868,13762,16045,0,8.02521525e+06,3638.6181,3742.088,3504.6006,2.7699283,1.6824165,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.93947756,0
7,90,25,1518934525,1518939934,90.15,1869,2143,16070,18337,0,8.33311296e+06,3661.3996,3759.0008,3518.1918,2.8393061,2.9651278,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94312095,0
8,90,25,1518939934,1518945339,90.083333,2144,2422,18352,20635,0,8.5570936e+06,3657.3698,3753.3915,3493.8805,2.8663556,2.3894875,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.93660385,0
9,90,25,1518945339,1518950777,90.633333,2423,2709,20641,22912,0,8.46305386e+06,3581.1808,3687.3696,3459.0446,2.7734557,2.3699929,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.92726537,0
10,90,25,1518950777,1518956195,90.3,2710,2947,22928,25201,0,7.71334193e+06,3687.8516,3782.8713,3530.1165,2.8591552,2.2809251,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94631762,0
11,90,25,1518956195,1518961619,90.4,2948,3205,25209,27455,0,7.92658729e+06,3636.1914,3741.1732,3517.2567,2.7502989,2.2391547,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94287028,0
12,90,25,1518961619,1518967019,90,3206,3488,27494,29769,0,8.63357714e+06,3652.0375,3741.6367,3495.4494,2.9730961,2.4869744,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.93702442,0
13,90,25,1518967019,1518972426,90.116667,3489,3754,29778,32050,0,8.34452009e+06,3663.8594,3752.5592,3498.6304,2.9788399,2.3606826,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.93787714,0
14,90,25,1518972426,1518973936,25.166667,3755,3833,32059,32698,0,2.52059147e+06,3710.974,3813.7512,3576.6023,2.7286643,1.0304217,3,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.95877907,0
0,90,25,1518983217,1518988630,90.216667,0,288,4,2284,0,8.70221664e+06,3647.5692,3742.7661,3489.7102,2.8864999,2.2210202,3,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.93548592,0
1,90,25,1518988630,1518994066,90.6,289,565,2301,4573,0,8.21730329e+06,3688.6918,3779.6894,3525.5932,2.9219654,2.3025184,3,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94510504,0
2,90,25,1518994066,1518999499,90.55,566,835,4593,6876,0,7.75251694e+06,3664.8003,3755.8398,3535.4834,2.9395038,2.9060311,3,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94775632,0
3,90,25,1518999499,1519004912,90.216667,836,1111,6895,9183,0,8.52385495e+06,3663.7859,3770.6136,3540.53,2.7052745,2.2820984,3,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94910915,0
4,90,25,1519004912,1519010334,90.366667,1112,1425,9189,11463,0,9.24313479e+06,3658.604,3747.0023,3495.4704,2.9880238,2.2354998,3,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.93703004,0
5,90,25,1519010334,1519015764,90.5,1426,1664,11485,13756,0,7.28338636e+06,3676.9714,3764.3621,3530.9856,2.9906352,2.5335145,3,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.9465506,0
6,90,25,1519015764,1519021166,90.033333,1665,1943,13783,16060,0,9.12927895e+06,3646.2241,3748.0309,3507.5658,2.7882933,2.0732321,3,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94027246,0
7,90,25,1519021166,1519026575,90.15,1944,2223,16065,18337,0,8.60948757e+06,3692.5896,3787.9932,3526.3082,2.849779,2.6115701,3,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.94529672,0
8,90,25,1519026575,1519031979,90.066667,2224,2490,18345,20592,0,9.1780981e+06,3769.3585,3877.9311,3623.7774,2.6118084,2.3316087,3,148,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.97142528,0
