idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
0,90,25,1510159822,1510165277,90.916667,0,251,13,2205,0,4.59019753e+06,2752.2745,2868.3653,2692.7598,3.0480015,2.7550754,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54300434,0
1,90,25,1510165277,1510170682,90.083333,252,512,2246,4460,0,4.51402676e+06,2776.9829,2878.8992,2677.2906,3.2600257,2.7444829,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.53988492,0
2,90,25,1510170682,1510176112,90.5,513,757,4465,6686,0,4.84687657e+06,2739.6278,2875.4063,2708.0609,2.7738832,2.0257675,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54608986,0
3,90,25,1510176112,1510181514,90.033333,758,1006,6706,8915,0,4.95805034e+06,2782.175,2907.2562,2716.066,2.8767152,2.8163528,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54770411,0
4,90,25,1510181514,1510186926,90.2,1007,1241,8935,11146,0,4.50648647e+06,2774.8376,2893.9177,2678.2807,2.9745099,1.7926318,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54008458,0
5,90,25,1510186926,1510192433,91.783333,1242,1454,11164,13382,0,3.85885998e+06,2783.2991,2899.5489,2697.6131,3.0087415,2.3554616,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54398302,0
6,90,25,1510192433,1510197860,90.45,1455,1700,13428,15642,0,4.45802121e+06,2728.8723,2842.992,2672.0088,3.1087937,2.930852,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.53881982,0
7,90,25,1510197860,1510203278,90.3,1701,1946,15671,17890,0,4.67438624e+06,2773.975,2893.0182,2712.7141,2.9760711,3.103714,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.54702819,0
8,90,25,1510203278,1510208692,90.233333,1947,2187,17908,20132,0,4.75050092e+06,2743.0137,2851.8278,2661.2172,3.180686,2.6820278,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.53664367,0
9,90,25,1510208692,1510214106,90.233333,2188,2418,20144,22371,0,4.47451404e+06,2691.0104,2829.8251,2664.1627,2.7863285,1.8675728,0,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.53723765,0
