idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,gainNorm,prevVals_GGPLOTNIM_INTERNAL
0,90,25,1518896504,1518901938,90.566667,0,261,4,2286,0,5.82809105e+06,2866.7904,2972.9256,2795.0252,3.076783,2.154508,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.58046673,0
1,90,25,1518901938,1518907342,90.066667,262,505,2308,4561,0,5.16872875e+06,2831.3204,2949.2202,2763.0187,2.9290401,1.4036782,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.57381966,0
2,90,25,1518907342,1518912756,90.233333,506,756,4584,6854,0,6.56971318e+06,2893.2012,3011.8078,2806.9375,2.8529641,1.9906416,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.58294066,0
3,90,25,1518912756,1518918162,90.1,757,981,6861,9128,0,4.99429473e+06,2866.7632,2982.631,2780.4868,2.9214577,1.6459665,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.57744741,0
4,90,25,1518918162,1518923579,90.283333,982,1239,9152,11377,0,5.93058333e+06,2855.0305,2974.3063,2770.1671,2.8829147,1.5174036,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.57530424,0
5,90,25,1518923579,1518928992,90.216667,1240,1458,11436,13707,0,5.03114811e+06,2863.7761,2977.1414,2776.4638,2.9632002,1.6189502,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.57661193,0
6,90,25,1518928992,1518934424,90.533333,1459,1726,13724,15995,0,6.0057316e+06,2861.3665,2974.1632,2771.8164,2.9747355,1.7637709,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.57564677,0
7,90,25,1518934424,1518939828,90.066667,1727,1989,16028,18304,0,5.31419576e+06,2815.9186,2925.0014,2737.3332,3.0865815,1.4548548,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.56848533,0
8,90,25,1518939828,1518945243,90.25,1990,2234,18306,20589,0,5.42754571e+06,2833.3963,2949.2687,2768.5181,2.9577334,1.8709164,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.57496176,0
9,90,25,1518945243,1518950655,90.2,2235,2497,20601,22864,0,5.88024869e+06,2831.5152,2948.1315,2762.7411,2.9483776,2.0775799,0,146,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2018-02-15",0.57376202,0
