μ,Timestamp,$μ/μ_{\text{max}}$,Type,RunPeriod
767.64149,1.54006028e+09,0.77862672,feCharge,"2018-10-19"
857.70022,1.54022498e+09,0.86997421,feCharge,"2018-10-19"
864.46617,1.54033254e+09,0.87683699,feCharge,"2018-10-19"
846.54626,1.5404091e+09,0.85866063,feCharge,"2018-10-19"
820.06198,1.54048434e+09,0.83179736,feCharge,"2018-10-19"
847.26253,1.54059302e+09,0.85938715,feCharge,"2018-10-19"
827.5251,1.54067922e+09,0.83936727,feCharge,"2018-10-19"
929.72959,1.54075433e+09,0.94303435,feCharge,"2018-10-19"
947.4877,1.54085424e+09,0.96104659,feCharge,"2018-10-19"
945.19404,1.54102438e+09,0.9587201,feCharge,"2018-10-19"
925.39795,1.54108898e+09,0.93864072,feCharge,"2018-10-19"
925.7557,1.54109396e+09,0.9390036,feCharge,"2018-10-19"
903.55691,1.54134505e+09,0.91648713,feCharge,"2018-10-19"
899.25668,1.54144972e+09,0.91212536,feCharge,"2018-10-19"
891.38434,1.54162888e+09,0.90414037,feCharge,"2018-10-19"
896.19694,1.54178404e+09,0.90902183,feCharge,"2018-10-19"
845.84454,1.5419702e+09,0.85794887,feCharge,"2018-10-19"
876.81225,1.54222249e+09,0.88935975,feCharge,"2018-10-19"
969.88627,1.54247847e+09,0.98376569,feCharge,"2018-10-19"
980.69206,1.54285359e+09,0.99472612,feCharge,"2018-10-19"
962.39951,1.54324438e+09,0.97617179,feCharge,"2018-10-19"
985.89154,1.54342848e+09,1,feCharge,"2018-10-19"
974.30042,1.54367515e+09,0.988243,feCharge,"2018-10-19"
901.18262,1.54393903e+09,0.91407886,feCharge,"2018-10-19"
870.29015,1.54403092e+09,0.88274431,feCharge,"2018-10-19"
854.38636,1.54412351e+09,0.86661293,feCharge,"2018-10-19"
905.0284,1.54427637e+09,0.91797968,feCharge,"2018-10-19"
902.27961,1.54447865e+09,0.91519156,feCharge,"2018-10-19"
926.43035,1.5445603e+09,0.9396879,feCharge,"2018-10-19"
983.53395,1.54489914e+09,0.99760867,feCharge,"2018-10-19"
929.87644,1.54505629e+09,0.9431833,feCharge,"2018-10-19"
900.81015,1.54521203e+09,0.91370106,feCharge,"2018-10-19"
