idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
0,90,25,1510159797,1510165207,90.166667,0,250,3,2208,0,6.90335753e+06,3349.7408,3485.8023,3289.3416,2.5651553,2.6673733,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.9414698,0
1,90,25,1510165207,1510170611,90.066667,251,544,2218,4424,0,8.0787719e+06,3370.173,3524.8899,3315.8622,2.351094,2.7072081,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94906048,0
2,90,25,1510170611,1510176012,90.016667,545,831,4434,6660,0,7.5997651e+06,3346.1328,3484.6715,3279.3834,2.5394482,1.9973693,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93861957,0
3,90,25,1510176012,1510181425,90.216667,832,1131,6665,8886,0,8.38214102e+06,3381.2941,3519.4425,3318.2132,2.518251,2.7848945,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94973338,0
4,90,25,1510181425,1510186843,90.3,1132,1400,8897,11117,0,6.74961328e+06,3438.2955,3550.0965,3333.2927,2.8048043,3.8320457,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.9540494,0
5,90,25,1510186843,1510192245,90.033333,1401,1690,11129,13348,0,7.84044154e+06,3399.9124,3525.941,3293.3904,2.6475155,3.4326245,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94262864,0
6,90,25,1510192245,1510197672,90.45,1691,1966,13350,15572,0,7.43048178e+06,3375.4677,3515.5837,3328.8931,2.5004608,3.2060176,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.95279014,0
7,90,25,1510197672,1510203103,90.516667,1967,2250,15591,17804,0,7.92464855e+06,3349.5139,3504.3955,3301.988,2.3632578,3.0912809,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94508942,0
8,90,25,1510203103,1510208504,90.016667,2251,2548,17836,20064,0,8.1491669e+06,3325.6232,3474.2683,3286.2698,2.4437406,2.6458369,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.9405906,0
9,90,25,1510208504,1510213927,90.383333,2549,2808,20067,22293,0,6.87832165e+06,3387.5477,3528.5497,3312.6669,2.4821301,2.4671699,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94814592,0
10,90,25,1510213927,1510219364,90.616667,2809,3093,22305,24522,0,7.5414468e+06,3407.3046,3531.6762,3323.455,2.6625589,4.0171263,3,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.95123368,0
