temps,gains,period
21.603,3349.9407,"2017-10-30"
21.610874,3355.6341,"2017-10-30"
21.534911,3353.734,"2017-10-30"
21.488846,3407.9311,"2017-10-30"
21.462811,3374.1318,"2017-10-30"
21.458244,3403.1566,"2017-10-30"
21.476589,3409.0383,"2017-10-30"
21.502278,3431.3342,"2017-10-30"
21.473088,3419.5391,"2017-10-30"
21.495431,3501.84,"2017-10-30"
21.4512,3497.761,"2017-10-30"
21.531649,3505.7347,"2017-10-30"
21.649496,3516.4523,"2017-10-30"
21.621011,3551.2581,"2017-10-30"
21.704348,3485.8774,"2017-10-30"
21.191182,3469.779,"2017-10-30"
21.089433,3471.8616,"2017-10-30"
20.910165,3442.4252,"2017-10-30"
20.970758,3459.9949,"2017-10-30"
21.202522,3506.9456,"2017-10-30"
21.433626,3456.5503,"2017-10-30"
21.462935,3490.8425,"2017-10-30"
21.883133,3446.3059,"2017-10-30"
22.0705,3507.7337,"2017-10-30"
22.253416,3481.194,"2017-10-30"
22.485,3409.0668,"2017-10-30"
22.665278,3360.2135,"2017-10-30"
22.532911,3341.8246,"2017-10-30"
22.157633,3362.6631,"2017-10-30"
21.171022,3362.8135,"2017-10-30"
21.101733,3360.9829,"2017-10-30"
21.131308,3341.4521,"2017-10-30"
21.187367,3384.6052,"2017-10-30"
21.198734,3326.5344,"2017-10-30"
21.261922,3387.612,"2017-10-30"
21.292604,3406.5624,"2017-10-30"
21.4493,3413.6496,"2017-10-30"
21.553222,3430.7451,"2017-10-30"
22.100089,3398.3443,"2017-10-30"
23.000275,3391.7635,"2017-10-30"
22.893643,3453.3868,"2017-10-30"
22.584242,3379.6137,"2017-10-30"
22.402322,3405.3617,"2017-10-30"
22.142522,3349.6534,"2017-10-30"
21.990549,3375.6753,"2017-10-30"
21.845044,3324.5437,"2017-10-30"
21.230656,3304.5556,"2017-10-30"
21.004144,3278.2049,"2017-10-30"
21.035956,3259.6727,"2017-10-30"
21.059708,3285.2131,"2017-10-30"
21.113626,3315.4884,"2017-10-30"
21.205356,3243.848,"2017-10-30"
21.338733,3269.839,"2017-10-30"
21.310567,3274.7014,"2017-10-30"
21.454747,3236.0475,"2017-10-30"
21.849489,3267.5014,"2017-10-30"
22.142689,3291.1646,"2017-10-30"
22.304633,3254.6022,"2017-10-30"
22.291011,3294.9445,"2017-10-30"
22.147804,3336.3519,"2017-10-30"
21.986209,3251.9188,"2017-10-30"
21.888933,3236.758,"2017-10-30"
21.682888,3294.0264,"2017-10-30"
21.153867,3289.9121,"2017-10-30"
21.072889,3283.9277,"2017-10-30"
21.060011,3238.2828,"2017-10-30"
21.130912,3268.563,"2017-10-30"
21.327033,3258.8469,"2017-10-30"
21.413692,3264.4161,"2017-10-30"
21.231167,3232.8935,"2017-10-30"
21.320089,3207.886,"2017-10-30"
21.662578,3235.011,"2017-10-30"
21.943958,3265.3238,"2017-10-30"
21.894389,3199.642,"2017-10-30"
21.869813,3222.5024,"2017-10-30"
21.930922,3181.3868,"2017-10-30"
21.9168,3196.8099,"2017-10-30"
21.842229,3143.8642,"2017-10-30"
21.705589,3173.7665,"2017-10-30"
21.108884,3176.7296,"2017-10-30"
21.071311,3169.2632,"2017-10-30"
21.086644,3138.8477,"2017-10-30"
