μ,Timestamp,μ/μ_max,Type
212.75712,1.51015845e+09,0.8399042,fePixel
200.52676,1.51049701e+09,0.79162226,fePixel
224.20787,1.51094633e+09,0.88510851,fePixel
213.46648,1.51143374e+09,0.84270456,fePixel
219.44803,1.51198675e+09,0.86631801,fePixel
222.92042,1.51239478e+09,0.88002599,fePixel
222.66333,1.51247284e+09,0.87901111,fePixel
214.08347,1.51311234e+09,0.84514027,fePixel
216.72364,1.51320061e+09,0.85556289,fePixel
209.05777,1.5132711e+09,0.82530025,fePixel
203.3763,1.51336576e+09,0.80287142,fePixel
217.00916,1.51370048e+09,0.85669004,fePixel
217.00562,1.51390191e+09,0.85667607,fePixel
235.83899,1.51888791e+09,0.93102481,fePixel
234.86122,1.51897758e+09,0.92716487,fePixel
246.45176,1.5190611e+09,0.972921,fePixel
245.80569,1.5191482e+09,0.97037051,fePixel
249.78791,1.51923634e+09,0.98609117,fePixel
252.40846,1.51932023e+09,0.99643636,fePixel
253.31117,1.5194077e+09,1,fePixel
248.95734,1.5196348e+09,0.98281233,fePixel
244.59131,1.51989997e+09,0.96557646,fePixel
238.80473,1.52019462e+09,0.94273271,fePixel
232.60629,1.52036374e+09,0.91826306,fePixel
234.82151,1.52044736e+09,0.9270081,fePixel
228.07431,1.52096012e+09,0.90037209,fePixel
229.4105,1.52106131e+09,0.90564699,fePixel
229.70856,1.52113676e+09,0.90682364,fePixel
228.99628,1.52121772e+09,0.90401176,fePixel
226.4264,1.52132016e+09,0.89386659,fePixel
242.40269,1.52174052e+09,0.95693641,fePixel
234.52208,1.52191504e+09,0.92582606,fePixel
235.41743,1.52209364e+09,0.92936063,fePixel
226.96813,1.52241954e+09,0.89600523,fePixel
229.22456,1.52346265e+09,0.90491294,fePixel
738.77596,1.51015845e+09,0.7695083,feCharge
663.37313,1.51049701e+09,0.69096879,feCharge
799.23214,1.51094633e+09,0.8324794,feCharge
744.37848,1.51143374e+09,0.77534388,feCharge
773.84714,1.51198675e+09,0.80603841,feCharge
793.94084,1.51239478e+09,0.82696799,feCharge
791.8759,1.51247284e+09,0.82481715,feCharge
738.96412,1.51311234e+09,0.76970429,feCharge
757.42546,1.51320061e+09,0.78893361,feCharge
713.90614,1.5132711e+09,0.74360392,feCharge
686.49794,1.51336576e+09,0.71505558,feCharge
759.76173,1.51370048e+09,0.79136706,feCharge
757.8228,1.51390191e+09,0.78934747,feCharge
852.43468,1.51888791e+09,0.88789512,feCharge
853.76136,1.51897758e+09,0.88927698,feCharge
917.12718,1.5190611e+09,0.95527876,feCharge
917.3399,1.5191482e+09,0.95550033,feCharge
942.16281,1.51923634e+09,0.98135584,feCharge
954.5305,1.51932023e+09,0.99423802,feCharge
960.06236,1.5194077e+09,1,feCharge
934.57221,1.5196348e+09,0.97344948,feCharge
920.05625,1.51989997e+09,0.95832968,feCharge
879.92954,1.52019462e+09,0.91653373,feCharge
837.15032,1.52036374e+09,0.87197494,feCharge
847.70538,1.52044736e+09,0.88296908,feCharge
820.50758,1.52096012e+09,0.85463988,feCharge
832.47125,1.52106131e+09,0.86710123,feCharge
829.19397,1.52113676e+09,0.86368762,feCharge
815.02697,1.52121772e+09,0.84893128,feCharge
799.70998,1.52132016e+09,0.83297712,feCharge
893.16051,1.52174052e+09,0.9303151,feCharge
857.06773,1.52191504e+09,0.89272089,feCharge
849.98256,1.52209364e+09,0.88534099,feCharge
809.38584,1.52241954e+09,0.84305549,feCharge
829.18497,1.52346265e+09,0.86367824,feCharge
0.31565177,1.51015845e+09,0.91380542,feFadc
0.29377286,1.51049701e+09,0.85046642,feFadc
0.34542558,1.51094633e+09,1,feFadc
0.33306616,1.51143374e+09,0.96421971,feFadc
0.23600896,1.51198675e+09,0.68324111,feFadc
0.24196597,1.51239478e+09,0.70048652,feFadc
0.24043517,1.51247284e+09,0.6960549,feFadc
0.2198525,1.51311234e+09,0.63646848,feFadc
0.22882931,1.51320061e+09,0.66245618,feFadc
0.21790095,1.5132711e+09,0.6308188,feFadc
0.15032074,1.51336576e+09,0.43517546,feFadc
0.16227212,1.51370048e+09,0.46977447,feFadc
0.16139669,1.51390191e+09,0.46724013,feFadc
0.15197298,1.51888791e+09,0.43995867,feFadc
0.15363608,1.51897758e+09,0.44477331,feFadc
0.16586276,1.5190611e+09,0.48016931,feFadc
0.16726298,1.5191482e+09,0.4842229,feFadc
0.17027513,1.51923634e+09,0.49294302,feFadc
0.17219132,1.51932023e+09,0.49849035,feFadc
0.17280233,1.5194077e+09,0.5002592,feFadc
0.16996408,1.5196348e+09,0.49204253,feFadc
0.16831577,1.51989997e+09,0.4872707,feFadc
0.16096677,1.52019462e+09,0.46599551,feFadc
0.15594623,1.52036374e+09,0.45146115,feFadc
0.15757613,1.52044736e+09,0.45617967,feFadc
0.15420887,1.52096012e+09,0.44643152,feFadc
0.15749433,1.52106131e+09,0.45594287,feFadc
0.15734564,1.52113676e+09,0.45551241,feFadc
0.15408717,1.52121772e+09,0.44607919,feFadc
0.15425313,1.52132016e+09,0.44655965,feFadc
0.17162226,1.52174052e+09,0.49684293,feFadc
0.16788321,1.52191504e+09,0.48601844,feFadc
0.16516409,1.52209364e+09,0.47814667,feFadc
0.15593282,1.52241954e+09,0.45142231,feFadc
0.15914762,1.52346265e+09,0.46072911,feFadc
