μ,Timestamp,μ/μ_max,Type
738.77596,1.51015845e+09,0.7695083,feCharge
663.37313,1.51049701e+09,0.69096879,feCharge
799.23214,1.51094633e+09,0.8324794,feCharge
744.37848,1.51143374e+09,0.77534388,feCharge
773.84714,1.51198675e+09,0.80603841,feCharge
793.94084,1.51239478e+09,0.82696799,feCharge
791.8759,1.51247284e+09,0.82481715,feCharge
738.96412,1.51311234e+09,0.76970429,feCharge
757.42546,1.51320061e+09,0.78893361,feCharge
713.90614,1.5132711e+09,0.74360392,feCharge
686.49794,1.51336576e+09,0.71505558,feCharge
759.76173,1.51370048e+09,0.79136706,feCharge
757.8228,1.51390191e+09,0.78934747,feCharge
852.43468,1.51888791e+09,0.88789512,feCharge
853.76136,1.51897758e+09,0.88927698,feCharge
917.12718,1.5190611e+09,0.95527876,feCharge
917.3399,1.5191482e+09,0.95550033,feCharge
942.16281,1.51923634e+09,0.98135584,feCharge
954.5305,1.51932023e+09,0.99423802,feCharge
960.06236,1.5194077e+09,1,feCharge
934.57221,1.5196348e+09,0.97344948,feCharge
920.05625,1.51989997e+09,0.95832968,feCharge
879.92954,1.52019462e+09,0.91653373,feCharge
837.15032,1.52036374e+09,0.87197494,feCharge
847.70538,1.52044736e+09,0.88296908,feCharge
820.50758,1.52096012e+09,0.85463988,feCharge
832.47125,1.52106131e+09,0.86710123,feCharge
829.19397,1.52113676e+09,0.86368762,feCharge
815.02697,1.52121772e+09,0.84893128,feCharge
799.70998,1.52132016e+09,0.83297712,feCharge
893.16051,1.52174052e+09,0.9303151,feCharge
857.06773,1.52191504e+09,0.89272089,feCharge
849.98256,1.52209364e+09,0.88534099,feCharge
809.38584,1.52241954e+09,0.84305549,feCharge
829.18497,1.52346265e+09,0.86367824,feCharge
