μ,Timestamp,μ/μ_max,Type
0.31565177,1.51015845e+09,0.91380542,feFadc
0.29377286,1.51049701e+09,0.85046642,feFadc
0.34542558,1.51094633e+09,1,feFadc
0.33306616,1.51143374e+09,0.96421971,feFadc
0.23600896,1.51198675e+09,0.68324111,feFadc
0.24196597,1.51239478e+09,0.70048652,feFadc
0.24043517,1.51247284e+09,0.6960549,feFadc
0.2198525,1.51311234e+09,0.63646848,feFadc
0.22882931,1.51320061e+09,0.66245618,feFadc
0.21790095,1.5132711e+09,0.6308188,feFadc
0.15032074,1.51336576e+09,0.43517546,feFadc
0.16227212,1.51370048e+09,0.46977447,feFadc
0.16139669,1.51390191e+09,0.46724013,feFadc
0.15197298,1.51888791e+09,0.43995867,feFadc
0.15363608,1.51897758e+09,0.44477331,feFadc
0.16586276,1.5190611e+09,0.48016931,feFadc
0.16726298,1.5191482e+09,0.4842229,feFadc
0.17027513,1.51923634e+09,0.49294302,feFadc
0.17219132,1.51932023e+09,0.49849035,feFadc
0.17280233,1.5194077e+09,0.5002592,feFadc
0.16996408,1.5196348e+09,0.49204253,feFadc
0.16831577,1.51989997e+09,0.4872707,feFadc
0.16096677,1.52019462e+09,0.46599551,feFadc
0.15594623,1.52036374e+09,0.45146115,feFadc
0.15757613,1.52044736e+09,0.45617967,feFadc
0.15420887,1.52096012e+09,0.44643152,feFadc
0.15749433,1.52106131e+09,0.45594287,feFadc
0.15734564,1.52113676e+09,0.45551241,feFadc
0.15408717,1.52121772e+09,0.44607919,feFadc
0.15425313,1.52132016e+09,0.44655965,feFadc
0.17162226,1.52174052e+09,0.49684293,feFadc
0.16788321,1.52191504e+09,0.48601844,feFadc
0.16516409,1.52209364e+09,0.47814667,feFadc
0.15593282,1.52241954e+09,0.45142231,feFadc
0.15914762,1.52346265e+09,0.46072911,feFadc
