μ,Timestamp,μ/μ_max,Type
212.75712,1.51015845e+09,0.8399042,fePixel
200.52676,1.51049701e+09,0.79162226,fePixel
224.20787,1.51094633e+09,0.88510851,fePixel
213.46648,1.51143374e+09,0.84270456,fePixel
219.44803,1.51198675e+09,0.86631801,fePixel
222.92042,1.51239478e+09,0.88002599,fePixel
222.66333,1.51247284e+09,0.87901111,fePixel
214.08347,1.51311234e+09,0.84514027,fePixel
216.72364,1.51320061e+09,0.85556289,fePixel
209.05777,1.5132711e+09,0.82530025,fePixel
203.3763,1.51336576e+09,0.80287142,fePixel
217.00916,1.51370048e+09,0.85669004,fePixel
217.00562,1.51390191e+09,0.85667607,fePixel
235.83899,1.51888791e+09,0.93102481,fePixel
234.86122,1.51897758e+09,0.92716487,fePixel
246.45176,1.5190611e+09,0.972921,fePixel
245.80569,1.5191482e+09,0.97037051,fePixel
249.78791,1.51923634e+09,0.98609117,fePixel
252.40846,1.51932023e+09,0.99643636,fePixel
253.31117,1.5194077e+09,1,fePixel
248.95734,1.5196348e+09,0.98281233,fePixel
244.59131,1.51989997e+09,0.96557646,fePixel
238.80473,1.52019462e+09,0.94273271,fePixel
232.60629,1.52036374e+09,0.91826306,fePixel
234.82151,1.52044736e+09,0.9270081,fePixel
228.07431,1.52096012e+09,0.90037209,fePixel
229.4105,1.52106131e+09,0.90564699,fePixel
229.70856,1.52113676e+09,0.90682364,fePixel
228.99628,1.52121772e+09,0.90401176,fePixel
226.4264,1.52132016e+09,0.89386659,fePixel
242.40269,1.52174052e+09,0.95693641,fePixel
234.52208,1.52191504e+09,0.92582606,fePixel
235.41743,1.52209364e+09,0.92936063,fePixel
226.96813,1.52241954e+09,0.89600523,fePixel
229.22456,1.52346265e+09,0.90491294,fePixel
