Normalization,peak,μ/μ_max,Timestamp,Type
(μ/T) / max,0.19862966,0.8399042,1.51015845e+09,fePixel
(μ/T) / max,0.68971989,0.7695083,1.51015845e+09,feCharge
(μ/T) / max,0.00029469192,0.91380542,1.51015845e+09,feFadc
(μ/T) / max,0.20333072,0.79162226,1.51049701e+09,fePixel
(μ/T) / max,0.67264903,0.69096879,1.51049701e+09,feCharge
(μ/T) / max,0.00029788067,0.85046642,1.51049701e+09,feFadc
(μ/T) / max,0.21706916,0.88510851,1.51094633e+09,fePixel
(μ/T) / max,0.77378482,0.8324794,1.51094633e+09,feCharge
(μ/T) / max,0.00033442733,1,1.51094633e+09,feFadc
(μ/T) / max,0.20065816,0.84270456,1.51143374e+09,fePixel
(μ/T) / max,0.6997146,0.77534388,1.51143374e+09,feCharge
(μ/T) / max,0.00031308167,0.96421971,1.51143374e+09,feFadc
(μ/T) / max,0.21326675,0.86631801,1.51198675e+09,fePixel
(μ/T) / max,0.75204989,0.80603841,1.51198675e+09,feCharge
(μ/T) / max,0.0002293612,0.68324111,1.51198675e+09,feFadc
(μ/T) / max,0.23148948,0.88002599,1.51239478e+09,fePixel
(μ/T) / max,0.82445993,0.82696799,1.51239478e+09,feCharge
(μ/T) / max,0.00025126714,0.70048652,1.51239478e+09,feFadc
(μ/T) / max,0.24202677,0.87901111,1.51247284e+09,fePixel
(μ/T) / max,0.86073966,0.82481715,1.51247284e+09,feCharge
(μ/T) / max,0.00026134409,0.6960549,1.51247284e+09,feFadc
(μ/T) / max,0.20603825,0.84514027,1.51311234e+09,fePixel
(μ/T) / max,0.71119396,0.76970429,1.51311234e+09,feCharge
(μ/T) / max,0.00021159047,0.63646848,1.51311234e+09,feFadc
(μ/T) / max,0.20748068,0.85556289,1.51320061e+09,fePixel
(μ/T) / max,0.72512232,0.78893361,1.51320061e+09,feCharge
(μ/T) / max,0.00021907006,0.66245618,1.51320061e+09,feFadc
(μ/T) / max,0.20825761,0.82530025,1.5132711e+09,fePixel
(μ/T) / max,0.71117369,0.74360392,1.5132711e+09,feCharge
(μ/T) / max,0.00021706695,0.6308188,1.5132711e+09,feFadc
(μ/T) / max,0.19852068,0.80287142,1.51336576e+09,fePixel
(μ/T) / max,0.67010777,0.71505558,1.51336576e+09,feCharge
(μ/T) / max,0.00014673182,0.43517546,1.51336576e+09,feFadc
(μ/T) / max,0.21729867,0.85669004,1.51370048e+09,fePixel
(μ/T) / max,0.76077531,0.79136706,1.51370048e+09,feCharge
(μ/T) / max,0.0001624886,0.46977447,1.51370048e+09,feFadc
(μ/T) / max,0.23936083,0.85667607,1.51390191e+09,fePixel
(μ/T) / max,0.83589121,0.78934747,1.51390191e+09,feCharge
(μ/T) / max,0.00017802325,0.46724013,1.51390191e+09,feFadc
(μ/T) / max,0.24694782,0.93102481,1.51888791e+09,fePixel
(μ/T) / max,0.8925873,0.88789512,1.51888791e+09,feCharge
(μ/T) / max,0.00015913143,0.43995867,1.51888791e+09,feFadc
(μ/T) / max,0.2457,0.92716487,1.51897758e+09,fePixel
(μ/T) / max,0.89316221,0.88927698,1.51897758e+09,feCharge
(μ/T) / max,0.00016072634,0.44477331,1.51897758e+09,feFadc
(μ/T) / max,0.25760688,0.972921,1.5190611e+09,fePixel
(μ/T) / max,0.95863902,0.95527876,1.5190611e+09,feCharge
(μ/T) / max,0.0001733702,0.48016931,1.5190611e+09,feFadc
(μ/T) / max,0.25670467,0.97037051,1.5191482e+09,fePixel
(μ/T) / max,0.95801459,0.95550033,1.5191482e+09,feCharge
