timestamp,RunPeriod,Interval,Median energy [keV]
1.5189e+09,17/02/2018,120,3.2629
1.5189e+09,17/02/2018,120,3.0304
1.5189e+09,17/02/2018,120,3.1199
1.5189e+09,17/02/2018,120,3.1723
1.5189e+09,17/02/2018,120,3.0071
1.5189e+09,17/02/2018,120,3.0326
1.5189e+09,17/02/2018,120,3.0165
1.519e+09,17/02/2018,120,3.1043
1.519e+09,17/02/2018,120,3.0254
1.519e+09,17/02/2018,120,3.0253
1.519e+09,17/02/2018,120,3.1707
1.519e+09,17/02/2018,120,3.1178
1.519e+09,17/02/2018,120,2.992
1.519e+09,17/02/2018,120,2.9627
1.519e+09,17/02/2018,120,3.0788
1.519e+09,17/02/2018,120,3.1866
1.519e+09,17/02/2018,120,2.9664
1.519e+09,17/02/2018,120,3.1655
1.519e+09,17/02/2018,120,3.1578
1.519e+09,17/02/2018,120,3.1361
1.5191e+09,17/02/2018,120,3.0253
1.5191e+09,17/02/2018,120,2.7878
1.5191e+09,17/02/2018,120,2.9384
1.5191e+09,17/02/2018,120,2.8934
1.5191e+09,17/02/2018,120,3.1127
1.5191e+09,17/02/2018,120,2.8669
1.5191e+09,17/02/2018,120,3.1571
1.5191e+09,17/02/2018,120,3.1223
1.5191e+09,17/02/2018,120,3.0214
1.5191e+09,17/02/2018,120,3.3896
1.5191e+09,17/02/2018,120,3.1092
1.5191e+09,17/02/2018,120,2.9944
1.5191e+09,17/02/2018,120,3.1166
1.5192e+09,17/02/2018,120,2.871
1.5192e+09,17/02/2018,120,3.0017
1.5192e+09,17/02/2018,120,3.2115
1.5192e+09,17/02/2018,120,3.0785
1.5192e+09,17/02/2018,120,3.0683
1.5192e+09,17/02/2018,120,3.0385
1.5192e+09,17/02/2018,120,2.9449
1.5192e+09,17/02/2018,120,3.1115
1.5192e+09,17/02/2018,120,2.895
1.5192e+09,17/02/2018,120,2.7734
1.5192e+09,17/02/2018,120,3.034
1.5192e+09,17/02/2018,120,2.9725
1.5193e+09,17/02/2018,120,3.3381
1.5193e+09,17/02/2018,120,2.7997
1.5193e+09,17/02/2018,120,3.1518
1.5193e+09,17/02/2018,120,3.11
1.5193e+09,17/02/2018,120,3.09
1.5193e+09,17/02/2018,120,2.928
1.5193e+09,17/02/2018,120,2.9495
1.5193e+09,17/02/2018,120,2.8912
1.5193e+09,17/02/2018,120,2.8767
1.5193e+09,17/02/2018,120,3.0162
1.5194e+09,17/02/2018,120,3.1269
1.5194e+09,17/02/2018,120,2.9797
1.5194e+09,17/02/2018,120,3.0667
1.5194e+09,17/02/2018,120,3.0474
1.5194e+09,17/02/2018,120,3.0704
1.5194e+09,17/02/2018,120,2.9492
1.5194e+09,17/02/2018,120,3.013
1.5194e+09,17/02/2018,120,2.8475
1.5194e+09,17/02/2018,120,2.8465
1.5194e+09,17/02/2018,120,3.0498
1.5194e+09,17/02/2018,120,2.9122
1.5195e+09,17/02/2018,120,2.938
1.5195e+09,17/02/2018,120,3.1348
1.5195e+09,17/02/2018,120,3.2572
1.5195e+09,17/02/2018,120,2.9523
1.5195e+09,17/02/2018,120,2.8847
1.5195e+09,17/02/2018,120,3.0374
1.5195e+09,17/02/2018,120,2.9926
1.5195e+09,17/02/2018,120,2.8226
1.5195e+09,17/02/2018,120,2.9927
1.5195e+09,17/02/2018,120,3.0421
1.5195e+09,17/02/2018,120,2.8308
1.5195e+09,17/02/2018,120,2.9915
1.5195e+09,17/02/2018,120,3.1875
1.5195e+09,17/02/2018,120,2.9229
1.5196e+09,17/02/2018,120,3.0692
1.5196e+09,17/02/2018,120,3.0418
1.5196e+09,17/02/2018,120,2.9199
1.5196e+09,17/02/2018,120,3.0392
1.5196e+09,17/02/2018,120,2.8077
1.5196e+09,17/02/2018,120,2.8715
1.5196e+09,17/02/2018,120,2.941
1.5196e+09,17/02/2018,120,3.0001
1.5196e+09,17/02/2018,120,2.9504
1.5196e+09,17/02/2018,120,2.999
1.5196e+09,17/02/2018,120,3.1648
1.5196e+09,17/02/2018,120,2.8611
1.5197e+09,17/02/2018,120,2.7709
1.5197e+09,17/02/2018,120,2.9744
1.5197e+09,17/02/2018,120,3.0134
1.5197e+09,17/02/2018,120,2.8967
1.5197e+09,17/02/2018,120,3.0981
1.5197e+09,17/02/2018,120,3.1344
1.5197e+09,17/02/2018,120,2.903
1.5197e+09,17/02/2018,120,2.9356
1.5197e+09,17/02/2018,120,2.691
1.5197e+09,17/02/2018,120,2.9113
1.5197e+09,17/02/2018,120,2.7749
1.5197e+09,17/02/2018,120,3.0119
1.5197e+09,17/02/2018,120,3.0315
1.5198e+09,17/02/2018,120,2.876
1.5198e+09,17/02/2018,120,3.0978
1.5198e+09,17/02/2018,120,2.9845
1.5198e+09,17/02/2018,120,3.098
1.5198e+09,17/02/2018,120,3.1003
1.5198e+09,17/02/2018,120,3.0433
1.5198e+09,17/02/2018,120,3.009
1.5198e+09,17/02/2018,120,2.9451
1.5198e+09,17/02/2018,120,2.9621
1.5198e+09,17/02/2018,120,2.9518
1.5198e+09,17/02/2018,120,2.941
1.5198e+09,17/02/2018,120,2.952
1.5198e+09,17/02/2018,120,3.1326
1.5198e+09,17/02/2018,120,2.9025
1.5199e+09,17/02/2018,120,3.0242
1.5199e+09,17/02/2018,120,3.166
1.5199e+09,17/02/2018,120,2.8402
1.5199e+09,17/02/2018,120,2.933
1.5199e+09,17/02/2018,120,2.8003
1.5199e+09,17/02/2018,120,2.7569
1.5199e+09,17/02/2018,120,3.094
1.5199e+09,17/02/2018,120,3.0602
1.5199e+09,17/02/2018,120,3.0702
1.5199e+09,17/02/2018,120,3.1054
1.5199e+09,17/02/2018,120,3.0692
1.52e+09,17/02/2018,120,2.9637
1.52e+09,17/02/2018,120,2.8958
1.52e+09,17/02/2018,120,2.8001
1.52e+09,17/02/2018,120,2.9266
1.52e+09,17/02/2018,120,3.0666
1.52e+09,17/02/2018,120,3.0041
1.52e+09,17/02/2018,120,2.972
1.52e+09,17/02/2018,120,3.0383
