Median energy [keV],Density,RunPeriod,Interval
2,3.13605963e-16,17/02/2018,30
2.002002,4.75369882e-16,17/02/2018,30
2.004004,7.18698687e-16,17/02/2018,30
2.006006,1.08375193e-15,17/02/2018,30
2.008008,1.62997436e-15,17/02/2018,30
2.01001,2.44511629e-15,17/02/2018,30
2.012012,3.65835744e-15,17/02/2018,30
2.014014,5.45934614e-15,17/02/2018,30
2.016016,8.12574169e-15,17/02/2018,30
2.018018,1.20629434e-14,17/02/2018,30
2.02002,1.78612347e-14,17/02/2018,30
2.022022,2.63777399e-14,17/02/2018,30
2.024024,3.88536313e-14,17/02/2018,30
2.026026,5.70812653e-14,17/02/2018,30
2.028028,8.36418293e-14,17/02/2018,30
2.03003,1.22242275e-13,17/02/2018,30
2.032032,1.78191632e-13,17/02/2018,30
2.034034,2.59072422e-13,17/02/2018,30
2.036036,3.7568433e-13,17/02/2018,30
2.038038,5.43366684e-13,17/02/2018,30
2.04004,7.83846425e-13,17/02/2018,30
2.042042,1.12781281e-12,17/02/2018,30
2.044044,1.61849423e-12,17/02/2018,30
2.046046,2.3166125e-12,17/02/2018,30
2.048048,3.30722518e-12,17/02/2018,30
2.0500501,4.70914747e-12,17/02/2018,30
2.0520521,6.68788806e-12,17/02/2018,30
2.0540541,9.47335703e-12,17/02/2018,30
2.0560561,1.33840345e-11,17/02/2018,30
2.0580581,1.88598595e-11,17/02/2018,30
2.0600601,2.65068519e-11,17/02/2018,30
2.0620621,3.71574733e-11,17/02/2018,30
2.0640641,5.19520343e-11,17/02/2018,30
2.0660661,7.24481562e-11,17/02/2018,30
2.0680681,1.00767516e-10,17/02/2018,30
2.0700701,1.39791975e-10,17/02/2018,30
2.0720721,1.93424928e-10,17/02/2018,30
2.0740741,2.66938498e-10,17/02/2018,30
2.0760761,3.67433365e-10,17/02/2018,30
2.0780781,5.04445937e-10,17/02/2018,30
2.0800801,6.90747592e-10,17/02/2018,30
2.0820821,9.43393543e-10,17/02/2018,30
2.0840841,1.28509504e-09,17/02/2018,30
2.0860861,1.74600903e-09,17/02/2018,30
2.0880881,2.36606505e-09,17/02/2018,30
2.0900901,3.19798116e-09,17/02/2018,30
2.0920921,4.3111608e-09,17/02/2018,30
2.0940941,5.79671192e-09,17/02/2018,30
2.0960961,7.77389146e-09,17/02/2018,30
2.0980981,1.03983534e-08,17/02/2018,30
2.1001001,1.38726717e-08,17/02/2018,30
2.1021021,1.84597228e-08,17/02/2018,30
2.1041041,2.44996498e-08,17/02/2018,30
2.1061061,3.24312971e-08,17/02/2018,30
2.1081081,4.28192066e-08,17/02/2018,30
2.1101101,5.63875059e-08,17/02/2018,30
2.1121121,7.40623103e-08,17/02/2018,30
2.1141141,9.70245994e-08,17/02/2018,30
2.1161161,1.26775939e-07,17/02/2018,30
2.1181181,1.65219891e-07,17/02/2018,30
2.1201201,2.14762528e-07,17/02/2018,30
2.1221221,2.78436091e-07,17/02/2018,30
2.1241241,3.60050622e-07,17/02/2018,30
2.1261261,4.64379249e-07,17/02/2018,30
2.1281281,5.973838e-07,17/02/2018,30
2.1301301,7.66488562e-07,17/02/2018,30
2.1321321,9.8091129e-07,17/02/2018,30
2.1341341,1.252062e-06,17/02/2018,30
2.1361361,1.59402167e-06,17/02/2018,30
2.1381381,2.02411485e-06,17/02/2018,30
2.1401401,2.56359189e-06,17/02/2018,30
2.1421421,3.238439e-06,17/02/2018,30
2.1441441,4.08033615e-06,17/02/2018,30
2.1461461,5.12778576e-06,17/02/2018,30
2.1481481,6.42743716e-06,17/02/2018,30
2.1501502,8.0356349e-06,17/02/2018,30
2.1521522,1.0020221e-05,17/02/2018,30
2.1541542,1.2462627e-05,17/02/2018,30
2.1561562,1.5460282e-05,17/02/2018,30
2.1581582,1.9129395e-05,17/02/2018,30
2.1601602,2.3608126e-05,17/02/2018,30
2.1621622,2.9060208e-05,17/02/2018,30
2.1641642,3.5679058e-05,17/02/2018,30
2.1661662,4.3692413e-05,17/02/2018,30
2.1681682,5.3367545e-05,17/02/2018,30
2.1701702,6.5017095e-05,17/02/2018,30
2.1721722,7.9005564e-05,17/02/2018,30
2.1741742,9.5756493e-05,17/02/2018,30
2.1761762,0.00011576038,17/02/2018,30
2.1781782,0.00013958331,17/02/2018,30
2.1801802,0.00016787643,17/02/2018,30
2.1821822,0.00020138606,17/02/2018,30
2.1841842,0.00024096471,17/02/2018,30
2.1861862,0.00028758267,17/02/2018,30
2.1881882,0.00034234043,17/02/2018,30
2.1901902,0.00040648158,17/02/2018,30
2.1921922,0.00048140635,17/02/2018,30
2.1941942,0.0005686855,17/02/2018,30
2.1961962,0.00067007445,17/02/2018,30
2.1981982,0.00078752757,17/02/2018,30
2.2002002,0.0009232123,17/02/2018,30
2.2022022,0.001079523,17/02/2018,30
2.2042042,0.0012590939,17/02/2018,30
2.2062062,0.0014648116,17/02/2018,30
2.2082082,0.0016998261,17/02/2018,30
2.2102102,0.0019675598,17/02/2018,30
2.2122122,0.0022717152,17/02/2018,30
2.2142142,0.0026162797,17/02/2018,30
2.2162162,0.0030055279,17/02/2018,30
2.2182182,0.0034440205,17/02/2018,30
2.2202202,0.0039365992,17/02/2018,30
2.2222222,0.0044883783,17/02/2018,30
2.2242242,0.0051047311,17/02/2018,30
2.2262262,0.0057912717,17/02/2018,30
2.2282282,0.0065538319,17/02/2018,30
2.2302302,0.0073984319,17/02/2018,30
2.2322322,0.0083312465,17/02/2018,30
2.2342342,0.0093585644,17/02/2018,30
2.2362362,0.010486742,17/02/2018,30
2.2382382,0.011722154,17/02/2018,30
2.2402402,0.013071131,17/02/2018,30
2.2422422,0.014539904,17/02/2018,30
2.2442442,0.016134529,17/02/2018,30
2.2462462,0.017860824,17/02/2018,30
2.2482482,0.019724287,17/02/2018,30
2.2502503,0.021730021,17/02/2018,30
2.2522523,0.023882654,17/02/2018,30
2.2542543,0.026186259,17/02/2018,30
2.2562563,0.02864427,17/02/2018,30
2.2582583,0.03125941,17/02/2018,30
2.2602603,0.034033608,17/02/2018,30
2.2622623,0.036967931,17/02/2018,30
2.2642643,0.040062517,17/02/2018,30
2.2662663,0.043316518,17/02/2018,30
2.2682683,0.046728044,17/02/2018,30
2.2702703,0.050294127,17/02/2018,30
2.2722723,0.054010686,17/02/2018,30
2.2742743,0.057872512,17/02/2018,30
2.2762763,0.061873259,17/02/2018,30
2.2782783,0.066005454,17/02/2018,30
2.2802803,0.070260516,17/02/2018,30
2.2822823,0.074628796,17/02/2018,30
2.2842843,0.079099626,17/02/2018,30
2.2862863,0.083661387,17/02/2018,30
2.2882883,0.088301586,17/02/2018,30
2.2902903,0.093006958,17/02/2018,30
2.2922923,0.097763568,17/02/2018,30
2.2942943,0.10255694,17/02/2018,30
2.2962963,0.10737217,17/02/2018,30
2.2982983,0.11219411,17/02/2018,30
2.3003003,0.11700747,17/02/2018,30
2.3023023,0.12179701,17/02/2018,30
2.3043043,0.12654771,17/02/2018,30
2.3063063,0.1312449,17/02/2018,30
2.3083083,0.13587448,17/02/2018,30
2.3103103,0.14042305,17/02/2018,30
2.3123123,0.14487811,17/02/2018,30
2.3143143,0.14922823,17/02/2018,30
2.3163163,0.15346318,17/02/2018,30
2.3183183,0.15757409,17/02/2018,30
2.3203203,0.16155365,17/02/2018,30
2.3223223,0.16539619,17/02/2018,30
2.3243243,0.16909781,17/02/2018,30
2.3263263,0.17265654,17/02/2018,30
2.3283283,0.17607239,17/02/2018,30
2.3303303,0.17934745,17/02/2018,30
2.3323323,0.18248599,17/02/2018,30
2.3343343,0.18549448,17/02/2018,30
2.3363363,0.18838161,17/02/2018,30
2.3383383,0.19115837,17/02/2018,30
2.3403403,0.193838,17/02/2018,30
2.3423423,0.19643596,17/02/2018,30
2.3443443,0.19896995,17/02/2018,30
2.3463463,0.20145979,17/02/2018,30
2.3483483,0.20392738,17/02/2018,30
2.3503504,0.20639659,17/02/2018,30
2.3523524,0.20889315,17/02/2018,30
2.3543544,0.2114445,17/02/2018,30
2.3563564,0.21407965,17/02/2018,30
2.3583584,0.21682902,17/02/2018,30
2.3603604,0.21972424,17/02/2018,30
2.3623624,0.22279792,17/02/2018,30
2.3643644,0.22608351,17/02/2018,30
2.3663664,0.22961501,17/02/2018,30
2.3683684,0.23342676,17/02/2018,30
2.3703704,0.23755318,17/02/2018,30
2.3723724,0.24202855,17/02/2018,30
2.3743744,0.24688675,17/02/2018,30
2.3763764,0.25216098,17/02/2018,30
2.3783784,0.25788358,17/02/2018,30
2.3803804,0.26408572,17/02/2018,30
2.3823824,0.27079723,17/02/2018,30
2.3843844,0.27804635,17/02/2018,30
