Median energy [keV],Density,RunPeriod,Interval
2,0.066993911,30/10/2017,30
2.002002,0.07036626,30/10/2017,30
2.004004,0.073716872,30/10/2017,30
2.006006,0.077026936,30/10/2017,30
2.008008,0.080277095,30/10/2017,30
2.01001,0.083447622,30/10/2017,30
2.012012,0.086518619,30/10/2017,30
2.014014,0.089470216,30/10/2017,30
2.016016,0.092282784,30/10/2017,30
2.018018,0.09493715,30/10/2017,30
2.02002,0.097414809,30/10/2017,30
2.022022,0.099698144,30/10/2017,30
2.024024,0.10177063,30/10/2017,30
2.026026,0.10361703,30/10/2017,30
2.028028,0.10522359,30/10/2017,30
2.03003,0.1065782,30/10/2017,30
2.032032,0.10767056,30/10/2017,30
2.034034,0.10849228,30/10/2017,30
2.036036,0.10903702,30/10/2017,30
2.038038,0.11066697,30/10/2017,30
2.04004,0.1108676,30/10/2017,30
2.042042,0.1108159,30/10/2017,30
2.044044,0.11051767,30/10/2017,30
2.046046,0.10998116,30/10/2017,30
2.048048,0.10921696,30/10/2017,30
2.0500501,0.10823795,30/10/2017,30
2.0520521,0.10705915,30/10/2017,30
2.0540541,0.1056976,30/10/2017,30
2.0560561,0.10417216,30/10/2017,30
2.0580581,0.10250332,30/10/2017,30
2.0600601,0.10071299,30/10/2017,30
2.0620621,0.098824249,30/10/2017,30
2.0640641,0.096861098,30/10/2017,30
2.0660661,0.094848195,30/10/2017,30
2.0680681,0.092810582,30/10/2017,30
2.0700701,0.090773401,30/10/2017,30
2.0720721,0.088761621,30/10/2017,30
2.0740741,0.086799754,30/10/2017,30
2.0760761,0.084911587,30/10/2017,30
2.0780781,0.083119911,30/10/2017,30
2.0800801,0.081446272,30/10/2017,30
2.0820821,0.079910733,30/10/2017,30
2.0840841,0.078531648,30/10/2017,30
2.0860861,0.077325462,30/10/2017,30
2.0880881,0.076306529,30/10/2017,30
2.0900901,0.075486955,30/10/2017,30
2.0920921,0.074876464,30/10/2017,30
2.0940941,0.074482291,30/10/2017,30
2.0960961,0.074309105,30/10/2017,30
2.0980981,0.074358957,30/10/2017,30
2.1001001,0.074631257,30/10/2017,30
2.1021021,0.07512278,30/10/2017,30
2.1041041,0.075827703,30/10/2017,30
2.1061061,0.076737667,30/10/2017,30
2.1081081,0.07784187,30/10/2017,30
2.1101101,0.079127184,30/10/2017,30
2.1121121,0.080578299,30/10/2017,30
2.1141141,0.082177895,30/10/2017,30
2.1161161,0.083906828,30/10/2017,30
2.1181181,0.085744345,30/10/2017,30
2.1201201,0.088914343,30/10/2017,30
2.1221221,0.091104694,30/10/2017,30
2.1241241,0.093362855,30/10/2017,30
2.1261261,0.095667382,30/10/2017,30
2.1281281,0.097996756,30/10/2017,30
2.1301301,0.10032966,30/10/2017,30
2.1321321,0.10264527,30/10/2017,30
2.1341341,0.10619963,30/10/2017,30
