timestamp,RunPeriod,Interval,Median energy [keV]
1.5094e+09,30/10/2017,120,3.0535
1.5094e+09,30/10/2017,120,2.9542
1.5094e+09,30/10/2017,120,3.0577
1.5094e+09,30/10/2017,120,2.8532
1.5094e+09,30/10/2017,120,2.908
1.5094e+09,30/10/2017,120,2.8838
1.5094e+09,30/10/2017,120,2.9067
1.5094e+09,30/10/2017,120,3.1924
1.5094e+09,30/10/2017,120,3.0771
1.5095e+09,30/10/2017,120,2.841
1.5095e+09,30/10/2017,120,2.8539
1.5095e+09,30/10/2017,120,3.0283
1.5095e+09,30/10/2017,120,2.9102
1.5095e+09,30/10/2017,120,3.1522
1.5095e+09,30/10/2017,120,3.0166
1.5095e+09,30/10/2017,120,3.0401
1.5095e+09,30/10/2017,120,2.8549
1.5095e+09,30/10/2017,120,2.9708
1.5095e+09,30/10/2017,120,2.8882
1.5095e+09,30/10/2017,120,2.9558
1.5095e+09,30/10/2017,120,3.1268
1.5095e+09,30/10/2017,120,3.1248
1.5095e+09,30/10/2017,120,2.9519
1.5096e+09,30/10/2017,120,2.8424
1.5096e+09,30/10/2017,120,2.7341
1.5096e+09,30/10/2017,120,2.9889
1.5096e+09,30/10/2017,120,3.0134
1.5096e+09,30/10/2017,120,2.8063
1.5096e+09,30/10/2017,120,2.7193
1.5096e+09,30/10/2017,120,2.9979
1.5096e+09,30/10/2017,120,2.8787
1.5096e+09,30/10/2017,120,2.9999
1.5096e+09,30/10/2017,120,2.8812
1.5096e+09,30/10/2017,120,2.7943
1.5096e+09,30/10/2017,120,2.8545
1.5096e+09,30/10/2017,120,2.6991
1.5096e+09,30/10/2017,120,2.7717
1.5097e+09,30/10/2017,120,3.0392
1.5097e+09,30/10/2017,120,2.8197
1.5097e+09,30/10/2017,120,2.9657
1.5097e+09,30/10/2017,120,2.7765
1.5097e+09,30/10/2017,120,3.1118
1.5097e+09,30/10/2017,120,2.8362
1.5097e+09,30/10/2017,120,3.0777
1.5097e+09,30/10/2017,120,2.7385
1.5097e+09,30/10/2017,120,2.7764
1.5097e+09,30/10/2017,120,2.863
1.5097e+09,30/10/2017,120,2.7589
1.5097e+09,30/10/2017,120,2.7574
1.5097e+09,30/10/2017,120,3.1172
1.5097e+09,30/10/2017,120,2.7628
1.5097e+09,30/10/2017,120,2.9116
1.5098e+09,30/10/2017,120,2.725
1.5098e+09,30/10/2017,120,2.8346
1.5098e+09,30/10/2017,120,2.9129
1.5098e+09,30/10/2017,120,2.8637
1.5098e+09,30/10/2017,120,2.7221
1.5098e+09,30/10/2017,120,2.8717
1.5098e+09,30/10/2017,120,2.7635
1.5098e+09,30/10/2017,120,2.8038
1.5098e+09,30/10/2017,120,2.8751
