timestamp,RunPeriod,Interval,Median energy [keV]
1.5094e+09,30/10/2017,90,2.9946
1.5094e+09,30/10/2017,90,3.0352
1.5094e+09,30/10/2017,90,2.9746
1.5094e+09,30/10/2017,90,3.1431
1.5094e+09,30/10/2017,90,2.8803
1.5094e+09,30/10/2017,90,2.8203
1.5094e+09,30/10/2017,90,2.9543
1.5094e+09,30/10/2017,90,2.832
1.5094e+09,30/10/2017,90,2.9498
1.5094e+09,30/10/2017,90,3.0344
1.5094e+09,30/10/2017,90,3.1277
1.5094e+09,30/10/2017,90,2.9756
1.5095e+09,30/10/2017,90,3.0014
1.5095e+09,30/10/2017,90,2.7208
1.5095e+09,30/10/2017,90,2.929
1.5095e+09,30/10/2017,90,3.1282
1.5095e+09,30/10/2017,90,2.9356
1.5095e+09,30/10/2017,90,3.0624
1.5095e+09,30/10/2017,90,3.038
1.5095e+09,30/10/2017,90,3.0152
1.5095e+09,30/10/2017,90,3.2064
1.5095e+09,30/10/2017,90,2.8785
1.5095e+09,30/10/2017,90,2.8698
1.5095e+09,30/10/2017,90,2.9072
1.5095e+09,30/10/2017,90,2.9551
1.5095e+09,30/10/2017,90,2.8674
1.5095e+09,30/10/2017,90,2.8927
1.5095e+09,30/10/2017,90,3.2819
1.5095e+09,30/10/2017,90,3.1947
1.5095e+09,30/10/2017,90,2.9396
1.5096e+09,30/10/2017,90,2.9835
1.5096e+09,30/10/2017,90,2.783
1.5096e+09,30/10/2017,90,2.7291
1.5096e+09,30/10/2017,90,2.8603
1.5096e+09,30/10/2017,90,2.9787
1.5096e+09,30/10/2017,90,3.0006
1.5096e+09,30/10/2017,90,2.8122
1.5096e+09,30/10/2017,90,2.7221
1.5096e+09,30/10/2017,90,2.8685
1.5096e+09,30/10/2017,90,3.3937
1.5096e+09,30/10/2017,90,2.88
1.5096e+09,30/10/2017,90,2.8534
1.5096e+09,30/10/2017,90,3.0214
1.5096e+09,30/10/2017,90,2.9907
1.5096e+09,30/10/2017,90,2.8031
1.5096e+09,30/10/2017,90,2.6895
1.5096e+09,30/10/2017,90,2.9824
1.5096e+09,30/10/2017,90,2.6707
1.5096e+09,30/10/2017,90,2.7133
1.5096e+09,30/10/2017,90,2.9111
1.5097e+09,30/10/2017,90,3.0213
1.5097e+09,30/10/2017,90,2.8297
