fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.076923077,4.3207727,6.4490006,1509387848,3.0124947,2.115474,1.2457815,5.8048681,16.355784,1.7837709,3.6506742,97.641453,2.6481453,5.0060231,1.3783921,0.09859009,18.920045,12.451678,3.7245809,0.0066090364,7.8133259,background,30/10/2017
0.074626866,4.2554395,11.089897,1509393262,2.9940362,2.4483469,1.2193114,4.8657308,15.775061,1.6345139,3.3533201,73.628883,2.261008,4.9110235,1.516219,0.090752793,18.256137,7.9556251,3.577867,0.0053725513,6.7680564,background,30/10/2017
0.073333333,4.2406874,88.765422,1509398679,2.9767366,7.648097,1.0231505,5.001078,16.287772,1.6933001,3.3653483,104.80816,6.9080892,4.8197138,0.42976619,0.096088799,18.049254,76.357231,3.6630535,0.0054079078,10.457718,background,30/10/2017
0.062781532,4.6198311,17.757278,1509404093,3.1471007,3.2464513,1.6514468,5.8713953,17.2113,1.8404306,4.0471191,96.726088,3.4552426,5.1427667,2.7596458,0.085963279,19.453902,18.667758,3.7242646,0.0059894895,8.1265714,background,30/10/2017
0.08125,4.2023029,7.8607414,1509409500,2.8651712,2.303895,1.1609458,4.5381605,16.227128,1.9161097,4.9750285,71.99201,2.4543217,4.7700643,1.825193,0.093910076,18.037672,9.2242739,3.3682291,0.0052698282,6.1121092,background,30/10/2017
0.06936648,4.5566954,7.8483675,1509414898,2.7984192,1.9473181,1.2487809,5.4995864,17.662878,2.1598828,5.6692789,61.117703,1.6811258,5.0978881,1.6342072,0.082549504,19.082473,5.1335853,3.5283201,0.0047081732,5.5233881,background,30/10/2017
0.063380282,4.4124718,18.010852,1509420318,2.9240048,3.197205,1.4175194,4.835213,16.570092,1.587225,2.8715655,99.694094,2.7872594,5.0387754,1.8545909,0.087384635,19.044465,12.562748,3.6192598,0.0058953407,8.1527938,background,30/10/2017
0.078947368,4.1569726,1.9683339,1509425733,2.8149797,1.3666829,1.3253518,5.902198,15.822067,2.0327538,5.1494256,73.859483,1.3829604,4.834497,1.6440135,0.10032815,18.494145,1.9597519,3.4865844,0.0067119166,6.0306322,background,30/10/2017
0.068965517,4.1864455,26.618468,1509431158,2.952935,3.7772398,1.3045701,6.4729624,16.254743,2.0493089,4.8334215,104.4,3.7594999,4.960281,1.4709009,0.088656178,18.756265,26.938781,3.5940077,0.005416922,9.0364591,background,30/10/2017
0.068493151,4.3094524,3.0647273,1509436575,3.0399952,1.6585948,1.5657224,5.1797887,16.353728,1.9298933,4.9040127,55.669688,1.3576197,4.9088121,3.2948316,0.084908188,18.191444,2.0171483,3.5861975,0.0049568672,5.710069,background,30/10/2017
0.080645161,4.2098743,16.887138,1509442010,3.1041286,3.124991,1.0484944,6.1771798,16.232879,1.8749769,4.2316831,72.95101,2.8078608,4.7214781,0.90715917,0.09684487,17.821914,13.284694,3.6844371,0.0058004686,6.7774768,background,30/10/2017
0.075958637,4.3446127,6.7421931,1509447435,2.9675695,2.100391,1.3049975,4.1219521,16.567759,1.5016542,2.8157253,82.364185,1.8336384,4.9328202,2.1035265,0.095400403,18.953045,4.863578,3.4451322,0.0064256628,6.6542575,background,30/10/2017
0.075378788,4.0087741,12.4999,1509452849,2.9882008,2.7891787,1.0281625,4.7989286,15.706788,1.5510951,2.7775917,103.3551,3.1535464,4.9063506,0.51249961,0.098652789,18.442585,17.000354,3.5074931,0.0067651578,9.0515496,background,30/10/2017
0.078125,4.2543532,2.9671449,1509458236,2.7249975,1.4454502,1.2227857,5.8836834,16.066691,2.181382,5.8443127,60.160603,1.532366,4.675075,1.6717996,0.093491273,17.592425,3.1499209,3.4127037,0.0050538351,4.9049858,background,30/10/2017
0.084269663,3.8628706,1.3070778,1509463660,2.9117496,1.2355532,1.1075713,4.1019276,14.792897,1.818933,4.7503537,60.921927,1.1081631,4.5382908,0.88010729,0.10272462,17.238992,0.93633704,3.351165,0.0071489566,5.432134,background,30/10/2017
0.071497029,4.2019242,33.679285,1509469079,3.0850224,4.3230442,1.249316,6.4464783,15.919522,1.7290048,2.9106571,113.99641,4.2418111,4.9311159,1.335088,0.093528329,18.529005,30.435209,3.8012561,0.0058272755,9.7051363,background,30/10/2017
0.078947368,4.0788997,12.332686,1509474495,2.940067,2.5363255,1.3657413,7.882809,15.582002,3.2649503,19.624881,60.96318,2.5524919,4.5749378,2.6909133,0.099106155,17.710771,10.756044,3.64202,0.0059982197,4.8318127,background,30/10/2017
0.081481481,3.9721162,3.242397,1509479902,3.0371732,1.5933097,1.3327442,6.2520619,15.474805,1.5170438,2.4257688,53.577818,1.7033358,4.5285987,2.2831779,0.099343829,17.309933,4.3708741,3.7216781,0.0064267692,4.7399922,background,30/10/2017
0.08045977,4.1168025,3.2158569,1509485295,3.0411887,1.6300442,1.0587209,5.4746823,16.187491,1.724725,3.2536308,59.3388,1.566392,4.6507734,1.2194481,0.09261161,17.814364,3.1674429,3.7455513,0.0047900136,5.1028504,background,30/10/2017
0.079077645,4.4045166,7.218232,1509490750,3.0105357,2.1432165,1.0924961,4.4672575,16.394632,1.5665647,3.0555826,85.407672,2.2470573,4.900445,0.94760115,0.095248705,18.754148,7.1706942,3.5237022,0.0059745363,6.4898205,background,30/10/2017
0.067114094,4.4996465,7.9002374,1509496151,3.1249097,2.0674038,1.4662114,4.4379132,16.493112,1.5820192,2.769953,70.61008,2.2396344,4.9698722,2.5929156,0.081879155,18.570323,9.0320208,3.5769382,0.0050373319,6.0459281,background,30/10/2017
0.074380165,4.2475344,5.7684698,1509501556,2.8560885,1.9363343,1.1496131,4.7695111,15.907706,1.9636647,4.5757667,73.62381,2.233366,4.8805403,0.98693121,0.091206898,18.304788,8.3325804,3.4543513,0.005024414,5.9885907,background,30/10/2017
0.06741573,4.1218929,7.4170721,1509506963,2.8651809,2.3460286,1.1889189,6.1542602,15.645594,1.8670908,4.0169702,95.041994,2.482999,4.9103301,1.3563557,0.0879765,18.20877,7.8132829,3.5725593,0.0057322073,7.9558525,background,30/10/2017
0.07826087,4.3385805,8.5773688,1509512424,2.9053415,2.2989952,1.2912056,4.7947692,15.81804,2.2480555,6.6530427,61.641812,1.958358,4.7316479,1.5836838,0.091305119,17.678809,5.9743579,3.4016573,0.0054645772,5.8444763,background,30/10/2017
0.073486259,4.1338594,7.4207096,1509517881,2.9651651,2.2179064,1.2675478,5.5292848,15.768797,1.8473969,4.0478045,85.345584,2.6363542,4.8475087,1.3756252,0.091983794,18.05683,10.270617,3.5981506,0.0061297573,7.0639678,background,30/10/2017
0.076338768,4.2115993,6.5105045,1509523333,2.8639135,1.924089,1.0785728,7.22216,15.678348,1.7257901,2.8563894,65.458663,2.2456942,4.7155027,0.94348616,0.097336822,17.858746,8.9313135,3.6879311,0.0058787191,5.1757059,background,30/10/2017
