idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod
0,90,25,1509385170,1509390570,90,0,253,0,2197,0,5.87236001e+06,2926.9203,3044.0824,2842.0496,2.8399112,1.9452488,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
1,90,25,1509390570,1509395980,90.166667,254,496,2233,4465,0,4.83165748e+06,2921.9042,3027.9902,2814.1254,3.0162972,1.5149909,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
2,90,25,1509395980,1509401400,90.333333,497,757,4476,6694,0,5.64883407e+06,2934.3861,3045.225,2838.3288,2.9273807,1.6586849,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
3,90,25,1509401400,1509406801,90.016667,758,1009,6706,8941,0,5.78524487e+06,2935.6462,3057.1545,2850.9471,2.7693368,2.3541483,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
4,90,25,1509406801,1509412222,90.35,1010,1271,8945,11170,0,6.03648495e+06,2940.0229,3060.29,2865.563,2.7824986,2.6952838,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
5,90,25,1509412222,1509417630,90.133333,1272,1517,11179,13387,0,5.70700844e+06,2929.3004,3054.5859,2855.6785,2.7235824,1.9683849,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
6,90,25,1509417630,1509423108,91.3,1518,1750,13398,15630,0,5.1356229e+06,2924.9157,3042.4034,2830.6501,2.8371697,1.5710574,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
7,90,25,1509423108,1509428510,90.033333,1751,1992,15676,17902,0,6.18273231e+06,2952.7761,3093.7123,2875.2751,2.506228,1.9702408,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
8,90,25,1509428510,1509433982,91.2,1993,2216,17911,20396,0,4.85147701e+06,2973.8405,3076.406,2852.4658,3.0189055,3.1674861,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
9,90,25,1509433982,1509439425,90.716667,2217,2430,20505,23094,0,5.20488741e+06,3013.4861,3134.3718,2922.311,2.7053557,1.9680483,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
10,90,25,1509439425,1509444844,90.316667,2431,2687,23112,25339,0,6.47616809e+06,3001.0946,3118.0444,2904.5888,2.7712708,1.8386067,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
11,90,25,1509444844,1509450291,90.783333,2688,2927,25369,27604,0,5.66144941e+06,2988.3934,3115.9341,2890.8442,2.6397221,1.4229518,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
12,90,25,1509450291,1509455774,91.383333,2928,3191,27629,29841,0,6.28034847e+06,3023.5176,3143.8823,2922.5282,2.7034254,2.5882493,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
13,90,25,1509455774,1509461193,90.316667,3192,3449,29893,32135,0,6.24965953e+06,2998.0177,3125.1707,2911.0759,2.6362401,2.3204457,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
14,90,25,1509461193,1509466608,90.25,3450,3724,32153,34386,0,7.00671886e+06,3017.6662,3155.994,2942.9316,2.4830642,2.9358422,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
15,90,25,1509466608,1509472009,90.016667,3725,3957,34398,36631,0,5.38300045e+06,3010.4366,3119.2204,2892.3857,2.8825827,2.0051609,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
16,90,25,1509472009,1509477422,90.216667,3958,4216,36637,38862,0,5.36565355e+06,2997.303,3092.666,2860.7371,3.1178934,2.5452523,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
17,90,25,1509477422,1509482831,90.15,4217,4461,38869,41069,0,5.7423758e+06,2953.5566,3080.2084,2891.2819,2.6827098,2.1715233,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
18,90,25,1509482831,1509488239,90.133333,4462,4719,41092,43331,0,5.99847287e+06,2926.9983,3054.3787,2844.7531,2.6977248,1.9537045,0,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
