xFit,yFit,prevVals_GGPLOTNIM_INTERNAL
0.8510124,109.35616,0
0.85145519,109.28197,0
0.85189799,109.20664,0
0.85234079,109.13018,0
0.85278358,109.05257,0
0.85322638,108.97383,0
0.85366917,108.89396,0
0.85411197,108.81297,0
0.85455476,108.73085,0
0.85499756,108.6476,0
0.85544036,108.56324,0
0.85588315,108.47775,0
0.85632595,108.39115,0
0.85676874,108.30344,0
0.85721154,108.21462,0
0.85765433,108.1247,0
0.85809713,108.03367,0
0.85853992,107.94154,0
0.85898272,107.84831,0
0.85942552,107.75399,0
0.85986831,107.65857,0
0.86031111,107.56207,0
0.8607539,107.46448,0
0.8611967,107.36581,0
0.86163949,107.26606,0
0.86208229,107.16524,0
0.86252508,107.06334,0
0.86296788,106.96037,0
0.86341068,106.85633,0
0.86385347,106.75123,0
0.86429627,106.64507,0
0.86473906,106.53786,0
0.86518186,106.42959,0
0.86562465,106.32027,0
0.86606745,106.20991,0
0.86651025,106.09851,0
0.86695304,105.98606,0
0.86739584,105.87258,0
0.86783863,105.75807,0
0.86828143,105.64253,0
0.86872422,105.52596,0
0.86916702,105.40837,0
0.86960981,105.28977,0
0.87005261,105.17015,0
0.87049541,105.04952,0
0.8709382,104.92789,0
0.871381,104.80526,0
0.87182379,104.68162,0
0.87226659,104.55699,0
0.87270938,104.43137,0
0.87315218,104.30477,0
0.87359497,104.17718,0
0.87403777,104.04861,0
0.87448057,103.91907,0
0.87492336,103.78856,0
0.87536616,103.65708,0
0.87580895,103.52463,0
0.87625175,103.39123,0
0.87669454,103.25688,0
0.87713734,103.12157,0
0.87758014,102.98532,0
0.87802293,102.84813,0
0.87846573,102.71,0
0.87890852,102.57094,0
0.87935132,102.43094,0
0.87979411,102.29003,0
0.88023691,102.14819,0
0.8806797,102.00544,0
0.8811225,101.86177,0
0.8815653,101.7172,0
0.88200809,101.57173,0
0.88245089,101.42536,0
0.88289368,101.27809,0
0.88333648,101.12993,0
0.88377927,100.98089,0
0.88422207,100.83098,0
0.88466486,100.68018,0
0.88510766,100.52851,0
0.88555046,100.37598,0
0.88599325,100.22259,0
0.88643605,100.06834,0
